GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (198),expected,over/under,foldenrich,rawPvalue,FDR
defense response (GO:0006952),961,19,6.93,+,2.74,0.000086,0.01
organic acid metabolic process (GO:0006082),986,19,7.11,+,2.67,0.000119,0.0116
carbohydrate metabolic process (GO:0005975),939,18,6.77,+,2.66,0.000193,0.0176
response to external biotic stimulus (GO:0043207),1105,21,7.97,+,2.64,0.0000626,0.00847
response to other organism (GO:0051707),1105,21,7.97,+,2.64,0.0000626,0.00828
response to biotic stimulus (GO:0009607),1107,21,7.98,+,2.63,0.0000642,0.00831
biological process involved in interspecies interaction between organisms (GO:0044419),1117,21,8.05,+,2.61,0.0000727,0.00902
small molecule metabolic process (GO:0044281),1491,27,10.75,+,2.51,0.0000122,0.0025
response to stimulus (GO:0050896),5591,100,40.31,+,2.48,6.89E-21,4.1E-17
response to stress (GO:0006950),3136,53,22.61,+,2.34,3.45E-09,0.00000293
response to chemical (GO:0042221),2712,45,19.55,+,2.30,0.000000124,0.0000614
organic substance catabolic process (GO:1901575),1338,22,9.65,+,2.28,0.00036,0.0302
catabolic process (GO:0009056),1466,23,10.57,+,2.18,0.000647,0.0443
organic substance biosynthetic process (GO:1901576),2671,40,19.26,+,2.08,0.00001,0.00221
biosynthetic process (GO:0009058),2807,41,20.24,+,2.03,0.0000159,0.00316
cellular biosynthetic process (GO:0044249),2580,34,18.6,+,1.83,0.000569,0.0404
cellular metabolic process (GO:0044237),7604,93,54.82,+,1.70,9.67E-09,0.0000072
metabolic process (GO:0008152),8384,97,60.45,+,1.60,6.66E-08,0.000036
organonitrogen compound metabolic process (GO:1901564),4569,52,32.94,+,1.58,0.00074,0.0479
cellular process (GO:0009987),11936,129,86.06,+,1.50,1.35E-09,0.00000134
organic substance metabolic process (GO:0071704),7800,83,56.24,+,1.48,0.0000505,0.00751
