GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (698),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
cellular response to water deprivation (GO:0042631),38,6,0.97,+,6.21,7.19E-04,1.96E-02
red or far-red light signaling pathway (GO:0010017),51,8,1.3,+,6.17,9.95E-05,3.69E-03
regulation of sulfur metabolic process (GO:0042762),32,5,0.81,+,6.15,2.08E-03,4.76E-02
small molecule catabolic process (GO:0044282),239,37,6.07,+,6.09,6.99E-17,2.45E-14
cellular response to water stimulus (GO:0071462),39,6,0.99,+,6.05,8.12E-04,2.15E-02
response to light intensity (GO:0009642),143,22,3.63,+,6.05,1.54E-10,1.80E-08
toxin catabolic process (GO:0009407),46,7,1.17,+,5.99,3.19E-04,1.06E-02
acyl-CoA metabolic process (GO:0006637),46,7,1.17,+,5.99,3.19E-04,1.05E-02
thioester metabolic process (GO:0035383),46,7,1.17,+,5.99,3.19E-04,1.05E-02
water-soluble vitamin metabolic process (GO:0006767),66,10,1.68,+,5.96,1.80E-05,8.92E-04
detoxification (GO:0098754),153,23,3.89,+,5.91,8.90E-11,1.15E-08
toxin metabolic process (GO:0009404),60,9,1.53,+,5.9,5.04E-05,2.06E-03
calcium ion transmembrane transport (GO:0070588),40,6,1.02,+,5.9,9.14E-04,2.36E-02
response to toxic substance (GO:0009636),176,25,4.47,+,5.59,4.04E-11,5.60E-09
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961),50,7,1.27,+,5.51,5.03E-04,1.50E-02
response to disaccharide (GO:0034285),72,10,1.83,+,5.46,3.52E-05,1.56E-03
benzene-containing compound metabolic process (GO:0042537),58,8,1.47,+,5.43,2.21E-04,7.51E-03
cellular response to oxidative stress (GO:0034599),73,10,1.86,+,5.39,3.92E-05,1.68E-03
xenobiotic transport (GO:0042908),52,7,1.32,+,5.3,6.22E-04,1.74E-02
regulation of response to red or far red light (GO:2000030),45,6,1.14,+,5.25,1.58E-03,3.87E-02
response to reactive oxygen species (GO:0000302),160,21,4.07,+,5.16,5.21E-09,5.18E-07
glutathione metabolic process (GO:0006749),77,10,1.96,+,5.11,5.90E-05,2.34E-03
negative regulation of abscisic acid-activated signaling pathway (GO:0009788),54,7,1.37,+,5.1,7.62E-04,2.07E-02
negative regulation of cellular response to alcohol (GO:1905958),54,7,1.37,+,5.1,7.62E-04,2.06E-02
negative regulation of response to alcohol (GO:1901420),54,7,1.37,+,5.1,7.62E-04,2.05E-02
response to sucrose (GO:0009744),70,9,1.78,+,5.06,1.47E-04,5.22E-03
purine nucleoside bisphosphate metabolic process (GO:0034032),63,8,1.6,+,5,3.68E-04,1.18E-02
ribonucleoside bisphosphate metabolic process (GO:0033875),63,8,1.6,+,5,3.68E-04,1.17E-02
nucleoside bisphosphate metabolic process (GO:0033865),63,8,1.6,+,5,3.68E-04,1.17E-02
cellular response to light stimulus (GO:0071482),104,13,2.64,+,4.92,6.95E-06,3.91E-04
dicarboxylic acid metabolic process (GO:0043648),89,11,2.26,+,4.86,3.85E-05,1.66E-03
response to oxygen levels (GO:0070482),269,33,6.84,+,4.83,1.20E-12,2.11E-10
response to hypoxia (GO:0001666),263,32,6.68,+,4.79,3.23E-12,5.07E-10
response to red light (GO:0010114),66,8,1.68,+,4.77,4.89E-04,1.46E-02
cellular response to oxygen levels (GO:0071453),240,29,6.1,+,4.75,3.92E-11,5.57E-09
cellular response to starvation (GO:0009267),166,20,4.22,+,4.74,4.39E-08,4.03E-06
response to decreased oxygen levels (GO:0036293),267,32,6.79,+,4.72,4.64E-12,7.10E-10
cellular response to radiation (GO:0071478),110,13,2.8,+,4.65,1.20E-05,6.35E-04
cellular response to hypoxia (GO:0071456),237,28,6.02,+,4.65,1.37E-10,1.63E-08
cellular response to decreased oxygen levels (GO:0036294),239,28,6.07,+,4.61,1.63E-10,1.87E-08
cellular amino acid metabolic process (GO:0006520),388,45,9.86,+,4.56,5.91E-16,1.85E-13
regulation of seed germination (GO:0010029),87,10,2.21,+,4.52,1.49E-04,5.24E-03
chlorophyll metabolic process (GO:0015994),61,7,1.55,+,4.51,1.46E-03,3.61E-02
alpha-amino acid metabolic process (GO:1901605),237,27,6.02,+,4.48,6.05E-10,6.68E-08
cellular response to extracellular stimulus (GO:0031668),221,25,5.62,+,4.45,2.98E-09,3.12E-07
lipid modification (GO:0030258),89,10,2.26,+,4.42,1.76E-04,6.14E-03
cellular transition metal ion homeostasis (GO:0046916),63,7,1.6,+,4.37,1.73E-03,4.06E-02
aspartate family amino acid metabolic process (GO:0009066),63,7,1.6,+,4.37,1.73E-03,4.05E-02
regulation of seedling development (GO:1900140),90,10,2.29,+,4.37,1.91E-04,6.60E-03
negative regulation of signal transduction (GO:0009968),108,12,2.75,+,4.37,4.50E-05,1.86E-03
response to extracellular stimulus (GO:0009991),271,30,6.89,+,4.36,1.27E-10,1.55E-08
cellular response to chemical stress (GO:0062197),118,13,3,+,4.33,2.38E-05,1.13E-03
cellular response to external stimulus (GO:0071496),227,25,5.77,+,4.33,4.88E-09,4.94E-07
cellular response to nutrient levels (GO:0031669),182,20,4.63,+,4.32,1.72E-07,1.37E-05
response to UV-B (GO:0010224),73,8,1.86,+,4.31,8.97E-04,2.33E-02
response to starvation (GO:0042594),202,22,5.13,+,4.28,4.86E-08,4.40E-06
response to nutrient levels (GO:0031667),231,25,5.87,+,4.26,6.73E-09,6.58E-07
porphyrin-containing compound metabolic process (GO:0006778),74,8,1.88,+,4.25,9.73E-04,2.50E-02
negative regulation of cell communication (GO:0010648),112,12,2.85,+,4.22,6.21E-05,2.45E-03
negative regulation of signaling (GO:0023057),112,12,2.85,+,4.22,6.21E-05,2.44E-03
export across plasma membrane (GO:0140115),66,7,1.68,+,4.17,2.21E-03,4.95E-02
cellular response to environmental stimulus (GO:0104004),189,20,4.8,+,4.16,3.00E-07,2.23E-05
cellular response to abiotic stimulus (GO:0071214),189,20,4.8,+,4.16,3.00E-07,2.21E-05
tetrapyrrole metabolic process (GO:0033013),76,8,1.93,+,4.14,1.14E-03,2.88E-02
response to carbohydrate (GO:0009743),153,16,3.89,+,4.11,5.19E-06,3.01E-04
sulfur compound metabolic process (GO:0006790),398,41,10.12,+,4.05,4.28E-13,7.97E-11
sulfur compound biosynthetic process (GO:0044272),146,15,3.71,+,4.04,1.23E-05,6.40E-04
oligosaccharide metabolic process (GO:0009311),80,8,2.03,+,3.93,1.54E-03,3.78E-02
response to nematode (GO:0009624),83,8,2.11,+,3.79,1.91E-03,4.43E-02
cellular modified amino acid metabolic process (GO:0006575),128,12,3.25,+,3.69,1.99E-04,6.81E-03
alpha-amino acid biosynthetic process (GO:1901607),161,15,4.09,+,3.67,3.54E-05,1.55E-03
leaf senescence (GO:0010150),110,10,2.8,+,3.58,8.26E-04,2.18E-02
cellular amino acid biosynthetic process (GO:0008652),188,17,4.78,+,3.56,1.56E-05,8.01E-04
carboxylic acid metabolic process (GO:0019752),864,78,21.96,+,3.55,9.31E-21,5.05E-18
oxoacid metabolic process (GO:0043436),966,87,24.55,+,3.54,4.96E-23,3.70E-20
regulation of abscisic acid-activated signaling pathway (GO:0009787),123,11,3.13,+,3.52,5.24E-04,1.55E-02
regulation of cellular response to alcohol (GO:1905957),123,11,3.13,+,3.52,5.24E-04,1.55E-02
regulation of response to alcohol (GO:1901419),123,11,3.13,+,3.52,5.24E-04,1.54E-02
response to oxidative stress (GO:0006979),441,39,11.21,+,3.48,1.10E-10,1.37E-08
aging (GO:0007568),136,12,3.46,+,3.47,3.33E-04,1.08E-02
organic acid metabolic process (GO:0006082),999,88,25.39,+,3.47,1.08E-22,7.14E-20
response to UV (GO:0009411),125,11,3.18,+,3.46,5.94E-04,1.68E-02
response to wounding (GO:0009611),239,21,6.07,+,3.46,2.46E-06,1.56E-04
plant organ senescence (GO:0090693),116,10,2.95,+,3.39,1.20E-03,3.02E-02
cellular amide metabolic process (GO:0043603),734,63,18.66,+,3.38,5.84E-16,1.94E-13
cellular lipid catabolic process (GO:0044242),105,9,2.67,+,3.37,2.16E-03,4.88E-02
amide biosynthetic process (GO:0043604),579,49,14.72,+,3.33,1.87E-12,3.02E-10
response to red or far red light (GO:0009639),205,17,5.21,+,3.26,4.32E-05,1.81E-03
aerobic respiration (GO:0009060),122,10,3.1,+,3.22,1.71E-03,4.02E-02
response to inorganic substance (GO:0010035),727,59,18.48,+,3.19,4.97E-14,1.06E-11
response to jasmonic acid (GO:0009753),175,14,4.45,+,3.15,2.81E-04,9.43E-03
peptide metabolic process (GO:0006518),626,50,15.91,+,3.14,7.84E-12,1.17E-09
plastid organization (GO:0009657),315,25,8.01,+,3.12,1.57E-06,1.05E-04
peptide biosynthetic process (GO:0043043),521,41,13.24,+,3.1,9.44E-10,1.02E-07
cellular homeostasis (GO:0019725),242,19,6.15,+,3.09,3.16E-05,1.41E-03
organic hydroxy compound metabolic process (GO:1901615),293,23,7.45,+,3.09,4.82E-06,2.82E-04
response to fatty acid (GO:0070542),179,14,4.55,+,3.08,3.48E-04,1.12E-02
negative regulation of response to stimulus (GO:0048585),232,18,5.9,+,3.05,5.83E-05,2.33E-03
translation (GO:0006412),516,40,13.12,+,3.05,2.26E-09,2.41E-07
carboxylic acid biosynthetic process (GO:0046394),427,33,10.85,+,3.04,6.19E-08,5.43E-06
response to cold (GO:0009409),392,30,9.96,+,3.01,2.99E-07,2.25E-05
small molecule metabolic process (GO:0044281),1506,115,38.28,+,3,9.94E-25,1.19E-21
small molecule biosynthetic process (GO:0044283),604,46,15.35,+,3,2.37E-10,2.67E-08
chloroplast organization (GO:0009658),240,18,6.1,+,2.95,8.73E-05,3.32E-03
organic acid biosynthetic process (GO:0016053),456,34,11.59,+,2.93,8.70E-08,7.52E-06
response to light stimulus (GO:0009416),722,53,18.35,+,2.89,3.46E-11,5.03E-09
response to alcohol (GO:0097305),466,34,11.84,+,2.87,1.40E-07,1.13E-05
monocarboxylic acid metabolic process (GO:0032787),425,31,10.8,+,2.87,5.01E-07,3.60E-05
response to salt stress (GO:0009651),453,33,11.51,+,2.87,2.21E-07,1.74E-05
response to oxygen-containing compound (GO:1901700),1431,104,36.37,+,2.86,7.41E-21,4.42E-18
response to abscisic acid (GO:0009737),461,33,11.72,+,2.82,3.21E-07,2.33E-05
fatty acid metabolic process (GO:0006631),211,15,5.36,+,2.8,5.58E-04,1.60E-02
response to radiation (GO:0009314),746,53,18.96,+,2.8,1.06E-10,1.34E-08
organic cyclic compound catabolic process (GO:1901361),213,15,5.41,+,2.77,6.11E-04,1.72E-02
regulation of post-embryonic development (GO:0048580),357,25,9.07,+,2.76,1.21E-05,6.32E-04
organic hydroxy compound biosynthetic process (GO:1901617),172,12,4.37,+,2.74,2.23E-03,4.98E-02
regulation of signal transduction (GO:0009966),330,23,8.39,+,2.74,2.86E-05,1.30E-03
cellular response to stress (GO:0033554),1141,79,29,+,2.72,7.00E-15,1.99E-12
response to osmotic stress (GO:0006970),535,37,13.6,+,2.72,1.39E-07,1.14E-05
regulation of signaling (GO:0023051),336,23,8.54,+,2.69,3.72E-05,1.62E-03
aromatic compound catabolic process (GO:0019439),205,14,5.21,+,2.69,1.21E-03,3.03E-02
response to water deprivation (GO:0009414),367,25,9.33,+,2.68,1.87E-05,9.21E-04
regulation of cell communication (GO:0010646),339,23,8.62,+,2.67,4.22E-05,1.79E-03
cellular catabolic process (GO:0044248),1257,85,31.95,+,2.66,3.12E-15,9.31E-13
regulation of multicellular organismal development (GO:2000026),371,25,9.43,+,2.65,2.21E-05,1.06E-03
homeostatic process (GO:0042592),475,32,12.07,+,2.65,1.65E-06,1.09E-04
response to abiotic stimulus (GO:0009628),2061,138,52.38,+,2.63,1.41E-24,1.40E-21
monocarboxylic acid biosynthetic process (GO:0072330),195,13,4.96,+,2.62,2.17E-03,4.89E-02
response to water (GO:0009415),376,25,9.56,+,2.62,2.73E-05,1.26E-03
response to nitrogen compound (GO:1901698),212,14,5.39,+,2.6,1.63E-03,3.86E-02
secondary metabolic process (GO:0019748),306,20,7.78,+,2.57,2.08E-04,7.10E-03
cellular response to chemical stimulus (GO:0070887),1117,73,28.39,+,2.57,1.20E-12,2.16E-10
response to temperature stimulus (GO:0009266),614,40,15.61,+,2.56,2.51E-07,1.95E-05
organonitrogen compound biosynthetic process (GO:1901566),1345,87,34.19,+,2.54,1.43E-14,3.71E-12
cellular response to oxygen-containing compound (GO:1901701),516,33,13.12,+,2.52,4.15E-06,2.55E-04
response to chemical (GO:0042221),2535,161,64.43,+,2.5,1.37E-26,2.73E-23
cellular nitrogen compound biosynthetic process (GO:0044271),1219,77,30.98,+,2.49,1.41E-12,2.40E-10
nucleobase-containing small molecule metabolic process (GO:0055086),380,24,9.66,+,2.48,1.20E-04,4.31E-03
response to lipid (GO:0033993),781,49,19.85,+,2.47,3.87E-08,3.61E-06
organonitrogen compound catabolic process (GO:1901565),853,53,21.68,+,2.44,1.08E-08,1.02E-06
response to acid chemical (GO:0001101),408,25,10.37,+,2.41,1.11E-04,4.08E-03
catabolic process (GO:0009056),1505,91,38.25,+,2.38,1.16E-13,2.32E-11
response to organic cyclic compound (GO:0014070),283,17,7.19,+,2.36,1.96E-03,4.52E-02
regulation of multicellular organismal process (GO:0051239),461,27,11.72,+,2.3,1.61E-04,5.63E-03
response to external stimulus (GO:0009605),1527,89,38.81,+,2.29,1.43E-12,2.37E-10
chemical homeostasis (GO:0048878),428,24,10.88,+,2.21,5.77E-04,1.64E-02
generation of precursor metabolites and energy (GO:0006091),381,21,9.68,+,2.17,1.64E-03,3.87E-02
organic substance catabolic process (GO:1901575),1370,74,34.82,+,2.13,3.32E-09,3.41E-07
response to stress (GO:0006950),3186,169,80.98,+,2.09,7.05E-20,3.50E-17
regulation of response to stimulus (GO:0048583),775,41,19.7,+,2.08,2.76E-05,1.27E-03
heterocycle biosynthetic process (GO:0018130),687,36,17.46,+,2.06,8.26E-05,3.16E-03
organic cyclic compound biosynthetic process (GO:1901362),860,45,21.86,+,2.06,1.06E-05,5.67E-04
cellular response to stimulus (GO:0051716),2564,133,65.17,+,2.04,8.97E-15,2.43E-12
protein ubiquitination (GO:0016567),696,36,17.69,+,2.04,1.44E-04,5.16E-03
cellular biosynthetic process (GO:0044249),2582,132,65.63,+,2.01,3.24E-14,7.44E-12
response to hormone (GO:0009725),1234,62,31.36,+,1.98,8.72E-07,6.12E-05
response to external biotic stimulus (GO:0043207),1102,55,28.01,+,1.96,4.32E-06,2.60E-04
response to other organism (GO:0051707),1102,55,28.01,+,1.96,4.32E-06,2.58E-04
response to biotic stimulus (GO:0009607),1104,55,28.06,+,1.96,4.47E-06,2.64E-04
response to stimulus (GO:0050896),5464,272,138.88,+,1.96,4.83E-30,1.44E-26
organic substance biosynthetic process (GO:1901576),2674,133,67.96,+,1.96,2.07E-13,3.98E-11
lipid metabolic process (GO:0006629),866,43,22.01,+,1.95,7.38E-05,2.88E-03
protein modification by small protein conjugation (GO:0032446),728,36,18.5,+,1.95,3.25E-04,1.06E-02
biosynthetic process (GO:0009058),2812,139,71.47,+,1.94,6.94E-14,1.43E-11
biological process involved in interspecies interaction between organisms (GO:0044419),1114,55,28.31,+,1.94,7.30E-06,4.07E-04
response to endogenous stimulus (GO:0009719),1264,62,32.13,+,1.93,1.87E-06,1.23E-04
response to organic substance (GO:0010033),1639,80,41.66,+,1.92,5.67E-08,5.04E-06
fruit development (GO:0010154),760,36,19.32,+,1.86,6.75E-04,1.87E-02
regulation of biological quality (GO:0065008),913,43,23.21,+,1.85,1.83E-04,6.34E-03
organonitrogen compound metabolic process (GO:1901564),4614,216,117.27,+,1.84,1.62E-19,7.42E-17
protein modification by small protein conjugation or removal (GO:0070647),815,38,20.71,+,1.83,6.81E-04,1.88E-02
seed development (GO:0048316),733,34,18.63,+,1.82,1.29E-03,3.21E-02
cell communication (GO:0007154),1673,76,42.52,+,1.79,2.19E-06,1.42E-04
negative regulation of cellular process (GO:0048523),778,35,19.77,+,1.77,1.78E-03,4.16E-02
cellular nitrogen compound metabolic process (GO:0034641),2908,125,73.91,+,1.69,1.00E-08,9.62E-07
cellular metabolic process (GO:0044237),7679,323,195.18,+,1.65,4.31E-24,3.67E-21
metabolic process (GO:0008152),8468,348,215.23,+,1.62,6.59E-25,9.83E-22
multicellular organism development (GO:0007275),2502,102,63.59,+,1.6,3.26E-06,2.02E-04
post-embryonic development (GO:0009791),1500,61,38.13,+,1.6,5.45E-04,1.58E-02
nitrogen compound metabolic process (GO:0006807),6178,247,157.03,+,1.57,2.90E-14,6.91E-12
gene expression (GO:0010467),1626,65,41.33,+,1.57,4.84E-04,1.46E-02
cellular macromolecule biosynthetic process (GO:0034645),1280,51,32.53,+,1.57,2.06E-03,4.72E-02
positive regulation of biological process (GO:0048518),1309,52,33.27,+,1.56,2.23E-03,4.97E-02
organic substance metabolic process (GO:0071704),7877,310,200.21,+,1.55,3.49E-18,1.39E-15
cellular process (GO:0009987),12009,469,305.23,+,1.54,9.92E-35,5.92E-31
system development (GO:0048731),1919,74,48.78,+,1.52,5.49E-04,1.58E-02
primary metabolic process (GO:0044238),7234,277,183.87,+,1.51,4.17E-14,9.20E-12
multicellular organismal process (GO:0032501),2795,106,71.04,+,1.49,5.02E-05,2.07E-03
protein metabolic process (GO:0019538),3534,132,89.82,+,1.47,8.21E-06,4.49E-04
cellular protein metabolic process (GO:0044267),3380,126,85.91,+,1.47,1.61E-05,8.12E-04
anatomical structure development (GO:0048856),2895,107,73.58,+,1.45,1.12E-04,4.09E-03
developmental process (GO:0032502),3038,112,77.22,+,1.45,9.31E-05,3.51E-03
organic cyclic compound metabolic process (GO:1901360),2606,95,66.24,+,1.43,5.34E-04,1.56E-02
biological regulation (GO:0065007),5936,207,150.87,+,1.37,1.01E-06,6.97E-05
regulation of biological process (GO:0050789),5383,183,136.82,+,1.34,2.71E-05,1.26E-03
regulation of cellular process (GO:0050794),4724,158,120.07,+,1.32,3.14E-04,1.05E-02
cellular macromolecule metabolic process (GO:0044260),4426,145,112.5,+,1.29,1.49E-03,3.67E-02
biological_process (GO:0008150),21185,608,538.46,+,1.13,5.83E-11,7.73E-09
Unclassified (UNCLASSIFIED),6277,90,159.54,-,0.56,5.83E-11,7.90E-09
