GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (45)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to hormone (GO:0009725)	1255	10	2.06	+	4.86	2.99E-05	5.93E-03
response to endogenous stimulus (GO:0009719)	1286	10	2.11	+	4.75	3.67E-05	6.25E-03
response to stress (GO:0006950)	3136	23	5.14	+	4.48	7.28E-11	4.82E-08
response to external stimulus (GO:0009605)	1528	11	2.50	+	4.39	2.82E-05	5.79E-03
cellular response to stimulus (GO:0051716)	2514	17	4.12	+	4.13	2.05E-07	6.44E-05
regulation of transcription, DNA-templated (GO:0006355)	2174	13	3.56	+	3.65	3.17E-05	6.10E-03
regulation of nucleic acid-templated transcription (GO:1903506)	2174	13	3.56	+	3.65	3.17E-05	5.91E-03
regulation of RNA biosynthetic process (GO:2001141)	2176	13	3.57	+	3.65	3.20E-05	5.78E-03
regulation of RNA metabolic process (GO:0051252)	2283	13	3.74	+	3.48	5.28E-05	8.06E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2343	13	3.84	+	3.39	6.89E-05	1.03E-02
regulation of cellular macromolecule biosynthetic process (GO:2000112)	2373	13	3.89	+	3.34	7.85E-05	1.14E-02
regulation of macromolecule biosynthetic process (GO:0010556)	2386	13	3.91	+	3.33	8.30E-05	1.18E-02
regulation of cellular biosynthetic process (GO:0031326)	2487	13	4.08	+	3.19	1.26E-04	1.54E-02
response to stimulus (GO:0050896)	5591	29	9.16	+	3.17	1.84E-10	8.44E-08
regulation of biosynthetic process (GO:0009889)	2524	13	4.14	+	3.14	1.47E-04	1.71E-02
regulation of cellular metabolic process (GO:0031323)	2950	15	4.83	+	3.10	4.37E-05	7.23E-03
regulation of primary metabolic process (GO:0080090)	2796	14	4.58	+	3.06	1.02E-04	1.32E-02
regulation of gene expression (GO:0010468)	2612	13	4.28	+	3.04	2.07E-04	2.12E-02
regulation of metabolic process (GO:0019222)	3261	16	5.34	+	2.99	3.41E-05	5.97E-03
regulation of nitrogen compound metabolic process (GO:0051171)	2713	13	4.45	+	2.92	3.00E-04	2.88E-02
regulation of biological process (GO:0050789)	5336	19	8.74	+	2.17	4.48E-04	3.81E-02
cellular process (GO:0009987)	11936	32	19.56	+	1.64	2.29E-04	2.24E-02
