GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (55)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to biotic stimulus (GO:0009607)	1107	12	2.22	+	5.41	1.68E-06	3.57E-04
immune system process (GO:0002376)	836	9	1.67	+	5.38	4.17E-05	5.17E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1117	12	2.24	+	5.36	1.84E-06	3.78E-04
response to chemical (GO:0042221)	2712	27	5.43	+	4.97	1.84E-13	1.56E-10
cellular catabolic process (GO:0044248)	1218	12	2.44	+	4.92	4.45E-06	7.16E-04
response to light stimulus (GO:0009416)	714	7	1.43	+	4.90	5.60E-04	4.84E-02
organic substance catabolic process (GO:1901575)	1338	13	2.68	+	4.85	1.92E-06	3.80E-04
defense response (GO:0006952)	961	9	1.92	+	4.68	1.20E-04	1.37E-02
response to abiotic stimulus (GO:0009628)	2150	20	4.31	+	4.64	2.71E-09	9.48E-07
response to external stimulus (GO:0009605)	1528	14	3.06	+	4.57	1.41E-06	3.36E-04
catabolic process (GO:0009056)	1466	13	2.94	+	4.43	5.17E-06	7.70E-04
response to hormone (GO:0009725)	1255	11	2.51	+	4.38	3.47E-05	4.59E-03
response to endogenous stimulus (GO:0009719)	1286	11	2.58	+	4.27	4.32E-05	5.25E-03
response to stress (GO:0006950)	3136	26	6.28	+	4.14	4.16E-11	2.75E-08
regulation of transcription, DNA-templated (GO:0006355)	2174	17	4.35	+	3.90	7.12E-07	2.23E-04
regulation of nucleic acid-templated transcription (GO:1903506)	2174	17	4.35	+	3.90	7.12E-07	2.12E-04
regulation of RNA biosynthetic process (GO:2001141)	2176	17	4.36	+	3.90	7.21E-07	2.04E-04
regulation of RNA metabolic process (GO:0051252)	2283	17	4.57	+	3.72	1.40E-06	3.47E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2343	17	4.69	+	3.62	2.00E-06	3.83E-04
regulation of cellular macromolecule biosynthetic process (GO:2000112)	2373	17	4.75	+	3.58	2.37E-06	4.42E-04
cellular response to stimulus (GO:0051716)	2514	18	5.03	+	3.58	1.09E-06	2.81E-04
regulation of macromolecule biosynthetic process (GO:0010556)	2386	17	4.78	+	3.56	2.56E-06	4.35E-04
regulation of cellular biosynthetic process (GO:0031326)	2487	17	4.98	+	3.41	4.48E-06	7.01E-04
regulation of biosynthetic process (GO:0009889)	2524	17	5.05	+	3.36	5.46E-06	7.93E-04
regulation of gene expression (GO:0010468)	2612	17	5.23	+	3.25	8.61E-06	1.22E-03
regulation of cellular metabolic process (GO:0031323)	2950	19	5.91	+	3.22	2.41E-06	4.34E-04
regulation of primary metabolic process (GO:0080090)	2796	18	5.60	+	3.21	4.94E-06	7.55E-04
regulation of nitrogen compound metabolic process (GO:0051171)	2713	17	5.43	+	3.13	1.42E-05	1.97E-03
regulation of metabolic process (GO:0019222)	3261	20	6.53	+	3.06	2.50E-06	4.37E-04
response to stimulus (GO:0050896)	5591	33	11.20	+	2.95	1.70E-10	1.01E-07
regulation of macromolecule metabolic process (GO:0060255)	2990	17	5.99	+	2.84	4.97E-05	5.92E-03
regulation of cellular process (GO:0050794)	4693	21	9.40	+	2.23	1.96E-04	2.08E-02
regulation of biological process (GO:0050789)	5336	23	10.69	+	2.15	1.25E-04	1.36E-02
biological regulation (GO:0065007)	5895	24	11.81	+	2.03	2.19E-04	2.25E-02
