GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (55),expected,over/under,foldenrich,rawPvalue,FDR
regulation of nucleobase-containing compound metabolic process (GO:0019219),2343,17,4.69,+,3.62,0.000002,0.000383
regulation of cellular macromolecule biosynthetic process (GO:2000112),2373,17,4.75,+,3.58,0.00000237,0.000442
cellular response to stimulus (GO:0051716),2514,18,5.03,+,3.58,0.00000109,0.000281
regulation of macromolecule biosynthetic process (GO:0010556),2386,17,4.78,+,3.56,0.00000256,0.000435
regulation of cellular biosynthetic process (GO:0031326),2487,17,4.98,+,3.41,0.00000448,0.000701
regulation of biosynthetic process (GO:0009889),2524,17,5.05,+,3.36,0.00000546,0.000793
regulation of gene expression (GO:0010468),2612,17,5.23,+,3.25,0.00000861,0.00122
regulation of cellular metabolic process (GO:0031323),2950,19,5.91,+,3.22,0.00000241,0.000434
regulation of primary metabolic process (GO:0080090),2796,18,5.6,+,3.21,0.00000494,0.000755
regulation of nitrogen compound metabolic process (GO:0051171),2713,17,5.43,+,3.13,0.0000142,0.00197
regulation of metabolic process (GO:0019222),3261,20,6.53,+,3.06,0.0000025,0.000437
response to stimulus (GO:0050896),5591,33,11.2,+,2.95,1.7E-10,0.000000101
regulation of macromolecule metabolic process (GO:0060255),2990,17,5.99,+,2.84,0.0000497,0.00592
regulation of cellular process (GO:0050794),4693,21,9.4,+,2.23,0.000196,0.0208
regulation of biological process (GO:0050789),5336,23,10.69,+,2.15,0.000125,0.0136
biological regulation (GO:0065007),5895,24,11.81,+,2.03,0.000219,0.0225
