GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (196)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to abscisic acid (GO:0009737)	506	21	3.61	+	5.81	2.07E-10	3.15E-08
response to alcohol (GO:0097305)	511	21	3.65	+	5.76	2.45E-10	3.65E-08
response to oxygen-containing compound (GO:1901700)	1536	61	10.96	+	5.56	1.74E-28	9.40E-26
response to temperature stimulus (GO:0009266)	630	25	4.50	+	5.56	8.70E-12	1.36E-09
response to cold (GO:0009409)	417	16	2.98	+	5.38	9.15E-08	1.11E-05
response to salt stress (GO:0009651)	450	17	3.21	+	5.29	4.43E-08	5.73E-06
response to lipid (GO:0033993)	820	30	5.85	+	5.13	4.33E-13	7.58E-11
response to external stimulus (GO:0009605)	1528	55	10.91	+	5.04	1.51E-23	4.74E-21
negative regulation of response to stimulus (GO:0048585)	226	8	1.61	+	4.96	2.79E-04	1.54E-02
response to organic substance (GO:0010033)	1724	61	12.30	+	4.96	6.67E-26	3.31E-23
cellular response to oxygen-containing compound (GO:1901701)	510	18	3.64	+	4.95	4.72E-08	5.98E-06
cellular response to lipid (GO:0071396)	313	11	2.23	+	4.92	2.17E-05	1.54E-03
response to osmotic stress (GO:0006970)	532	18	3.80	+	4.74	8.69E-08	1.08E-05
hormone-mediated signaling pathway (GO:0009755)	426	14	3.04	+	4.60	3.45E-06	2.85E-04
regulation of response to stimulus (GO:0048583)	755	24	5.39	+	4.45	1.75E-09	2.48E-07
response to chemical (GO:0042221)	2712	86	19.36	+	4.44	1.40E-34	4.16E-31
cellular response to organic substance (GO:0071310)	672	21	4.80	+	4.38	2.59E-08	3.42E-06
response to stress (GO:0006950)	3136	95	22.38	+	4.24	2.24E-37	1.33E-33
response to abiotic stimulus (GO:0009628)	2150	65	15.34	+	4.24	4.64E-24	1.54E-21
negative regulation of transcription, DNA-templated (GO:0045892)	272	8	1.94	+	4.12	9.08E-04	4.19E-02
negative regulation of RNA biosynthetic process (GO:1902679)	274	8	1.96	+	4.09	9.50E-04	4.32E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	274	8	1.96	+	4.09	9.50E-04	4.29E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	312	9	2.23	+	4.04	5.02E-04	2.53E-02
cellular response to endogenous stimulus (GO:0071495)	526	15	3.75	+	4.00	8.07E-06	6.16E-04
cellular response to hormone stimulus (GO:0032870)	493	14	3.52	+	3.98	1.70E-05	1.25E-03
response to endogenous stimulus (GO:0009719)	1286	36	9.18	+	3.92	3.18E-12	5.25E-10
response to hormone (GO:0009725)	1255	35	8.96	+	3.91	7.38E-12	1.19E-09
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	363	10	2.59	+	3.86	3.51E-04	1.85E-02
cellular response to stimulus (GO:0051716)	2514	69	17.94	+	3.85	2.44E-23	7.28E-21
negative regulation of macromolecule biosynthetic process (GO:0010558)	365	10	2.61	+	3.84	3.66E-04	1.91E-02
negative regulation of cellular biosynthetic process (GO:0031327)	386	10	2.75	+	3.63	5.60E-04	2.75E-02
negative regulation of biosynthetic process (GO:0009890)	392	10	2.80	+	3.57	6.28E-04	3.07E-02
response to acid chemical (GO:0001101)	405	10	2.89	+	3.46	8.01E-04	3.78E-02
response to inorganic substance (GO:0010035)	931	22	6.64	+	3.31	1.25E-06	1.20E-04
response to light stimulus (GO:0009416)	714	15	5.10	+	2.94	2.34E-04	1.32E-02
response to stimulus (GO:0050896)	5591	117	39.90	+	2.93	6.94E-33	1.38E-29
response to radiation (GO:0009314)	738	15	5.27	+	2.85	3.29E-04	1.78E-02
signal transduction (GO:0007165)	1343	27	9.59	+	2.82	1.53E-06	1.40E-04
negative regulation of cellular process (GO:0048523)	751	15	5.36	+	2.80	3.94E-04	2.04E-02
cell communication (GO:0007154)	1637	32	11.68	+	2.74	2.66E-07	2.68E-05
signaling (GO:0023052)	1382	27	9.86	+	2.74	2.59E-06	2.23E-04
negative regulation of biological process (GO:0048519)	1091	21	7.79	+	2.70	4.52E-05	3.06E-03
regulation of cellular process (GO:0050794)	4693	58	33.49	+	1.73	1.55E-05	1.17E-03
regulation of biological process (GO:0050789)	5336	65	38.08	+	1.71	7.18E-06	5.62E-04
biological regulation (GO:0065007)	5895	67	42.07	+	1.59	5.14E-05	3.40E-03
cellular process (GO:0009987)	11936	114	85.19	+	1.34	4.63E-05	3.09E-03
nucleobase-containing compound metabolic process (GO:0006139)	2084	3	14.87	-	.20	3.30E-04	1.77E-02
nucleic acid metabolic process (GO:0090304)	1708	1	12.19	-	.08	8.00E-05	5.12E-03
RNA metabolic process (GO:0016070)	1298	0	9.26	-	 < 0.01	1.30E-04	7.96E-03
gene expression (GO:0010467)	1608	0	11.48	-	 < 0.01	1.77E-05	1.28E-03
