TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0060560," ""developmental growth involved in morphogenesis""", 1.26610694562924,,,2.451786436,0.0114,0.824077892,0.9322019,99402, TRUE
GO:0048589," ""developmental growth""", 1.47263502895883,,,2.517195898,0.00242,0.837510224,0.93520007,99402, TRUE
GO:0016049," ""cell growth""", 1.45467606519104,,,2.511883361,0.00248,0.933422205,0.95056846,99402, TRUE
GO:0016192," ""vesicle-mediated transport""", 2.30323710321914,-2.35619936,-2.774300098,2.710963119,0.00255,0.90100031,0.04652514,, FALSE
GO:0015031," ""protein transport""", 3.73546446370044,,,2.920645001,0.0066,0.908930592,0.52843333,16192, TRUE
GO:0033036," ""macromolecule localization""", 5.40564809410497,,,3.080987047,0.0437,0.924395253,0.57560498,16192, TRUE
GO:0008104," ""protein localization""", 4.16198985318547,,,2.967547976,0.00372,0.912284727,0.85363475,16192, TRUE
GO:0045184," ""establishment of protein localization""", 3.78934135500382,,,2.926856709,0.00492,0.909340279,0.92888161,16192, TRUE
GO:0045229," ""external encapsulating structure organization""", 2.572621559736,-3.363255945,-5.218208099,2.758911892,0.000192,0.924763772,0.04724211,, FALSE
GO:0044550," ""secondary metabolite biosynthetic process""", 0.615094509046828,6.252969251,2.125703959,2.139879086,2.99E-11,0.823877541,0.09034382,, FALSE
GO:0009808," ""lignin metabolic process""", 0.278363938400754,,,1.799340549,0.0000514,0.844197832,0.76811082,44550, TRUE
GO:0019757," ""glycosinolate metabolic process""", 0.484892021730346,,,2.037426498,0.000000472,0.788773261,0.80902185,44550, TRUE
GO:0009698," ""phenylpropanoid metabolic process""", 0.543258653975666,,,2.086359831,0.00000491,0.838939089,0.81794369,44550, TRUE
GO:0009809," ""lignin biosynthetic process""", 0.179589637677906,,,1.612783857,0.00379,0.81448685,0.84989384,44550, TRUE
GO:0009699," ""phenylpropanoid biosynthetic process""", 0.38162798006555,,,1.934498451,0.000266,0.802246672,0.90583162,44550, TRUE
GO:0005976," ""polysaccharide metabolic process""", 2.08772953800566,0.645805878,8.074972549,2.668385917,1.07E-10,0.798999259,0.10390104,, FALSE
GO:0016052," ""carbohydrate catabolic process""", 1.31998383693261,,,2.469822016,0.000023,0.810478505,0.69145704,5976, TRUE
GO:0044264," ""cellular polysaccharide metabolic process""", 1.34692228258429,,,2.478566496,4.48E-09,0.758178799,0.69316552,5976, TRUE
GO:0016051," ""carbohydrate biosynthetic process""", 1.51304269743636,,,2.5289167,0.000683,0.760068207,0.70316726,5976, TRUE
GO:0044247," ""cellular polysaccharide catabolic process""", 0.215507565213487,,,1.69019608,0.00211,0.782007441,0.72522566,5976, TRUE
GO:0044262," ""cellular carbohydrate metabolic process""", 2.1011987608315,,,2.671172843,8.28E-08,0.782363582,0.73303239,5976, TRUE
GO:0044275," ""cellular carbohydrate catabolic process""", 0.332240829704126,,,1.875061263,0.0243,0.789556098,0.75521148,5976, TRUE
GO:0000272," ""polysaccharide catabolic process""", 0.844071297086158,,,2.276461804,0.0000122,0.783425876,0.83424392,5976, TRUE
GO:0045490," ""pectin catabolic process""", 0.444484353252817,,,2,0.0216,0.793105008,0.838103,5976, TRUE
GO:0006073," ""cellular glucan metabolic process""", 0.996722489112378,,,2.348304863,8.88E-09,0.755972414,0.84979843,5976, TRUE
GO:0034637," ""cellular carbohydrate biosynthetic process""", 1.01468145288017,,,2.356025857,0.0139,0.731306415,0.84997168,5976, TRUE
GO:0044042," ""glucan metabolic process""", 1.03264041664796,,,2.36361198,1.95E-08,0.786503658,0.85318617,5976, TRUE
GO:0009251," ""glucan catabolic process""", 0.251425492749068,,,1.755874856,0.0096,0.79859952,0.85439474,5976, TRUE
GO:0005983," ""starch catabolic process""", 0.0808153369550577,,,1.278753601,0.0342,0.796689247,0.85788974,5976, TRUE
GO:0010410," ""hemicellulose metabolic process""", 0.502850985498137,,,2.053078443,0.00000175,0.711658309,0.85835674,5976, TRUE
GO:0005982," ""starch metabolic process""", 0.273874197458807,,,1.792391689,0.0124,0.782621846,0.86134799,5976, TRUE
GO:0010411," ""xyloglucan metabolic process""", 0.269384456516859,,,1.785329835,0.0000057,0.723564077,0.89239645,5976, TRUE
GO:0000271," ""polysaccharide biosynthetic process""", 0.992232748170431,,,2.346352974,0.0378,0.739314659,0.8969646,5976, TRUE
GO:0010383," ""cell wall polysaccharide metabolic process""", 0.651012436582409,,,2.164352856,0.0000053,0.70535547,0.93234373,5976, TRUE
GO:0006790," ""sulfur compound metabolic process""", 1.77793741301127,2.989135838,3.412345576,2.598790507,0.00000583,0.898502365,0.10712169,, FALSE
GO:1901657," ""glycosyl compound metabolic process""", 0.7632559601311,-0.848632083,9.219408555,2.23299611,0.000139,0.88389729,0.11725799,, FALSE
GO:1901659," ""glycosyl compound biosynthetic process""", 0.233466528981278,,,1.72427587,3.18E-08,0.843406879,0.59437736,1901657, TRUE
GO:1901137," ""carbohydrate derivative biosynthetic process""", 2.1011987608315,,,2.671172843,0.00118,0.821509523,0.74383736,1901657, TRUE
GO:0019761," ""glucosinolate biosynthetic process""", 0.161630673910115,,,1.568201724,3.86E-09,0.758989207,0.7748743,1901657, TRUE
GO:0019758," ""glycosinolate biosynthetic process""", 0.161630673910115,,,1.568201724,3.54E-09,0.77762848,0.82505909,1901657, TRUE
GO:0019760," ""glucosinolate metabolic process""", 0.484892021730346,,,2.037426498,0.000000492,0.758632058,0.90215785,1901657, TRUE
GO:0016143," ""S-glycoside metabolic process""", 0.484892021730346,,,2.037426498,0.000000515,0.835430999,0.90788543,1901657, TRUE
GO:0016144," ""S-glycoside biosynthetic process""", 0.161630673910115,,,1.568201724,4.25E-09,0.812906414,0.94058873,1901657, TRUE
GO:0019684," ""photosynthesis"," light reaction""",0.574686841,2.500239495,0.701327886,2.11058971,0.000902,0.887199685,0.12142431, null
GO:0009765," ""photosynthesis"," light harvesting""",0.166120415,,,1.579783597,0.00435,0.896118732,0.77025675, 19684
GO:0009768," ""photosynthesis"," light harvesting in photosystem I""",0.103264042,,,1.380211242,0.000158,0.897918529,0.77274931, 19684
GO:0009769," ""photosynthesis"," light harvesting in photosystem II""",0.017958964,,,0.698970004,0.0434,0.909792311,0.82443687, 19684
GO:0015979," ""photosynthesis""", 1.10896601266107,1.48563428,2.575374594,2.394451681,0.000168,0.903785061,0.13078018,, FALSE
GO:1901135," ""carbohydrate derivative metabolic process""", 3.45261078435774,1.898915913,8.340874143,2.886490725,0.000129,0.907703246,0.14171872,, FALSE
GO:0006091," ""generation of precursor metabolites and energy""", 2.15507565213487,4.95648829,5.051363606,2.682145076,0.00977,0.896174007,0.14182497,, FALSE
GO:0005975," ""carbohydrate metabolic process""", 5.05544830063305,2.626705565,7.487447385,3.051923916,4.58E-09,0.898722981,0.1695715,, FALSE
GO:0009058," ""biosynthetic process""", 14.2055403403224,3.347901972,5.900716562,3.500373714,0.00018,0.900591801,0.17141255,, FALSE
GO:0040034," ""regulation of development"," heterochronic""",0.233466529,0.548076243,-5.276585313,1.72427587,0.0428,0.971032393,0.18532426, null
GO:0044281," ""small molecule metabolic process""", 7.57419296906568,4.035048883,6.607193761,3.227372442,0.00215,0.909893786,0.18670366,, FALSE
GO:0044036," ""cell wall macromolecule metabolic process""", 0.781214923898891,0.022120744,6.978552205,2.243038049,0.00000585,0.808991503,0.19750177,, FALSE
GO:0009827," ""plant-type cell wall modification""", 0.157140932968168,,,1.556302501,0.042,0.877948824,0.60364941,44036, TRUE
GO:0009828," ""plant-type cell wall loosening""", 0.0314281865936335,,,0.903089987,0.0323,0.891508033,0.6888811,44036, TRUE
GO:0009832," ""plant-type cell wall biogenesis""", 0.695909846001886,,,2.193124598,0.0468,0.861720433,0.77219295,44036, TRUE
GO:0071555," ""cell wall organization""", 2.36609347640641,,,2.722633923,0.000026,0.853530317,0.79408766,44036, TRUE
GO:0042545," ""cell wall modification""", 0.659991918466305,,,2.170261715,0.0000188,0.869523644,0.81374374,44036, TRUE
GO:0042546," ""cell wall biogenesis""", 1.05957886229965,,,2.374748346,0.0000421,0.862970326,0.82327745,44036, TRUE
GO:0009834," ""plant-type secondary cell wall biogenesis""", 0.282853679342702,,,1.806179974,0.0356,0.87174255,0.83042461,44036, TRUE
GO:0071669," ""plant-type cell wall organization or biogenesis""", 1.15386342208055,,,2.411619706,0.0002,0.878543904,0.83182971,44036, TRUE
GO:0031667," ""response to nutrient levels""", 1.03264041664796,-6.541321408,1.736036818,2.36361198,0.000349,0.875259847,0.22556559,, FALSE
GO:0009991," ""response to extracellular stimulus""", 1.21671979526781,,,2.434568904,0.000105,0.894608179,0.50666807,31667, TRUE
GO:0016036," ""cellular response to phosphate starvation""", 0.350199793471917,,,1.897627091,0.000363,0.85684873,0.85169942,31667, TRUE
GO:0009267," ""cellular response to starvation""", 0.740807255421362,,,2.220108088,0.029,0.846361314,0.91902465,31667, TRUE
GO:0042594," ""response to starvation""", 0.911417411215373,,,2.309630167,0.000382,0.871716177,0.94257553,31667, TRUE
GO:0031668," ""cellular response to extracellular stimulus""", 0.983253266286535,,,2.342422681,0.0238,0.84720935,0.95486409,31667, TRUE
GO:0010817," ""regulation of hormone levels""", 1.25263772280339,-0.841803464,-5.542310301,2.447158031,0.000165,0.944246646,0.22658178,, FALSE
GO:0006880," ""intracellular sequestering of iron ion""", 0.0673461141292147,,,1.204119983,0.00386,0.867061928,0.51918645,10817, TRUE
GO:0046907," ""intracellular transport""", 3.26853140573789,,,2.862727528,0.0115,0.878231622,0.56111579,10817, TRUE
GO:0060918," ""auxin transport""", 0.422035648543079,,,1.977723605,0.0448,0.899275569,0.61594294,10817, TRUE
GO:0048878," ""chemical homeostasis""", 1.85426300902438,,,2.617000341,0.00329,0.937024867,0.72489765,10817, TRUE
GO:0010252," ""auxin homeostasis""", 0.170610155794011,,,1.591064607,0.00245,0.947399547,0.73569468,10817, TRUE
GO:0042592," ""homeostatic process""", 2.04283212858618,,,2.658964843,0.00449,0.941888865,0.76989814,10817, TRUE
GO:0051238," ""sequestering of metal ion""", 0.0853050778970053,,,1.301029996,0.00964,0.937236849,0.78977874,10817, TRUE
GO:0051649," ""establishment of localization in cell""", 3.49750819377722,,,2.892094603,0.0237,0.878254791,0.88830831,10817, TRUE
GO:0006886," ""intracellular protein transport""", 2.33466528981278,,,2.716837723,0.026,0.869447555,0.90158393,10817, TRUE
GO:0034613," ""cellular protein localization""", 2.77465990212365,,,2.791690649,0.0179,0.868476885,0.93239309,10817, TRUE
GO:0097577," ""sequestering of iron ion""", 0.0718358550711624,,,1.230448921,0.00489,0.866412576,0.97109707,10817, TRUE
GO:0006979," ""response to oxidative stress""", 1.97997575539891,-4.819237529,2.792433787,2.645422269,0.00000468,0.906934863,0.24533493,, FALSE
GO:0010035," ""response to inorganic substance""", 3.99586943833341,-5.804905749,4.30178088,2.949877704,0.00011,0.88169746,0.27095009,, FALSE
GO:1901700," ""response to oxygen-containing compound""", 7.08481120639339,,,3.19838213,0.000246,0.87199272,0.58469051,10035, TRUE
GO:0010033," ""response to organic substance""", 8.79989224621739,,,3.292477594,0.00138,0.86793034,0.67559883,10035, TRUE
GO:0010467," ""gene expression""", 8.51703856687469,1.494361569,6.814278445,3.278296208,0.03,0.878677348,0.27201409,, FALSE
GO:0044237," ""cellular metabolic process""", 39.6668612221075,2.606059054,5.822029501,3.946255707,0.00159,0.858528313,0.29418542,, FALSE
GO:0007043," ""cell-cell junction assembly""", 0.0269384456516859,-3.794809634,-5.082496467,0.84509804,0.0135,0.925760931,0.30353996,, FALSE
GO:0034329," ""cell junction assembly""", 0.0314281865936335,,,0.903089987,0.0197,0.925055633,0.92383883,7043, TRUE
GO:0045216," ""cell-cell junction organization""", 0.0493871503614241,,,1.079181246,0.0437,0.928304144,0.95955484,7043, TRUE
GO:0044272," ""sulfur compound biosynthetic process""", 0.682440623176043,5.642242621,2.293172685,2.184691431,0.000000386,0.818731408,0.33225744,, FALSE
GO:0042221," ""response to chemical""", 13.7026893548242,-5.707741612,3.391617695,3.484726804,1.73E-09,0.887450056,0.34992089,, FALSE
GO:0009719," ""response to endogenous stimulus""", 6.92767027342522,-6.606328013,3.606789696,3.188647296,0.00522,0.898705935,0.3912649,, FALSE
GO:0044283," ""small molecule biosynthetic process""", 2.98567772639519,5.577618614,3.164259966,2.823474229,0.0213,0.817800087,0.39402087,, FALSE
GO:1901362," ""organic cyclic compound biosynthetic process""", 4.64239213397387,,,3.01494035,0.0362,0.832147761,0.50881003,44283, TRUE
GO:1901576," ""organic substance biosynthetic process""", 13.550038162798,,,3.479863113,0.000178,0.815348534,0.66064458,44283, TRUE
GO:0019752," ""carboxylic acid metabolic process""", 4.26525389485027,,,2.978180517,0.0283,0.821201713,0.71556342,44283, TRUE
GO:0006082," ""organic acid metabolic process""", 4.95218425896826,,,3.042969073,0.000895,0.827923859,0.77434198,44283, TRUE
GO:0046394," ""carboxylic acid biosynthetic process""", 2.16405513401877,,,2.683947131,0.0214,0.78821606,0.8265283,44283, TRUE
GO:0044249," ""cellular biosynthetic process""", 13.123512773313,,,3.465977368,0.0238,0.796110745,0.83101759,44283, TRUE
GO:0043436," ""oxoacid metabolic process""", 4.81300228976788,,,3.030599722,0.000461,0.819085523,0.92316499,44283, TRUE
GO:0009605," ""response to external stimulus""", 8.35091815202263,-5.636778498,2.923938533,3.269746373,0.0000279,0.895837217,0.40761856,, FALSE
GO:0009625," ""response to insect""", 0.148161451084272,-6.518770631,0.939167863,1.531478917,0.0179,0.914449182,0.41044897,, FALSE
GO:0009628," ""response to abiotic stimulus""", 9.28478426794774,-6.243594001,2.975536511,3.315760491,8.61E-08,0.894140322,0.41751914,, FALSE
GO:0009098," ""leucine biosynthetic process""", 0.0718358550711624,6.329949065,1.293107413,1.230448921,0.0197,0.84492101,0.44372142,, FALSE
GO:0098754," ""detoxification""", 1.29304539128092,-5.467753406,5.03764267,2.460897843,0.0339,0.897191066,0.45327921,, FALSE
GO:0009636," ""response to toxic substance""", 1.45467606519104,-5.868941484,5.015113353,2.511883361,0.0212,0.895762502,0.46044518,, FALSE
GO:0071704," ""organic substance metabolic process""", 41.5794908633772,2.739863261,5.58319828,3.966704777,0.00311,0.879439474,0.46949602,, FALSE
GO:0010038," ""response to metal ion""", 1.83181430431464,-5.364031515,4.57713768,2.611723308,0.000192,0.886773307,0.47514696,, FALSE
GO:0009269," ""response to desiccation""", 0.07632559601311,,,1.255272505,0.00472,0.896768216,0.55310545,10038, TRUE
GO:0010039," ""response to iron ion""", 0.103264041664796,,,1.380211242,0.000847,0.915023429,0.56847883,10038, TRUE
GO:0009733," ""response to auxin""", 1.84977326808243,-6.111282033,4.701505523,2.615950052,0.00853,0.889916208,0.4757899,, FALSE
GO:0009725," ""response to hormone""", 6.79746778610874,,,3.180412633,0.00772,0.869967845,0.74406462,9733, TRUE
GO:0006950," ""response to stress""", 16.9577515377363,-6.097863972,3.403733477,3.577261954,6.32E-09,0.883465997,0.4843693,, FALSE
GO:0045962," ""positive regulation of development"," heterochronic""",0.073332435,0.862519311,-5.188130649,1.230448921,0.0264,0.973140995,0.48824544, null
GO:0071496," ""cellular response to external stimulus""", 1.01019171193822,-6.132529739,1.645128486,2.354108439,0.0267,0.896717227,0.49638788,, FALSE
GO:0090558," ""plant epidermis development""", 1.1493736811386,3.617717442,-4.168904977,2.409933123,0.000464,0.853780101,0.49777799,, FALSE
GO:0010075," ""regulation of meristem growth""", 0.260404974632964,,,1.770852012,0.0423,0.846828013,0.66749794,90558, TRUE
GO:0090626," ""plant epidermis morphogenesis""", 0.408566425717236,,,1.963787827,0.0205,0.853972449,0.69766504,90558, TRUE
