genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;description;athaliana_eg_homolog_ensembl_gene;athaliana_eg_homolog_associated_gene_name;external_gene_name
Solyc03g062720.3;287.0618663287443;1.0199988144930774;0.2352855847466036;4.335152175138946;1.4565932233759445e-5;0.015892586770301663;"NDH-dependent cyclic electron flow 1 [Source:Projected from Arabidopsis thaliana (AT1G64770) UniProtKB/TrEMBL;Acc:F4I890]";AT1G64770;NDF2;
Solyc03g095490.3;60.51838470735707;1.3597767293809118;0.32385337103142;4.1987419338889245;2.6840199057738856e-5;0.022676132589898125;;;;
Solyc03g117630.1;38.13459833621656;-3.6188497293212567;0.7283242600714369;-4.968734295581896;6.7391338101296e-7;0.003088323068517628;;;;
Solyc03g123410.1;1416.1825706944694;1.7063598913818419;0.44183346470552776;3.861997851428237;1.124635558356743e-4;0.04241098484959657;;AT1G72610;GLP1;
Solyc04g011390.1;307.05475594797423;1.094372750811596;0.275214724568132;3.976432411197801;6.995686996884786e-5;0.039084221220367636;"Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057]";;;
Solyc04g011440.4;966.015612513503;-1.1662152411795175;0.24308933255156193;-4.797476009903274;1.606774463217869e-6;0.0055745433226880746;NA;NA;NA;NA
Solyc04g014600.3;429.8055422312084;-1.2105675621716971;0.2884879363823148;-4.196250204956261;2.7137045120777324e-5;0.022676132589898125;;AT3G03270;;
Solyc04g016420.3;28.929709808477497;-2.7354763927607313;0.7159422290767876;-3.820806039459562;1.330162339016299e-4;0.045318598438167844;;AT5G04000;;
Solyc04g074900.3;22.214237669876727;3.3125302261543017;0.8452222838730256;3.919123157727737;8.887169667740124e-5;0.039084221220367636;"40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:K4BU28]";AT3G53890;RPS21B;
Solyc04g074900.3;22.214237669876727;3.3125302261543017;0.8452222838730256;3.919123157727737;8.887169667740124e-5;0.039084221220367636;"40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:K4BU28]";AT5G27700;RPS21C;
Solyc04g078325.2;32.03418413567835;-4.686147951765712;0.9055449086548804;-5.174948152186771;2.2797427895098798e-7;0.0027137280187908308;NA;NA;NA;NA
Solyc04g081530.1;253.45101699619113;1.2722693643802614;0.3188298137728782;3.9904341106775414;6.595246974283485e-5;0.039084221220367636;;;;
Solyc05g008105.1;1721.6361996757;-1.0642739632589693;0.20804800098583953;-5.115521217295462;3.128757731931551e-7;0.0027137280187908308;NA;NA;NA;NA
Solyc05g013170.2;203.56867358737946;-0.9638122730202524;0.2548163650835463;-3.7823798039982575;1.5533610636570954e-4;0.048993007947744784;;AT1G14060;;
Solyc05g051560.5;338.21943196583624;1.0970060072234649;0.287304878367649;3.8182644633680174;1.3439381235305775e-4;0.045318598438167844;NA;NA;NA;NA
Solyc05g054610.1;122.87819608413683;2.0012634703799987;0.4772139503597096;4.1936399153283475;2.745136244813862e-5;0.022676132589898125;"Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057]";;;
Solyc06g036290.3;3596.9434152333656;-1.3464573745820925;0.3469950176978859;-3.880336333112416;1.0431211874997895e-4;0.040211162754575216;;;;
Solyc06g063330.3;23.18241812158063;4.14026700132177;0.9371222782858074;4.4180648537085085;9.958854130884649e-6;0.014028967260975802;;AT1G78900;VHA-A;
Solyc06g065970.1;960.3918956520162;1.617095760044234;0.4148239995078752;3.8982695359059965;9.688254525138689e-5;0.039084221220367636;;;;
Solyc06g072350.3;257.46735916443413;-1.3210995687192553;0.3066898996101929;-4.307607033679267;1.6503024314390393e-5;0.016190287001585594;"CASP-like protein [Source:UniProtKB/TrEMBL;Acc:K4C8V5]";;;
Solyc06g076450.3;214.533498897184;-1.5017372265176536;0.37177058872923846;-4.039419125786125;5.3583739744185204e-5;0.03718068533369523;;AT1G07410;RABA2B;
Solyc06g076450.3;214.533498897184;-1.5017372265176536;0.37177058872923846;-4.039419125786125;5.3583739744185204e-5;0.03718068533369523;;AT5G59150;RABA2D;
Solyc06g076450.3;214.533498897184;-1.5017372265176536;0.37177058872923846;-4.039419125786125;5.3583739744185204e-5;0.03718068533369523;;AT4G08190;;
Solyc06g076450.3;214.533498897184;-1.5017372265176536;0.37177058872923846;-4.039419125786125;5.3583739744185204e-5;0.03718068533369523;;AT3G46830;RABA2C;
Solyc07g049530.3;718.5477122811691;-1.474918345451094;0.327624325667567;-4.501858469897806;6.736183417782932e-6;0.011685257374828053;"1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P05116]";AT1G12010;;ACO1
Solyc07g049530.3;718.5477122811691;-1.474918345451094;0.327624325667567;-4.501858469897806;6.736183417782932e-6;0.011685257374828053;"1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P05116]";AT1G62380;ACO2;ACO1
Solyc07g052790.3;139.88532539996464;-1.7362528696431767;0.41886421521317696;-4.145144909931079;3.395988798342494e-5;0.026777371674930567;NA;NA;NA;NA
Solyc07g053540.1;2042.7344980351334;1.0531137418901713;0.26831291353040587;3.9249461683879403;8.674913495206845e-5;0.039084221220367636;;AT1G03870;FLA9;
Solyc07g053540.1;2042.7344980351334;1.0531137418901713;0.26831291353040587;3.9249461683879403;8.674913495206845e-5;0.039084221220367636;;AT2G20520;FLA6;
Solyc07g053540.1;2042.7344980351334;1.0531137418901713;0.26831291353040587;3.9249461683879403;8.674913495206845e-5;0.039084221220367636;;AT5G44130;FLA13;
Solyc07g064870.3;72.0580999757471;-1.6253845829122915;0.41475343200355813;-3.9189177412240133;8.894746217053803e-5;0.039084221220367636;"Endoglucanase [Source:UniProtKB/TrEMBL;Acc:K4CHG6]";;;
Solyc08g007820.1;46.94659807229717;-4.636594631728253;0.9351693895583155;-4.958026517439944;7.121284529930542e-7;0.003088323068517628;;AT1G12610;DREB1F;
Solyc08g007820.1;46.94659807229717;-4.636594631728253;0.9351693895583155;-4.958026517439944;7.121284529930542e-7;0.003088323068517628;;AT1G63030;DREB1E;
Solyc08g062210.3;602.1451340889278;-0.9203735544667606;0.22724639594282273;-4.050112877030336;5.1192933414603545e-5;0.03700182566429699;;AT1G72830;HAP2C;
Solyc08g062210.3;602.1451340889278;-0.9203735544667606;0.22724639594282273;-4.050112877030336;5.1192933414603545e-5;0.03700182566429699;;AT1G17590;NFYA8;
Solyc08g062210.3;602.1451340889278;-0.9203735544667606;0.22724639594282273;-4.050112877030336;5.1192933414603545e-5;0.03700182566429699;;AT3G14020;NFYA6;
Solyc08g062210.3;602.1451340889278;-0.9203735544667606;0.22724639594282273;-4.050112877030336;5.1192933414603545e-5;0.03700182566429699;;AT1G54160;NFYA5;
Solyc08g081940.3;93.54382349832554;1.1588505416840729;0.28218162586414125;4.106754074207551;4.012580482052267e-5;0.030263579835722035;;AT4G23740;;
Solyc09g009220.5;929.5325662939811;-1.8748426135661203;0.4254879949269614;-4.4063349281757125;1.0513436005804197e-5;0.014028967260975802;NA;NA;NA;NA
Solyc09g015020.1;11.02824522256197;-4.93222416284211;1.0835175329080298;-4.552048317671997;5.312613015563493e-6;0.011265624064611653;;AT3G46230;HSP17.4A;
Solyc09g015020.1;11.02824522256197;-4.93222416284211;1.0835175329080298;-4.552048317671997;5.312613015563493e-6;0.011265624064611653;;AT5G59720;HSP18.1;
Solyc09g015020.1;11.02824522256197;-4.93222416284211;1.0835175329080298;-4.552048317671997;5.312613015563493e-6;0.011265624064611653;;AT1G53540;HSP17.6C;
Solyc09g061420.3;381.4092490711973;0.9174923837210573;0.2418616255627808;3.793459923979966;1.485626176866169e-4;0.04772436535203228;;AT5G48830;;
Solyc10g008910.1;165.91758651325344;1.4954879907312149;0.38347054650431356;3.899877068431884;9.624154180242972e-5;0.039084221220367636;"Histone H3 [Source:UniProtKB/TrEMBL;Acc:K4AY75]";;;
Solyc10g076510.2;173.3023344284479;-1.805573324320451;0.46937877360360036;-3.84672981792162;1.197048471621114e-4;0.04338040941188446;;AT5G54960;PDC2;
Solyc10g078590.2;372.829357347243;-1.1054702235527558;0.24123813200018704;-4.582485423788221;4.594817461536649e-6;0.011265624064611653;;AT5G18130;;
Solyc10g078590.2;372.829357347243;-1.1054702235527558;0.24123813200018704;-4.582485423788221;4.594817461536649e-6;0.011265624064611653;;AT3G03870;;
Solyc10g086680.1;26.82944274062587;-5.249529720533262;1.158344257265853;-4.5319253646789015;5.844850209344837e-6;0.011265624064611653;;;;
Solyc11g011920.2;2589.896047716534;-0.9160541990422448;0.2288090944161399;-4.003574252062717;6.239260615812118e-5;0.039084221220367636;"Glutamate decarboxylase [Source:UniProtKB/TrEMBL;Acc:B1Q3F1]";;;
Solyc11g065190.3;71.40383279250862;2.065571383173046;0.525403718635143;3.931398484462277;8.445315627100941e-5;0.039084221220367636;NA;NA;NA;NA
Solyc11g071830.2;358.80055988164133;-1.823134050441161;0.39432674566466963;-4.623409572100217;3.7748334199358076e-6;0.010913672555937741;;;;
Solyc11g072860.2;167.4119831115517;1.8921053428097119;0.4919602653365579;3.8460531797528246;1.2003572097598743e-4;0.04338040941188446;"Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057]";;;
Solyc12g015880.2;6787.781067377262;-0.7151564326832601;0.1871469621407594;-3.821362764870142;1.3271626067175925e-4;0.045318598438167844;"Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4]";AT5G56010;HSP90-3;
Solyc12g015880.2;6787.781067377262;-0.7151564326832601;0.1871469621407594;-3.821362764870142;1.3271626067175925e-4;0.045318598438167844;"Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4]";AT5G56000;HSP90-4;
Solyc12g015880.2;6787.781067377262;-0.7151564326832601;0.1871469621407594;-3.821362764870142;1.3271626067175925e-4;0.045318598438167844;"Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4]";AT5G56030;HSP81-2;
Solyc12g042550.2;16.637871730046996;3.014521129120944;0.7688643685797102;3.920745000434261;8.827563618239152e-5;0.039084221220367636;;;;
Solyc12g042760.1;93.45282290371966;1.3611993597125693;0.3427878915066773;3.970966867381469;7.158153482036973e-5;0.039084221220367636;;;;
Solyc12g089020.3;25.010564500666067;-3.2602560186014133;0.7522930270808432;-4.3337581251448425;1.4658522414528541e-5;0.015892586770301663;NA;NA;NA;NA
