"genes","tair_symbol","description","log2FoldChange","padj","uniprotswissprot","external_gene_name","external_gene_source","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","notes","qPCR_gene"
"AT3G18830","ATPLT5","PMT5 [Source:UniProtKB/TrEMBL;Acc:A0A178V5Y2]",-0.518612702,0.005970619,"Q8VZ80","PLT5","UniProtKB Gene Name","p","nm2",1.82193510348778,1.31294923690164e-08,NA,NA,"",""
"AT2G15490","UGT73B4","UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232]",-0.515718221,0.035677434,"Q7Y232","UGT73B4","UniProtKB Gene Name","p","nm2",0.831549218594917,3.66544995392804e-05,4.4,0.00014,"",""
"AT2G15480","UGT73B5","Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IIG3]",-0.371690434,0.039761172,"","UGT73B5","TAIR Gene Name","p","nm2",0.843485958780836,7.57220802636024e-05,2.151,6.4e-05,"",""
"AT1G42990","ATBZIP60","bZIP transcription factor 60 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7S0]",0.406843131,0.008976332,"Q9C7S0","BZIP60","UniProtKB Gene Name","p","em24",1.28061324941275,6.32569175117587e-08,0.916,0.001,"",""
"AT4G20860","","Berberine bridge enzyme-like 22 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUC6]",0.550871236,0.009913889,"Q9SUC6","FAD-OXR","UniProtKB Gene Name","p","em24",1.04369500721451,1.70098452482667e-06,0.866,0.0038,"",""
"AT2G03760","ST","Cytosolic sulfotransferase 12 [Source:UniProtKB/Swiss-Prot;Acc:P52839]",0.554680791,0.0494874,"P52839","SOT12","UniProtKB Gene Name","p","em24",1.26564238660147,2.22233624764609e-07,4.298,8.3e-05,"",""
"AT3G25600","","Probable calcium-binding protein CML16 [Source:UniProtKB/Swiss-Prot;Acc:Q9LI84]",0.573850443,0.040269384,"Q9LI84","CML16","UniProtKB Gene Name","p","em24",0.793516707462252,1.55177022467589e-05,NA,NA,"",""
"AT4G31550","WRKY11","Probable WRKY transcription factor 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9SV15]",0.614336823,0.039941156,"Q9SV15","WRKY11","UniProtKB Gene Name","p","en6",0.93922478859377,2.51070296985546e-06,0.715,0.0019,"",""
"AT1G27100","","Actin cross-linking protein [Source:UniProtKB/TrEMBL;Acc:Q0WQH3]",0.632521129,0.021653102,"","","","p","em24",0.345812899854134,0.0161977974334032,NA,NA,"",""
"AT5G56850","","unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Ha. [Source:TAIR;Acc:AT5G56850]",0.635552107,0.016355656,"","","","p","nm2",-1.13518357221986,1.90997061959215e-06,NA,NA,"",""
"AT3G25780","AOC3","Allene oxide cyclase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LS01]",0.644595594,0.015402857,"Q9LS01","AOC3","UniProtKB Gene Name","p","em24",0.491203025936344,0.00471526646152696,NA,NA,"",""
"AT5G26030","FC1","Ferrochelatase-1, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P42043]",0.649100631,0.013709265,"P42043","FC1","UniProtKB Gene Name","p","em24",0.585254651446568,2.14083750629475e-05,NA,NA,"",""
"AT1G68520","","Zinc finger protein CONSTANS-LIKE 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG76]",0.688334303,0.003172472,"Q8LG76","COL6","UniProtKB Gene Name","p","en2",-1.90640095953974,2.58722826297488e-08,NA,NA,"",""
"AT4G18880","AT-HSFA4A","HSF A4A [Source:UniProtKB/TrEMBL;Acc:A0A178UUP9]",0.715110701,0.013709265,"O49403","HSFA4A","UniProtKB Gene Name","p","em24",1.43958343147889,6.66305987250042e-08,1.297,0.0014,"",""
"AT1G30040","ATGA2OX2","Gibberellin 2-beta-dioxygenase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9XFR9]",0.719397717,0.045850128,"","GA2OX2","UniProtKB Gene Name","p","em24",1.30284378333526,6.30474118492131e-07,NA,NA,"",""
"AT2G01180","ATPAP1","phosphatidic acid phosphatase 1 [Source:TAIR;Acc:AT2G01180]",0.72439208,0.00782195,"","ATPAP1","TAIR Gene Name","p","em24",0.57960518570865,0.000190738137796796,NA,NA,"",""
"AT1G68520","","Zinc finger protein CONSTANS-LIKE 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG76]",0.724712959,0.003176774,"Q8LG76","COL6","UniProtKB Gene Name","p","en6",-1.90640095953974,2.58722826297488e-08,NA,NA,"",""
"AT5G46710","","At5g46710 [Source:UniProtKB/TrEMBL;Acc:Q9FIQ4]",0.724783702,0.012396678,"","","","p","en6",NA,NA,1.545,0.00022,"",""
"AT1G68840","RAV2","TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]",0.722295789,0.001101267,"P82280","RAV2","UniProtKB Gene Name","r","em2",0.444795110008579,0.00242250337318006,NA,NA,"",""
"AT1G42990","ATBZIP60","bZIP transcription factor 60 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7S0]",0.747269034,0.032861262,"Q9C7S0","BZIP60","UniProtKB Gene Name","p","en24",1.28061324941275,6.32569175117587e-08,0.916,0.001,"",""
"AT3G55630","ATDFD","Folylpolyglutamate synthase [Source:UniProtKB/Swiss-Prot;Acc:Q8W035]",0.748136875,0.00975902,"","FPGS3","UniProtKB Gene Name","p","nm2",-1.41387487210191,2.03080558112906e-07,NA,NA,"",""
"AT3G46280","","Kinase-like protein [Source:UniProtKB/TrEMBL;Acc:Q8GYH9]",0.750440223,0.027609139,"","","","p","em24",2.27864058571544,1.75437635981984e-06,1.313,0.00042,"",""
"AT2G35930","PUB23","E3 ubiquitin-protein ligase PUB23 [Source:UniProtKB/Swiss-Prot;Acc:Q84TG3]",0.769200465,0.000280171,"Q84TG3","PUB23","UniProtKB Gene Name","p","em24",NA,NA,NA,NA,"",""
"AT3G06500","","Alkaline/neutral invertase C, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:B9DFA8]",0.769291431,0.001051416,"B9DFA8","INVC","UniProtKB Gene Name","p","en6",-1.14526619274447,6.46634216478724e-07,NA,NA,"",""
"AT2G24240","","BTB/POZ domain-containing protein At2g24240 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUH1]",0.788875385,0.015898708,"Q9ZUH1","","","p","en2",NA,NA,NA,NA,"",""
"AT4G33980","","BEST Arabidopsis thaliana protein match is: cold regulated gene 27 (TAIR:AT5G42900.2); Ha. [Source:TAIR;Acc:AT4G33980]",0.790200127,0.001788374,"","","","p","en6",NA,NA,NA,NA,"",""
"AT1G66160","ATCMPG1","U-box domain-containing protein 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8D1]",0.800546452,0.046575445,"Q9C8D1","PUB20","UniProtKB Gene Name","p","em24",0.376337134371954,0.00802800000759638,NA,NA,"",""
"AT1G68840","RAV2","TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]",0.801806401,0.02808736,"P82280","RAV2","UniProtKB Gene Name","p","en2",0.444795110008579,0.00242250337318006,NA,NA,"",""
"AT5G16370","AAE5","Probable acyl-activating enzyme 5, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q9FFE6]",0.787589839,0.005892703,"Q9FFE6","AAE5","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,"",""
"AT1G49320","ATUSPL1","BURP domain protein USPL1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI99]",0.790640395,0.00711389,"Q9XI99","USPL1","UniProtKB Gene Name","p","em2",-0.791838251114292,0.000149450325888881,NA,NA,"",""
"AT4G34150","","AT4g34150/F28A23_90 [Source:UniProtKB/TrEMBL;Acc:Q945K9]",0.826105595,0.004350176,"","","","p","em24",0.814489932149599,3.1769583186613e-05,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",0.829622671,0.041074534,"O64425","RMA1","UniProtKB Gene Name","p","en6",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT5G61440","ACHT5","Thioredoxin-like 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFI1]",0.832796895,0.002276799,"Q9XFI1","ACHT5","TAIR Gene Name","r","em2",-1.36836048290396,2.4745743140959e-07,NA,NA,"",""
"AT3G52400","SYP122","Syntaxin-122 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVC2]",0.892656813,0.003218004,"Q9SVC2","SYP122","UniProtKB Gene Name","p","em24",1.25298228468644,2.71101701050461e-06,NA,NA,"",""
"AT4G29190","","Zinc finger CCCH domain-containing protein 49 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0G2]",0.904670662,0.000644667,"Q9M0G2","","","p","en2",0.456744505376202,0.00671912217275637,NA,NA,"",""
"AT2G31880","SOBIR1","Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKB2]",0.924601527,0.03005381,"Q9SKB2","SOBIR1","UniProtKB Gene Name","p","em24",2.26027791118677,5.89306101790335e-10,NA,NA,"",""
"AT4G20830","","Berberine bridge enzyme-like 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVG4]",0.931312843,0.000107361,"Q9SVG4","","","p","em24",1.11804977575037,9.0893755466029e-05,1.138,0.00093,"",""
"AT4G11280","ACS6","1-aminocyclopropane-1-carboxylate synthase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAR0]",0.931355721,0.020831775,"Q9SAR0","ACS6","UniProtKB Gene Name","p","en6",1.76016361395177,1.9590040921301e-06,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",0.936701965,0.000864103,"O64425","RMA1","UniProtKB Gene Name","p","en2",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT1G25560","TEM1","AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]",0.91024857,1.21647e-05,"Q9C6M5","TEM1","UniProtKB Gene Name","r","em2",0.430593729171501,0.00137919956071089,NA,NA,"",""
"AT5G19240","","Uncharacterized GPI-anchored protein At5g19240 [Source:UniProtKB/Swiss-Prot;Acc:Q84VZ5]",0.961574239,0.003606259,"Q84VZ5","","","p","em24",0.801386156040031,1.6397524375527e-06,NA,NA,"",""
"AT2G24240","","BTB/POZ domain-containing protein At2g24240 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUH1]",0.917119468,0.002235469,"Q9ZUH1","","","p","em2",NA,NA,NA,NA,"",""
"AT2G41100","TCH3","Calmodulin-like protein 12 [Source:UniProtKB/Swiss-Prot;Acc:P25071]",0.972018395,0.00557062,"","CML12","UniProtKB Gene Name","p","em24",1.12808560301218,1.71732423344453e-06,NA,NA,"",""
"AT1G68840","RAV2","TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]",0.936876341,0.019399173,"P82280","RAV2","UniProtKB Gene Name","r+p","em2",0.444795110008579,0.00242250337318006,NA,NA,"",""
"AT4G32480","","AT4g32480/F8B4_180 [Source:UniProtKB/TrEMBL;Acc:Q9SUU4]",0.995406982,0.000808679,"","","","r","en2",NA,NA,0.749,0.028,"",""
"AT4G32480","","AT4g32480/F8B4_180 [Source:UniProtKB/TrEMBL;Acc:Q9SUU4]",0.998122579,0.00018191,"","","","p","en2",NA,NA,0.749,0.028,"",""
"AT5G56850","","unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Ha. [Source:TAIR;Acc:AT5G56850]",1.002982016,0.027237967,"","","","p","en6",-1.13518357221986,1.90997061959215e-06,NA,NA,"",""
"AT4G11280","ACS6","1-aminocyclopropane-1-carboxylate synthase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAR0]",1.010029763,0.00793377,"Q9SAR0","ACS6","UniProtKB Gene Name","p","em24",1.76016361395177,1.9590040921301e-06,NA,NA,"",""
"AT5G42050","","DCD (Development and Cell Death) domain protein [Source:UniProtKB/TrEMBL;Acc:Q8RXN8]",1.026002875,0.018108604,"","","","p","en24",1.74836315098202,6.75975927186136e-09,NA,NA,"",""
"AT5G26030","FC1","Ferrochelatase-1, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P42043]",1.026838511,0.04287737,"P42043","FC1","UniProtKB Gene Name","p","en24",0.585254651446568,2.14083750629475e-05,NA,NA,"",""
"AT5G06320","NHL3","NHL3 [Source:UniProtKB/TrEMBL;Acc:A0A178UB58]",1.06576073,0.000280171,"Q9FNH6","NHL3","UniProtKB Gene Name","p","em24",1.39815125102091,9.88428857841983e-08,NA,NA,"",""
"AT2G26530","AR781","AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]",1.079191727,0.000696849,"","AR781","TAIR Gene Name","p","em24",0.826728281629683,1.4645539524889e-05,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",1.040986951,4.13595e-05,"O64425","RMA1","UniProtKB Gene Name","p","em2",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT2G23810","TET8","TET8 [Source:UniProtKB/TrEMBL;Acc:A0A178VYI5]",1.095485816,6.59627e-06,"Q8S8Q6","TET8","UniProtKB Gene Name","p","em24",1.48038531573454,2.03207796482198e-08,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",1.059849156,1.03777e-08,"O64425","RMA1","UniProtKB Gene Name","r","em2",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.099935711,7.75361e-05,"Q8S8P5","WRKY33","UniProtKB Gene Name","p","em24",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.12669778,0.043840478,"Q8S8P5","WRKY33","UniProtKB Gene Name","p","en24",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
"AT3G57450","","At3g57450 [Source:UniProtKB/TrEMBL;Acc:Q9SCM7]",1.134444827,0.006226999,"","","","p","em24",NA,NA,NA,NA,"",""
"AT2G26530","AR781","AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]",1.139143474,0.042310133,"","AR781","TAIR Gene Name","p","en6",0.826728281629683,1.4645539524889e-05,NA,NA,"",""
"AT5G61440","ACHT5","Thioredoxin-like 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFI1]",1.141018827,0.018820366,"Q9XFI1","ACHT5","TAIR Gene Name","p","en6",-1.36836048290396,2.4745743140959e-07,NA,NA,"",""
"AT1G25560","TEM1","AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]",1.098769965,0.04313683,"Q9C6M5","TEM1","UniProtKB Gene Name","r+p","em2",0.430593729171501,0.00137919956071089,NA,NA,"",""
"AT3G04640","","At3g04640 [Source:UniProtKB/TrEMBL;Acc:Q9SR10]",1.154340901,0.006172957,"","","","p","em24",0.657547297843303,0.000163156993306725,NA,NA,"",""
"AT2G40140","CZF1","Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]",1.177876533,6.99057e-13,"Q9XEE6","CZF1","TAIR Gene Name","p","em24",1.15962240531305,2.27272564077074e-07,NA,NA,"",""
"AT1G02610","","RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]",1.263526341,0.032593748,"","","","p","em24",NA,NA,NA,NA,"",""
"AT4G36500","","Uncharacterized protein At4g36500 [Source:UniProtKB/TrEMBL;Acc:O23231]",1.26647816,7.75361e-05,"","","","p","em24",0.80218165142847,2.61325356634969e-05,NA,NA,"",""
"AT4G18880","AT-HSFA4A","HSF A4A [Source:UniProtKB/TrEMBL;Acc:A0A178UUP9]",1.277198673,0.011490663,"O49403","HSFA4A","UniProtKB Gene Name","p","en24",1.43958343147889,6.66305987250042e-08,1.297,0.0014,"",""
"AT3G28340","GATL10","Hexosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNM3]",1.310708144,0.001556855,"Q9LHD2","GATL10","UniProtKB Gene Name","p","em24",0.696269272171722,0.000369166463552001,NA,NA,"",""
"AT1G27730","STZ","Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]",1.344140507,1.69188e-05,"Q96289","ZAT10","UniProtKB Gene Name","p","em24",1.53453700178067,6.30474118492131e-07,1.195,0.00069,"",""
"AT1G80840","WRKY40","Probable WRKY transcription factor 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH7]",1.353654495,0.000789495,"Q9SAH7","WRKY40","UniProtKB Gene Name","p","em24",1.48315536310809,0.00010911391918494,NA,NA,"",""
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",1.38268747,0.010144124,"Q93ZS9","SZF1","TAIR Gene Name","p","en6",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT2G40140","CZF1","Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]",1.392215299,2.50922e-06,"Q9XEE6","CZF1","TAIR Gene Name","p","en24",1.15962240531305,2.27272564077074e-07,NA,NA,"",""
"AT1G02610","","RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]",1.193396058,0.039392319,"","","","p","em2",NA,NA,NA,NA,"",""
"AT2G25735","","Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q8RUI1]",1.406524674,0.0494874,"","","","p","em24",-0.531837434814874,0.00384111349943104,NA,NA,"",""
"AT4G20830","","Berberine bridge enzyme-like 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVG4]",1.413606245,0.004201861,"Q9SVG4","","","p","en24",1.11804977575037,9.0893755466029e-05,1.138,0.00093,"",""
"AT2G31880","SOBIR1","Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKB2]",1.422490384,0.029722367,"Q9SKB2","SOBIR1","UniProtKB Gene Name","r","em24",2.26027791118677,5.89306101790335e-10,NA,NA,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.440581473,0.012396678,"Q8S8P5","WRKY33","UniProtKB Gene Name","p","en6",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
"AT2G23810","TET8","TET8 [Source:UniProtKB/TrEMBL;Acc:A0A178VYI5]",1.441421287,0.024153233,"Q8S8Q6","TET8","UniProtKB Gene Name","p","en24",1.48038531573454,2.03207796482198e-08,NA,NA,"",""
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",1.470222889,0.046254372,"Q93ZS9","SZF1","TAIR Gene Name","r","em24",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT3G48360","BT2","BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0]",1.498764564,0.004081861,"","BT2","UniProtKB Gene Name","p","em24",-4.2783738478957,7.12048911614009e-08,NA,NA,"",""
"AT5G06320","NHL3","NHL3 [Source:UniProtKB/TrEMBL;Acc:A0A178UB58]",1.502033714,0.032861262,"Q9FNH6","NHL3","UniProtKB Gene Name","p","en24",1.39815125102091,9.88428857841983e-08,NA,NA,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.508424437,0.045801448,"Q8S8P5","WRKY33","UniProtKB Gene Name","r","em24",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
"AT5G19240","","Uncharacterized GPI-anchored protein At5g19240 [Source:UniProtKB/Swiss-Prot;Acc:Q84VZ5]",1.512617289,0.045801448,"Q84VZ5","","","r","em24",0.801386156040031,1.6397524375527e-06,NA,NA,"",""
"AT1G66090","","Disease resistance protein (TIR-NBS class) [Source:UniProtKB/TrEMBL;Acc:Q9C515]",1.52699187,0.004302173,"","","","p","em24",2.37350559025411,4.92896461334516e-05,NA,NA,"",""
"AT3G10930","","Uncharacterized protein At3g10930 [Source:UniProtKB/TrEMBL;Acc:Q84TK4]",1.530063616,0.005407702,"","","","p","em24",2.36758357128582,4.28804219749425e-08,1.63,0.00057,"",""
"AT2G41100","TCH3","Calmodulin-like protein 12 [Source:UniProtKB/Swiss-Prot;Acc:P25071]",1.585856697,0.014369895,"","CML12","UniProtKB Gene Name","r","em24",1.12808560301218,1.71732423344453e-06,NA,NA,"",""
"AT1G24140","","Metalloendoproteinase 3-MMP [Source:UniProtKB/Swiss-Prot;Acc:Q5XF51]",1.593344531,0.023282431,"Q5XF51","3MMP","UniProtKB Gene Name","p","em24",1.69366911491035,1.94935352951085e-07,NA,NA,"",""
"AT1G07135","","At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]",1.599406058,0.000619401,"","","","p","en6",NA,NA,NA,NA,"",""
"AT3G15500","ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]",1.616377688,0.003305662,"Q9LDY8","NAC055","UniProtKB Gene Name","p","en2",1.37386098153939,3.51741662307427e-07,NA,NA,"",""
"AT2G15042","","Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT2G15042]",1.620845343,0.042859879,"","","","p","en6",0.853361293091197,8.02229625374939e-05,NA,NA,"",""
