ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0006955;immune response;30/260;377/21505;3.152605730873334e-16;2.4762285013405096e-14;2.0062036469193945e-14;NA/NA/CAD1/ATP8/NA/ATICS1/PLA/CYP71A13/AtRLP23/ATWRKY33/ATMLO12/ATBCA1/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70/AtNUDT7/PH1/NA/CRK13/ATWRKY11/NHL3/AtGILP/AtGH3.12/NA/ATL31/PDI/ATNPR3/CYP81F2;30
GO:0046677;response to antibiotic;25/260;250/21505;5.387758285522789e-16;3.879185965576408e-14;3.1428589998882935e-14;NA/ABCG40/ATP8/ASG6/AtSOT1/ATWRKY46/AT-SYR1/ATHSP17.4/ATEDS1/ATBT2/HR4/AtBCS1/ATSYP122/ATWRKY70/BAP1/AtNUDT7/ATWRKY18/NHL3/NA/HSP17.6II/AT-HSP17.6A/AtCML37/NA/ATWRKY8/HSP18.2;25
GO:0042742;defense response to bacterium;30/260;440/21505;1.9898043956665792e-14;1.3224546137353265e-12;1.0714331361281581e-12;ATP8/ATICS1/TET8/CYP71A13/AtRLP23/ATWRKY33/BIK1/ATWRKY46/ATBCA1/ATEDS1/ATERF#011/ATWRKY70/AtNUDT7/CRK13/GGP/ATWRKY11/ATWRKY18/ADR1-L1/LecRK-VI.2/LecRK-VI.3/LecRK-VIII.2/NHL3/BETA/NA/ATL31/NA/ATNPR3/ATWRKY8/ATWRKY48/CYP81F2;30
GO:0010243;response to organonitrogen compound;23/260;242/21505;2.503274550069748e-14;1.5448780080430445e-12;1.2516372750348738e-12;STZ/PSI2/ATWRKY6/ATCMPG1/ATSERK4/anac036/SAUR6/ATWRKY33/ATSZF2/ATWRKY46/ATMYB15/ATERF#011/ATSZF1/ATWRKY70/AtWRKY22/ATRMA1/ATERF6/ATWRKY11/ATWRKY18/AtIQM1/RHA3B/ATL31/ATWRKY48;23
GO:0006979;response to oxidative stress;30/260;454/21505;4.5346486241627425e-14;2.6119576075177397e-12;2.116169357942613e-12;NA/PER4/AtPCR2/ABCG40/NA/STZ/ATP8/NA/ASG6/NA/NA/GATL10/NA/ATHSP17.4/ATEDS1/ATBT2/ATWRKY70/AtLEA5/ACS6/AtNUDT7/ATERF6/AtBBE19/HSP17.6II/AT-HSP17.6A/ATBCB/NA/AtCML37/ATWRKY8/HSP18.2/RHS19;30
GO:1901698;response to nitrogen compound;24/260;290/21505;1.4424763618906061e-13;7.789372354209273e-12;6.310834083271402e-12;STZ/PSI2/ATWRKY6/ATCMPG1/ATSERK4/anac036/SAUR6/ATWRKY33/ATSZF2/ATWRKY46/ATMYB15/ATBT2/ATERF#011/ATSZF1/ATWRKY70/AtWRKY22/ATRMA1/ATERF6/ATWRKY11/ATWRKY18/AtIQM1/RHA3B/ATL31/ATWRKY48;24
GO:0050832;defense response to fungus;22/260;265/21505;1.4630363865266812e-12;7.435667282112073e-11;6.024267473933392e-11;ATFH4/ATICS1/CYP71A13/atPARG2/AtRLP23/ATWRKY33/ATMLO12/BIK1/ATSZF2/ATBCA1/NA/AT-SYR1/HR4/ATSYP122/ATWRKY70/AtBBE19/ATWRKY18/PDI/NA/ATNPR3/ATWRKY8/CYP81F2;22
GO:0000302;response to reactive oxygen species;17/260;154/21505;5.908705577721128e-12;2.8361786773061414e-10;2.2978299468915502e-10;NA/ABCG40/ATP8/ASG6/NA/ATHSP17.4/ATEDS1/ATBT2/ATWRKY70/AtLEA5/AtNUDT7/ATERF6/HSP17.6II/AT-HSP17.6A/AtCML37/ATWRKY8/HSP18.2;17
GO:0009620;response to fungus;23/260;335/21505;2.2283357433788243e-11;1.0133063590943706e-9;8.209658001921984e-10;ATFH4/ATICS1/CYP71A13/atPARG2/AtRLP23/ATWRKY33/ATMLO12/BIK1/ATSZF2/ATBCA1/NA/AT-SYR1/AOC3/HR4/ATSYP122/ATWRKY70/AtBBE19/ATWRKY18/PDI/NA/ATNPR3/ATWRKY8/CYP81F2;23
GO:0009626;plant-type hypersensitive response;11/260;62/21505;1.925690667311677e-10;8.318983682786446e-9;6.739917335590869e-9;NA/CAD1/PLA/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/AtNUDT7/CRK13/AtGILP/AtGH3.12;11
GO:0034050;host programmed cell death induced by symbiont;11/260;63/21505;2.3083176039511693e-10;9.497078141970526e-9;7.694392013170565e-9;NA/CAD1/PLA/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/AtNUDT7/CRK13/AtGILP/AtGH3.12;11
GO:0080134;regulation of response to stress;22/260;366/21505;7.75934210933591e-10;3.0473052647573756e-8;2.468881580243244e-8;AthCYSTM3/ATICS1/atPARG2/EVR/AtRLP23/BIK1/ATWRKY46/LDAP3/AT-SYR1/ATSYP122/ATWRKY70/BAP1/ARCK1/AtNUDT7/NA/ATWRKY18/AO/AtGILP/AtGH3.12/NA/NA/ATWRKY8;22
GO:0009751;response to salicylic acid;15/260;160/21505;1.0827889872470161e-9;4.0675203694844434e-8;3.2954447437952667e-8;ABCG40/AtSOT1/ATWRKY46/AT-SYR1/ATEDS1/ATBT2/HR4/AtBCS1/ATSYP122/ATWRKY70/BAP1/ATWRKY18/NHL3/NA/NA;15
GO:0009814;defense response, incompatible interaction;16/260;201/21505;3.293116528486303e-9;1.185521950255069e-7;9.60492320808505e-8;NA/ATP8/ATICS1/ATWRKY33/ATMLO12/ATBCA1/ATEDS1/ATWRKY70/PH1/NA/NHL3/AtGH3.12/NA/ATL31/PDI/ATNPR3;16
GO:0008219;cell death;15/260;178/21505;4.738832335654335e-9;1.637740455202138e-7;1.3268730539832137e-7;NA/CAD1/ATP8/ATSERK4/PLA/EVR/AT-SYR1/ATEDS1/ATERF#011/AtBCS1/ATSYP122/AtNUDT7/CRK13/AtGILP/AtGH3.12;15
GO:0031347;regulation of defense response;17/260;247/21505;9.520110533801936e-9;3.1636059620018745e-7;2.563106682177444e-7;ATICS1/EVR/AtRLP23/BIK1/AT-SYR1/ATSYP122/ATWRKY70/BAP1/ARCK1/AtNUDT7/NA/ATWRKY18/AO/AtGILP/AtGH3.12/NA/NA;17
GO:0009753;response to jasmonic acid;15/260;198/21505;2.0107983424634486e-8;6.434554695883036e-7;5.213180887868201e-7;ABCG40/ATP8/TAT/ATWRKY46/AT-SYR1/ANAC055/ATBT2/HR4/ATSYP122/ATWRKY70/ACS6/AtBBE22/GGP/ATWRKY11/ATNPR3;15
GO:0002831;regulation of response to biotic stimulus;13/260;168/21505;1.404002526384788e-7;4.332350652844489e-6;3.5100063159619702e-6;AtRLP23/BIK1/AT-SYR1/ATSYP122/ATWRKY70/AtNUDT7/NA/ATWRKY18/AO/AtGILP/AtGH3.12/NA/NA;13
GO:0012501;programmed cell death;12/260;141/21505;1.516823757769485e-7;4.519088712802879e-6;3.661298725650481e-6;NA/CAD1/ATP8/PLA/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/AtNUDT7/CRK13/AtGILP/AtGH3.12;12
GO:0009409;response to cold;20/260;413/21505;1.6803234157674346e-7;4.839331437410212e-6;3.9207546367906815e-6;ATGSTU26/STZ/ATICS1/ATCCR2/ATWRKY25/ATWRKY33/ATSZF2/ATBCA1/ATMYB15/ATBT2/ATERF#011/BAP1/AtLEA5/ARCK1/COR28/NA/SAUR14/ATBCB/AATP1/COR27;20
GO:0032101;regulation of response to external stimulus;13/260;173/21505;1.976270955564886e-7;5.5080584051872955e-6;4.462547319017485e-6;AtRLP23/BIK1/AT-SYR1/ATSYP122/ATWRKY70/AtNUDT7/NA/ATWRKY18/AO/AtGILP/AtGH3.12/NA/NA;13
GO:0009651;response to salt stress;21/260;465/21505;2.611980234226009e-7;7.052346632410224e-6;5.713706762369395e-6;NA/STZ/ATP8/AthCYSTM3/AtSOT1/IQM4/ATWRKY25/GAMMA-TIP/ATWRKY33/ATMYB15/ATHSP17.4/ATBT2/BGLU30/ARCK1/AtNUDT7/HSP17.6II/AT-HSP17.6A/ATSTP13/AATP1/ATWRKY8/HSP18.2;21
GO:0014070;response to organic cyclic compound;17/260;325/21505;5.016050807352325e-7;1.313293302288609e-5;1.06401077731716e-5;ATSYP111/ABCG40/AtSOT1/ATSERK4/ATWRKY46/AT-SYR1/ATEDS1/ATBT2/HR4/AtBCS1/ATSYP122/ATWRKY70/BAP1/ATWRKY18/NHL3/NA/NA;17
GO:0031349;positive regulation of defense response;9/260;90/21505;1.4461217436129071e-6;3.674850548475152e-5;2.97730947214422e-5;EVR/AtRLP23/ATWRKY70/ARCK1/AtNUDT7/NA/AO/AtGH3.12/NA;9
GO:0002682;regulation of immune system process;10/260;123/21505;2.54202019251671e-6;6.275158418098392e-5;5.08404038503342e-5;AtRLP23/AT-SYR1/ATSYP122/ATWRKY70/AtNUDT7/NA/ATWRKY18/AtGILP/AtGH3.12/NA;10
GO:0071229;cellular response to acid chemical;19/260;451/21505;2.747765007792974e-6;6.594636018703137e-5;5.342876404041895e-5;ATP8/ATCDPK3/GAMMA-TIP/ATWRKY46/AT-SYR1/ANAC055/ATEDS1/ATBT2/AtBCS1/ATSYP122/ATWRKY70/AtLEA5/ARCK1/ATWRKY11/LecRK-VI.2/LecRK-VI.3/AIP2/ATNPR3/GATA21;19
GO:0002239;response to oomycetes;9/260;98/21505;2.9626543736674514e-6;6.918198321212643e-5;5.605021788019503e-5;ABCG40/AtRLP23/NA/ATWRKY70/ARCK1/LecRK-VI.2/LecRK-VI.3/LecRK-VIII.2/ATBCB;9
GO:0045088;regulation of innate immune response;9/260;106/21505;5.6846398032744025e-6;1.292507576323443e-4;1.0471704900768637e-4;AtRLP23/AT-SYR1/ATSYP122/ATWRKY70/AtNUDT7/NA/AtGILP/AtGH3.12/NA;9
GO:0009627;systemic acquired resistance;8/260;82/21505;6.750197499006269e-6;1.4954283690106195e-4;1.2115739100780482e-4;NA/ATICS1/ATWRKY33/ATEDS1/ATWRKY70/NA/AtGH3.12/ATNPR3;8
GO:0050776;regulation of immune response;9/260;113/21505;9.603319016127194e-6;2.0314300158772038e-4;1.6458345036042158e-4;AtRLP23/AT-SYR1/ATSYP122/ATWRKY70/AtNUDT7/NA/AtGILP/AtGH3.12/NA;9
GO:0010941;regulation of cell death;8/260;86/21505;9.639887806824693e-6;2.0314300158772038e-4;1.6458345036042158e-4;ATSERK4/EVR/AT-SYR1/ATEDS1/ATERF#011/ATSYP122/AtGILP/AtGH3.12;8
GO:0051259;protein complex oligomerization;6/260;44/21505;1.4157919338654668e-5;2.9124862639518174e-4;2.3596532231091115e-4;NA/NA/ATHSP17.4/HSP17.6II/AT-HSP17.6A/HSP18.2;6
GO:0042542;response to hydrogen peroxide;7/260;66/21505;1.4766963826228212e-5;2.9671294757816684e-4;2.4039243438045925e-4;NA/ATHSP17.4/ATBT2/HSP17.6II/AT-HSP17.6A/ATWRKY8/HSP18.2;7
GO:0009867;jasmonic acid mediated signaling pathway;8/260;104/21505;3.881876629441756e-5;7.622594108721994e-4;6.175712819566431e-4;ATP8/ATWRKY46/AT-SYR1/ANAC055/ATSYP122/ATWRKY70/ATWRKY11/ATNPR3;8
GO:0010193;response to ozone;5/260;33/21505;4.472589428816491e-5;8.587371703327663e-4;6.957361333714541e-4;ABCG40/ATP8/ASG6/AtNUDT7/AtCML37;5
GO:0071395;cellular response to jasmonic acid stimulus;8/260;108/21505;5.089766088940483e-5;9.559908480096909e-4;7.745296222300735e-4;ATP8/ATWRKY46/AT-SYR1/ANAC055/ATSYP122/ATWRKY70/ATWRKY11/ATNPR3;8
GO:0002833;positive regulation of response to biotic stimulus;7/260;81/21505;5.652977125878025e-5;0.0010391855822890668;8.419327634286421e-4;AtRLP23/ATWRKY70/AtNUDT7/NA/AO/AtGH3.12/NA;7
GO:0002684;positive regulation of immune system process;6/260;57/21505;6.382893145190283e-5;0.001102963935488881;8.936050403266397e-4;AtRLP23/ATWRKY70/AtNUDT7/NA/AtGH3.12/NA;6
GO:0045089;positive regulation of innate immune response;6/260;57/21505;6.382893145190283e-5;0.001102963935488881;8.936050403266397e-4;AtRLP23/ATWRKY70/AtNUDT7/NA/AtGH3.12/NA;6
GO:0050778;positive regulation of immune response;6/260;57/21505;6.382893145190283e-5;0.001102963935488881;8.936050403266397e-4;AtRLP23/ATWRKY70/AtNUDT7/NA/AtGH3.12/NA;6
GO:0002237;response to molecule of bacterial origin;5/260;36/21505;6.897346925849593e-5;0.0011684917144968723;9.46694676097003e-4;AtRLP23/BIK1/AtBCS1/CRK13/ATWRKY18;5
GO:0032103;positive regulation of response to external stimulus;7/260;84/21505;7.14061822776273e-5;0.0011864411824590384;9.61237069121906e-4;AtRLP23/ATWRKY70/AtNUDT7/NA/AO/AtGH3.12/NA;7
GO:0010363;regulation of plant-type hypersensitive response;4/260;20/21505;8.684843301659881e-5;0.0014157933231385164;0.0011470547756909275;AT-SYR1/ATSYP122/AtGILP/AtGH3.12;4
GO:0009615;response to virus;7/260;87/21505;8.933462734153093e-5;0.001429354037464495;0.001158041465538364;Hsp70b/PLA/ATNHL10/ATWRKY18/NHL3/COR27/ATWRKY8;7
GO:0010114;response to red light;6/260;62/21505;1.0281628541393673e-4;0.0016151503745025697;0.0013085709052682857;ARR4/PAPP2C/ATGA2OX2/AT-EXP1/COR28/COR27;6
GO:0048584;positive regulation of response to stimulus;11/260;228/21505;1.1037920863706999e-4;0.0017029935046862228;0.001379740107963375;EVR/AtRLP23/LDAP3/ATWRKY70/ARCK1/AtNUDT7/NA/AO/AtGH3.12/NA/ATWRKY8;11
GO:0031348;negative regulation of defense response;6/260;63/21505;1.1250019820764491e-4;0.0017052661623053545;0.0013815813814973938;ATICS1/AT-SYR1/ATSYP122/BAP1/AtGILP/NA;6
GO:0009408;response to heat;11/260;234/21505;1.387456011124041e-4;0.002066831023467537;0.0016745158754945322;NA/Hsp70b/ATWRKY25/ATWRKY33/ATHSP17.4/BAP1/GGP/AT-HSFB1/HSP17.6II/AT-HSP17.6A/HSP18.2;11
GO:0009636;response to toxic substance;10/260;196/21505;1.433676609779832e-4;0.002099485747203008;0.0017009722488913262;NA/ATGSTU26/ATGSTU11/ATHSP17.4/ATBT2/ATGSTF13/HSP17.6II/AT-HSP17.6A/ATWRKY8/HSP18.2;10
GO:0009723;response to ethylene;9/260;164/21505;1.785003593738716e-4;0.002570405174983751;0.002082504192695168;ABCG40/AtTEM1/ATP8/ATERF3/HR4/ATWRKY70/AtLEA5/ACS6/ATERF6;9
GO:0002252;immune effector process;6/260;71/21505;2.187915572162631e-4;0.003098949269423792;0.0025107227877276092;PLA/ATNHL10/ATWRKY70/ATWRKY18/NHL3/ATWRKY8;6
GO:0009646;response to absence of light;5/260;47/21505;2.5185285253141157e-4;0.00349549518101219;0.0028319984105422843;ATCAL4/AtLEA5/COR28/ATBCB/COR27;5
GO:0009404;toxin metabolic process;6/260;73/21505;2.5487985694880555e-4;0.00349549518101219;0.0028319984105422843;ATGSTU26/ATGSTU11/CYP71A13/ATWRKY33/ATWRKY70/ATGSTF13;6
GO:0009816;defense response to bacterium, incompatible interaction;5/260;49/21505;3.069946391393297e-4;0.0041444276283809514;0.003357753865586419;ATP8/NHL3/NA/ATL31/ATNPR3;5
GO:0071236;cellular response to antibiotic;6/260;77/21505;3.4100911376272377e-4;0.004532798066015282;0.0036724058405216407;AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70/ATWRKY8;6
GO:0002229;defense response to oomycetes;6/260;78/21505;3.6573562434680284e-4;0.004787811809630874;0.0038790141976176064;ABCG40/AtRLP23/ATWRKY70/LecRK-VI.2/LecRK-VI.3/LecRK-VIII.2;6
GO:0051607;defense response to virus;5/260;53/21505;4.4421216804713896e-4;0.005676166269648576;0.004598745820317133;PLA/ATNHL10/ATWRKY18/NHL3/ATWRKY8;5
GO:0009682;induced systemic resistance;4/260;30/21505;4.4673530825937866e-4;0.005676166269648576;0.004598745820317133;CYP71A13/ATWRKY70/ATWRKY11/CYP81F2;4
GO:0010120;camalexin biosynthetic process;3/260;14/21505;5.761584707937716e-4;0.007111441696654552;0.005761584707937716;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0052317;camalexin metabolic process;3/260;14/21505;5.761584707937716e-4;0.007111441696654552;0.005761584707937716;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0009700;indole phytoalexin biosynthetic process;3/260;15/21505;7.137826875138727e-4;0.008333895162324136;0.006751998395401499;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0046217;indole phytoalexin metabolic process;3/260;15/21505;7.137826875138727e-4;0.008333895162324136;0.006751998395401499;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0052314;phytoalexin metabolic process;3/260;15/21505;7.137826875138727e-4;0.008333895162324136;0.006751998395401499;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0052315;phytoalexin biosynthetic process;3/260;15/21505;7.137826875138727e-4;0.008333895162324136;0.006751998395401499;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0060548;negative regulation of cell death;4/260;34/21505;7.278794505948078e-4;0.008385171270852186;0.0067935415388848735;ATSERK4/AT-SYR1/ATSYP122/AtGILP;4
GO:0009863;salicylic acid mediated signaling pathway;5/260;60/21505;7.893639389804484e-4;0.008973821622093519;0.007270457332714657;AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70;5
GO:0010119;regulation of stomatal movement;6/260;91/21505;8.331444835834029e-4;0.009348530309299483;0.007574040759849118;AT-EXP1/ATCDPK3/ATBCA1/AT-SYR1/ATWRKY70/AtIQM1;6
GO:0009414;response to water deprivation;13/260;384/21505;8.559815640518862e-4;0.009481641940267047;0.007681885831234876;STZ/ATP8/NA/ATWRKY33/ATWRKY46/LDAP3/ANAC055/ATMYB15/ATWRKY70/AtLEA5/ARCK1/ATSTP13/AATP1;13
GO:0007568;aging;8/260;165/21505;9.20263623210969e-4;0.01006465532220604;0.00815423463604656;ATSERK4/ATNHL10/ATMLO12/ATWRKY70/BGLU30/AtWRKY22/AtLEA5/GATA21;8
GO:0052482;defense response by cell wall thickening;3/260;17/21505;0.0010478484199723554;0.011269459540939076;0.009130349165112678;ATFH4/GGP/CYP81F2;3
GO:0009415;response to water;13/260;393/21505;0.0010565118319630384;0.011269459540939076;0.009130349165112678;STZ/ATP8/NA/ATWRKY33/ATWRKY46/LDAP3/ANAC055/ATMYB15/ATWRKY70/AtLEA5/ARCK1/ATSTP13/AATP1;13
GO:0071446;cellular response to salicylic acid stimulus;5/260;65/21505;0.0011368289546511985;0.011978295327056531;0.009704637417754134;AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70;5
GO:0035690;cellular response to drug;6/260;97/21505;0.0011631583887966954;0.012108058408678853;0.009809769544068517;AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70/ATWRKY8;6
GO:0048585;negative regulation of response to stimulus;9/260;215/21505;0.00126735550264717;0.013035656598656607;0.010561295855393083;ATERF3/ATICS1/AT-SYR1/ATSYP122/BAP1/AtGILP/AIP2/NA/GATA21;9
GO:2000022;regulation of jasmonic acid mediated signaling pathway;4/260;41/21505;0.0014876973560535099;0.01512200606623803;0.012251625285146554;ATWRKY46/ATWRKY70/ATWRKY11/ATNPR3;4
GO:0002253;activation of immune response;4/260;42/21505;0.0016288542606747924;0.016364303270035123;0.013258116075259941;AtRLP23/ATWRKY70/AtNUDT7/NA;4
GO:0050829;defense response to Gram-negative bacterium;3/260;20/21505;0.0017102673194452009;0.016984723724145445;0.013760771535765983;ATICS1/TET8/ATEDS1;3
GO:0090693;plant organ senescence;7/260;142/21505;0.001734906721927442;0.01703362963346943;0.01380039437896829;ATSERK4/ATNHL10/ATMLO12/ATWRKY70/AtWRKY22/AtLEA5/GATA21;7
GO:0010118;stomatal movement;7/260;143/21505;0.0018057938633513019;0.01753040334759017;0.014202873082538332;AT-EXP1/ATICS1/ATCDPK3/ATBCA1/AT-SYR1/ATWRKY70/AtIQM1;7
GO:0007623;circadian rhythm;7/260;144/21505;0.001878909233494633;0.0178393140410919;0.014453147949958715;ARR4/ADO3/ATCCR2/ATBT2/COR28/COR27/GATA21;7
GO:0048511;rhythmic process;7/260;144/21505;0.001878909233494633;0.0178393140410919;0.014453147949958715;ARR4/ADO3/ATCCR2/ATBT2/COR28/COR27/GATA21;7
GO:0009873;ethylene-activated signaling pathway;5/260;76/21505;0.002283889488261644;0.021448701281065876;0.017377420019382077;AtTEM1/ATP8/ATERF3/ATWRKY70/ATERF6;5
GO:0009642;response to light intensity;7/260;151/21505;0.002457109134573427;0.022827336476037;0.018494369830122568;STZ/ATCAL4/AtLEA5/ATERF6/COR28/ATBCB/COR27;7
GO:0009403;toxin biosynthetic process;3/260;23/21505;0.0025868309930531424;0.023776829553169312;0.01926363505465106;CYP71A13/ATWRKY33/ATWRKY70;3
GO:0080135;regulation of cellular response to stress;5/260;79/21505;0.0027058922289375617;0.024609377745284773;0.01993815326585572;atPARG2/AT-SYR1/ATSYP122/AtGILP/AtGH3.12;5
GO:0071407;cellular response to organic cyclic compound;7/260;154/21505;0.002743157007822132;0.024688413070399186;0.020002186515369714;ATSERK4/ATWRKY46/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70;7
GO:0071396;cellular response to lipid;11/260;344/21505;0.0032650773066630373;0.02908275044285427;0.023562413553238414;ATSERK4/ATCDPK3/GAMMA-TIP/ATWRKY46/ATBT2/ATWRKY70/ARCK1/LecRK-VI.2/LecRK-VI.3/AIP2/GATA21;11
GO:0071369;cellular response to ethylene stimulus;5/260;83/21505;0.0033528583813057077;0.029559894300491135;0.023948988437897913;AtTEM1/ATP8/ATERF3/ATWRKY70/ATERF6;5
GO:0009817;defense response to fungus, incompatible interaction;4/260;52/21505;0.003585709998655993;0.03129346907917957;0.025353505041001975;ATMLO12/ATBCA1/PDI/ATNPR3;4
