"Group.1","transcript","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source"
"AT1G03740","AT1G03740.2,AT1G03740.1","433.330608881049,432.283942564785","0.3209584065525,0.322463379164513","0.124004318135939,0.12373493891138","0.00377188860436412,0.00355569610064927","0.042369129659823,0.0405410136603943","AT1G03740","","","839423","F21B7.34 [Source:UniProtKB/TrEMBL;Acc:Q9LR53]","",""
"AT1G03850","AT1G03850.1,AT1G03850.2","422.389892465453,714.81989022703","0.587224247918296,0.5420059600844","0.23555623616188,0.226159508133799","0.00159193958800698,0.00225472796040553","0.0224685902322124,0.0292834287319604","AT1G03850","",",Q84TF4","839392","Glutaredoxin family protein [Source:TAIR;Acc:AT1G03850]","",""
"AT1G03870","AT1G03870.1","1958.18701146521","0.449366281350704","0.177850955253694","0.00242000384542441","0.0307657800736407","AT1G03870","FLA9","Q9ZWA8","839384","At1g03870 [Source:UniProtKB/TrEMBL;Acc:B3LF88]","FLA9","UniProtKB Gene Name"
"AT1G04190","AT1G04190.1","225.358347184639","0.469327153961553","0.190385964707936","0.00262668512556404","0.0326110207854848","AT1G04190","TPR3","","839442","TPR3 [Source:UniProtKB/TrEMBL;Acc:A0A178WLS7]","TPR3","TAIR Gene Name"
"AT1G04230","AT1G04230.1","122.165081426465","0.679273586963669","0.297336649504538","0.00201252872755908","0.0268935013313818","AT1G04230","","","839575","At1g04230 [Source:UniProtKB/TrEMBL;Acc:Q94K10]","",""
"AT1G04625","AT1G04625.1","317.360954130008","-0.386195125686839","0.153490188252143","0.00328765749000965","0.0383437798186655","AT1G04625","","","3766658","Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4I5Q9]","",""
"AT1G04630","AT1G04630.1","735.16663472396","-0.456199767307805","0.106485811626509","4.37195328915564e-06","0.000169302687631907","AT1G04630","MEE4","Q8RWA7","839465","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A [Source:UniProtKB/Swiss-Prot;Acc:Q8RWA7]","MEE4","UniProtKB Gene Name"
"AT1G04640","AT1G04640.2","376.686089044746","0.363243447795856","0.127871942436869","0.00146975841693502","0.0211765639171502","AT1G04640","LIP2","Q9SXP7","839462","LIP2 [Source:UniProtKB/TrEMBL;Acc:A0A178WI01]","LIP2","UniProtKB Gene Name"
"AT1G04733","AT1G04733.1","1052.79525922928","-0.50440475837475","0.160060776682174","0.000294912167357454","0.00592699492885693","AT1G04733","NA","NA","NA","NA","NA","NA"
"AT1G04980","AT1G04980.1","228.825191301702","1.01224721386581","0.286107702269979","2.72087656206921e-05","0.000825567299452623","AT1G04980","ATPDIL2-2","Q9MAU6","839355","Protein disulfide-isomerase like 2-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAU6]","PDIL2-2","UniProtKB Gene Name"
"AT1G05163","AT1G05163.1","80.0863500917518","-0.642996428792868","0.280150585307451","0.00212166753270307","0.0279655298705796","AT1G05163","NA","NA","NA","NA","NA","NA"
"AT1G05257","AT1G05257.1","29.6020493724947","-1.2894512418288","0.601052264210377","0.00123955155659951","0.018579345803413","AT1G05257","NA","NA","NA","NA","NA","NA"
"AT1G05380","AT1G05380.2,AT1G05380.3,AT1G05380.1","319.383051730154,519.050043767593,319.647267557077","-0.427136807086203,-0.354840041727117,-0.423798282504967","0.155405225161539,0.133360974619839,0.155827992739961","0.00142653649749482,0.00258062053911628,0.00157486706598825","0.0207391923871044,0.0322148713056638,0.022305740521367","AT1G05380","","","837039","Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein [Source:UniProtKB/TrEMBL;Acc:Q9ZW00]","",""
"AT1G05853","AT1G05853.1","31.6635039404444","-1.14335556698707","0.403801845204517","0.000243523658008668","0.00511452564262938","AT1G05853","NA","NA","NA","NA","NA","NA"
"AT1G05960","AT1G05960.1,AT1G05960.4,AT1G05960.3,AT1G05960.2","839.905193869254,839.266005064359,839.709651797287","-0.390898028263257,-0.392029879610954,-0.390296152248164","0.124432616268161,0.124575086147881,0.1244376675723","0.000488488794379294,0.000477181796919643,0.00049798160204229","0.00897325617253436,0.00881999760899823,0.00910440276777318","AT1G05960","","","837106","ARM repeat superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IAF6]","",""
"AT1G06330","AT1G06330.1","14.607730199392","2.18254578213947","0.908447347889715","0.000573184235619523","0.0101576753729624","AT1G06330","","F4IC29","837144","Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT1G06330]","",""
"AT1G06410","AT1G06410.3","1932.78494973003","-0.356112172129432","0.146016583832698","0.004639270600271","0.0491711842307079","AT1G06410","ATTPS7","Q9LMI0","837152","TPS7 [Source:UniProtKB/TrEMBL;Acc:A0A178WH64]","TPS7","UniProtKB Gene Name"
"AT1G06430","AT1G06430.2,AT1G06430.3,AT1G06430.1","651.804797010273","-0.412704361929572","0.125576104684786","0.000267063172320886","0.00547224887945223","AT1G06430","FTSH8","Q8W585","837154","ATP-dependent zinc metalloprotease FTSH 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W585]","FTSH8","UniProtKB Gene Name"
"AT1G06537","AT1G06537.1","131.550012028103","-0.586333821074189","0.28432754220404","0.00430127499211234","0.0465843013283477","AT1G06537","NA","NA","NA","NA","NA","NA"
"AT1G07135","AT1G07135.1","1659.93343543131","0.59597790020381","0.150418003584533","1.09899287985796e-05","0.000376577843668601","AT1G07135","","","837224","At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]","",""
"AT1G07150","AT1G07150.2,AT1G07150.1","76.288112143225,77.383250169439","-0.95498870449754,-0.889857051710849","0.324405077140569,0.327614273074653","0.000207133054348743,0.000437072531801537","0.00448162714795048,0.00820406985214665","AT1G07150","MAPKKK13","","837226","F10K1.14 protein [Source:UniProtKB/TrEMBL;Acc:Q9LMK8]","MAPKKK13","TAIR Gene Name"
"AT1G07160","AT1G07160.1","26.8731148233317","1.43888359465489","0.479105465581739","0.000122405390945909","0.00293757751497111","AT1G07160","","Q8RX37","837227","PP2C-type phosphatase AP2C2 [Source:UniProtKB/TrEMBL;Acc:F6LPR6]","",""
"AT1G07320","AT1G07320.1,AT1G07320.2,AT1G07320.4","2386.00078781673,2384.69004457176,2387.43969112788","-0.390448647138618,-0.390046787262668,-0.389571064952596","0.138875011282423,0.138605737245248,0.138494693190316","0.00138902212906198,0.00137866070269975,0.00138714874975725","0.0203006082678095,0.0201949518911937,0.020280890602082","AT1G07320","RPL4","O50061,","837243","RPL4 [Source:UniProtKB/TrEMBL;Acc:A0A384KN11]","RPL4","UniProtKB Gene Name"
"AT1G07570","AT1G07570.4,AT1G07570.3,AT1G07570.5","338.841132343431,338.167553349443","-0.40885431061418,-0.407693036550069","0.170719922715019,0.171341590305112","0.00405910489536519,0.00419954276042318","0.0447253010487319,0.045803076185433","AT1G07570","APK1A",",Q06548","837271","Protein kinase superfamily protein [Source:TAIR;Acc:AT1G07570]","APK1A","TAIR Gene Name"
"AT1G07590","AT1G07590.1","46489.5204180405","-0.363008392144176","0.120524069771973","0.00075477710740807","0.0127786902307171","AT1G07590","","Q940Q2","837272","Pentatricopeptide repeat-containing protein At1g07590, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q940Q2]","",""
"AT1G07600","AT1G07600.1","4613.44938279289","-0.513101380699029","0.0942039640168377","1.01888248582756e-08","7.36756782181773e-07","AT1G07600","MT1A","P43392","837273","Metallothionein-like protein 1A [Source:UniProtKB/Swiss-Prot;Acc:P43392]","MT1A","UniProtKB Gene Name"
"AT1G07610","AT1G07610.1","1678.7418567403","-0.753987137163866","0.156774728950599","1.61283370677016e-07","8.90072536092871e-06","AT1G07610","MT1C","Q38804","837274","Metallothionein-like protein 1C [Source:UniProtKB/Swiss-Prot;Acc:Q38804]","MT1C","UniProtKB Gene Name"
"AT1G07985","AT1G07985.1","37.8390495069094","-0.985402151670628","0.47366912144723","0.00176173612838811","0.0243235274314142","AT1G07985","","","2745747","Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q3EDG6]","",""
"AT1G08130","AT1G08130.1","152.997103793287","0.420968604348411","0.168897931816912","0.00297754497350295","0.0357397781088846","AT1G08130","ATLIG1","Q42572","837333","DNA ligase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q42572]","LIG1","UniProtKB Gene Name"
"AT1G08580","AT1G08580.1","517.104030635112","0.357609913787008","0.124845800032904","0.00139903179757279","0.0204083499701738","AT1G08580","","","837380","At1g08580 [Source:UniProtKB/TrEMBL;Acc:Q9FRS7]","",""
"AT1G08757","AT1G08757.1","64.9999111107507","0.841789884021649","0.381870826447392","0.00177592151414949","0.0244820783859464","AT1G08757","NA","NA","NA","NA","NA","NA"
"AT1G09210","AT1G09210.1","1033.53448626585","0.528859630692161","0.194254893439104","0.0010305005611318","0.0163220119680254","AT1G09210","CRT1b","Q38858","837441","Calreticulin-2 [Source:UniProtKB/Swiss-Prot;Acc:Q38858]","CRT2","UniProtKB Gene Name"
"AT1G09467","AT1G09467.1","14.12362686721","1.18514965957254","0.796612342996373","0.00391252886726851","0.0435255208152759","AT1G09467","NA","NA","NA","NA","NA","NA"
"AT1G09490","AT1G09490.1,AT1G09490.2","292.102795218641","-0.495550804050587","0.185668504011891","0.00134030405300523","0.0197602906229269","AT1G09490","","","837474","At1g09490/F14J9_15 [Source:UniProtKB/TrEMBL;Acc:O80532]","",""
"AT1G09660","AT1G09660.1,AT1G09660.2,AT1G09660.3","218.822514405213,219.974850743064","0.434990571589429,0.44325045615773","0.147453434645955,0.147050598764403","0.000754656738878053,0.000595048505229585","0.0127786902307171,0.0104308180594135","AT1G09660","","Q8GWR3,","837494","KH domain-containing protein At1g09660/At1g09670 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWR3]","",""
"AT1G09800","AT1G09800.1,AT1G09800.2","1078.81466311257,1060.03021145234","-0.503294579226243,-0.500156529606323","0.157928639107693,0.158495668970399","0.00026186678659334,0.000295871734684829","0.00538860558837763,0.00594293558048665","AT1G09800","","","837510","tRNA pseudouridine synthase [Source:UniProtKB/TrEMBL;Acc:F4I2L0]","",""
"AT1G09927","AT1G09927.1","6216.45087228281","-0.351723545769931","0.122813410994062","0.00146367871993545","0.0211204307942643","AT1G09927","NA","NA","NA","NA","NA","NA"
"AT1G10960","AT1G10960.1","5078.18771996708","-0.555697210239371","0.114160296477945","1.93982856961959e-07","1.05845145337523e-05","AT1G10960","ATFD1","O04090","837639","Ferredoxin-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O04090]","FD1","UniProtKB Gene Name"
"AT1G11820","AT1G11820.2,AT1G11820.1","240.732697547133,231.435194687434","-0.422554338522203,-0.475062467584253","0.178821526578527,0.184749077664189","0.00410932994066311,0.00189884282719781","0.045073302547347,0.0258293367134228","AT1G11820","",",O65399","837730","Glucan endo-1,3-beta-glucosidase 1 [Source:UniProtKB/Swiss-Prot;Acc:O65399]","",""
"AT1G12410","AT1G12410.1","962.049929048011","-0.384484652447847","0.132051193544476","0.00107985485752237","0.0168448649266574","AT1G12410","CLPR2","Q9XJ36","837797","ATP-dependent Clp protease proteolytic subunit-related protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XJ36]","CLPR2","UniProtKB Gene Name"
"AT1G12710","AT1G12710.2,AT1G12710.1","173.77136884136","0.667855060827364","0.272312173613455","0.00138238367006024","0.0202265108396181","AT1G12710","AtPP2-A12","Q9LN77,","837826","phloem protein 2-A12 [Source:TAIR;Acc:AT1G12710]","AtPP2-A12","TAIR Gene Name"
"AT1G13020","AT1G13020.1","156.825405060663","-0.519118093881638","0.212801921934358","0.00225794883013403","0.0292834287319604","AT1G13020","EIF4B2","Q9SAD7","837859","eIF4B2 [Source:UniProtKB/TrEMBL;Acc:A0A178W345]","EIF4B2","UniProtKB Gene Name"
"AT1G13030","AT1G13030.1","72.5173937530521","0.606859719243393","0.302330739616982","0.00457029807646409","0.0486400416467922","AT1G13030","","Q8RWK8","837860","Coilin [Source:UniProtKB/Swiss-Prot;Acc:Q8RWK8]","COIL","UniProtKB Gene Name"
"AT1G13210","AT1G13210.1","251.282240607113","0.975060411882845","0.197419555417582","6.12412662140527e-08","3.74870193790639e-06","AT1G13210","ACA.l","Q9SAF5","837881","Probable phospholipid-transporting ATPase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAF5]","ALA11","UniProtKB Gene Name"
"AT1G13360","AT1G13360.2,AT1G13360.3","74.4352767192986","0.633085980895936","0.310029499244228","0.00388239303965766","0.0433211009899614","AT1G13360","","","837896","T6J4.11 protein [Source:UniProtKB/TrEMBL;Acc:Q9FX61]","",""
"AT1G13770","AT1G13770.4,AT1G13770.2,AT1G13770.3,AT1G13770.1","71.7987617515531","-0.717683064402653","0.33137684807732","0.00240383826901777","0.0306408195305507","AT1G13770","RUS3","Q84JB8,","837937","RUS3 [Source:UniProtKB/TrEMBL;Acc:A0A178WJD5]","RUS3","UniProtKB Gene Name"
"AT1G14350","AT1G14350.1","27.5290722515118","0.901971140063962","0.436981011215824","0.00211560532631099","0.0278951287163146","AT1G14350","FLP",",Q94FL6","837997","MYB124 [Source:UniProtKB/TrEMBL;Acc:A0A178W3Z3]","MYB124","UniProtKB Gene Name"
"AT1G14360","AT1G14360.1","167.116018701005","0.517339035228807","0.220057880341948","0.00287156915735885","0.0347830462759114","AT1G14360","ATUTR3","Q9M9S6","837998","UDP-galactose/UDP-glucose transporter 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9S6]","UTR3","UniProtKB Gene Name"
"AT1G14450","AT1G14450.1,AT1G14450.2","997.616635783367","-0.291896228607099","0.113601153579175","0.00454263513677824","0.0484122266946014","AT1G14450","",",Q9M9R9","838007","NADH dehydrogenase (ubiquinone)s [Source:TAIR;Acc:AT1G14450]","",""
"AT1G14720","AT1G14720.1","939.892190731257","0.364455268755347","0.11741548646035","0.000631278065876031","0.0109858854055241","AT1G14720","XTR2","Q38909","838037","Xyloglucan endotransglucosylase/hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A178W9E1]","XTH28","UniProtKB Gene Name"
"AT1G14840","AT1G14840.2,AT1G14840.1","111.06737727452,110.88639083914","0.725230828797003,0.731411656800954","0.293021691445698,0.293672821268014","0.00114416434797783,0.00108551146043288","0.0175438533356601,0.0169126445261","AT1G14840","MAP70-4,ATMAP70-4",",Q9LQU7","838049","Microtubule-associated protein 70-4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQU7]","MAP70.4","UniProtKB Gene Name"
"AT1G15180","AT1G15180.1,AT1G15180.2","320.029582392177","-0.563496226090969","0.194705698807178","0.000542643202294943","0.00972784750879619","AT1G15180","","Q94AL1,","838084","Protein DETOXIFICATION 13 [Source:UniProtKB/Swiss-Prot;Acc:Q94AL1]","DTX13","UniProtKB Gene Name"
"AT1G15350","AT1G15350.1","376.202254223381","-0.373074332097496","0.155428449623038","0.00466653265323318","0.0493924711964375","AT1G15350","","","838104","DUF4050 family protein [Source:UniProtKB/TrEMBL;Acc:Q8L920]","",""
"AT1G15370","AT1G15370.1","341.595369837765","-0.383587298471072","0.147264788426708","0.00263701632670525","0.0327182853158818","AT1G15370","","","838106","F9L1.32 protein [Source:UniProtKB/TrEMBL;Acc:Q9XI32]","",""
"AT1G15380","AT1G15380.1,AT1G15380.2","1119.23205668539,1118.21443847349","-0.372994375261657,-0.375728726860328","0.111437901103149,0.111744982122514","0.000258059251963928,0.000239769775005985","0.00532157794321776,0.00504664500319996","AT1G15380","","","838107","GLYI4 [Source:UniProtKB/TrEMBL;Acc:A0A178W6B2]","",""
"AT1G15390","AT1G15390.1","253.381144537902","-0.628884904582126","0.209979659972111","0.000325604410257145","0.00647293536238844","AT1G15390","PDF1A","Q9FV53","838109","Peptide deformylase [Source:UniProtKB/TrEMBL;Acc:A0A178WDP8]","PDF1A","UniProtKB Gene Name"
"AT1G15405","AT1G15405.1","79.6253958297009","-0.636476945947148","0.280868024159859","0.00231187145465544","0.0298421952268269","AT1G15405","NA","NA","NA","NA","NA","NA"
"AT1G15520","AT1G15520.1,AT1G15520.2","112.671055588874","1.89506927592754","1.67485066963338","0.00335989690342914","0.0388582874756531","AT1G15520","PDR12","Q9M9E1,","838122","ABC transporter G family member 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9E1]","ABCG40","UniProtKB Gene Name"
"AT1G16110","AT1G16110.1","78.2149338034813","1.18634170266527","0.264697214283145","5.25318220327617e-07","2.61887379788585e-05","AT1G16110","WAKL6","Q8GXQ3","838180","Wall-associated receptor kinase-like 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXQ3]","WAKL6","UniProtKB Gene Name"
"AT1G16670","AT1G16670.1","88.1090985494385","0.567521273079676","0.262158418328464","0.00375919652108732","0.0422510972152191","AT1G16670","","Q93YN1","838236","Cold-responsive protein kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q93YN1]","CRPK1","UniProtKB Gene Name"
"AT1G16730","AT1G16730.1","80.9941615106774","-0.802430228743948","0.273023385782652","0.000262052671009085","0.00538956386531498","AT1G16730","UP6","","838244","F17F16.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9FWQ7]","UP6","TAIR Gene Name"
"AT1G16970","AT1G16970.1","135.801201919011","0.555117903306977","0.2082844835704","0.001104382238808","0.0171033351843581","AT1G16970","KU70","Q9FQ08","838268","KU70 [Source:UniProtKB/TrEMBL;Acc:A0A178WAS1]","KU70","UniProtKB Gene Name"
"AT1G17145","AT1G17145.1,AT1G17145.2","172.995119907167,172.739992090191","0.593570421304063,0.592688700560586","0.182881154385294,0.183583678772203","0.000164861821492421,0.000175246956068672","0.00374286644733321,0.00391226798761627","AT1G17145","","Q940G8,","838285","E3 ubiquitin-protein ligase DA2L [Source:UniProtKB/Swiss-Prot;Acc:Q940G8]","DA2L","UniProtKB Gene Name"
"AT1G17180","AT1G17180.1","182.514608448743","0.751267814881993","0.305001760610362","0.00112413700452091","0.0173329470533662","AT1G17180","ATGSTU25","Q9SHH7","838289","Glutathione S-transferase U25 [Source:UniProtKB/Swiss-Prot;Acc:Q9SHH7]","GSTU25","UniProtKB Gene Name"
"AT1G17420","AT1G17420.1","90.4728973596785","0.612246589282157","0.270304592904204","0.00257485668957592","0.0321683215329365","AT1G17420","LOX3","Q9LNR3","838314","Lipoxygenase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LNR3]","LOX3","UniProtKB Gene Name"
"AT1G17455","AT1G17455.1,AT1G17455.2","39.7682550031265","0.941985065220403","0.442704659604583","0.00178529191694413","0.0245785776152671","AT1G17455","ELF4-L4","Q570U6","838318","ELF4-L4 [Source:UniProtKB/TrEMBL;Acc:A0A178WKX5]","EFL4","UniProtKB Gene Name"
"AT1G17460","AT1G17460.3,AT1G17460.1,AT1G17460.2","57.1113390487455","0.742258899100677","0.3395749849212","0.00225610942914109","0.0292834287319604","AT1G17460","TRFL3","","838319","TRF-like 3 [Source:UniProtKB/TrEMBL;Acc:F4I7K3]","TRFL3","TAIR Gene Name"
"AT1G17470","AT1G17470.1,AT1G17470.2,AT1G17470.1,AT1G17470.2","284.858917986404,284.768808267779,121.419626795227","-0.404725455509833,-0.405512867769079,-0.485886122135243","0.158696763297071,0.158840278901851,0.193620948801355","0.00276689003137552,0.0027216096781095,0.00216513839731121","0.0337562145171621,0.0334277332605967,0.0284030329055211","AT1G17470","ATDRG1","Q9LQK0","838320","Developmentally-regulated G-protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQK0]","DRG1","UniProtKB Gene Name"
"AT1G18080","AT1G18080.1","4456.46410061783","-0.306415251192749","0.117850084529812","0.00388832615343256","0.0433622904501851","AT1G18080","ATARCA","O24456","838388","RACK1A_AT [Source:UniProtKB/TrEMBL;Acc:A0A178WHX3]","RACK1A","UniProtKB Gene Name"
"AT1G18280","AT1G18280.1","23.0296395925368","-1.22053999026723","0.764053130081391","0.0032094152493775","0.03780738073612","AT1G18280","","Q9LE56","838408","At1g18280 [Source:UniProtKB/TrEMBL;Acc:Q9LE56]","",""
"AT1G18840","AT1G18840.3,AT1G18840.2,AT1G18840.1","126.172832552983,119.365994818554","0.606004602454137,0.594536042105994","0.242096140574678,0.25721716688286","0.00140703196222781,0.00234771657378964","0.0204867285793822,0.0301740077653243","AT1G18840","IQD30","","838465","At1g18840 [Source:UniProtKB/TrEMBL;Acc:Q501D2]","IQD30","TAIR Gene Name"
"AT1G18850","AT1G18850.1","162.854200496848","0.456695069272537","0.171132490419859","0.00159096925139001","0.0224685902322124","AT1G18850","","","838466","F6A14.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9M9V4]","",""
"AT1G19250","AT1G19250.1","24.3523629765221","2.66595072663526","1.85932199993965","0.00218280122961347","0.0285713706467877","AT1G19250","FMO1","Q9LMA1","838508","Probable flavin-containing monooxygenase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMA1]","FMO1","UniProtKB Gene Name"
"AT1G19850","AT1G19850.1,AT1G19850.2","69.6246600146587,63.7961029867106","0.716661343945972,0.927259497466771","0.289621094931405,0.31197275901076","0.00116987515994918,0.000198424262032114","0.0178070171936345,0.00431734589481123","AT1G19850","MP","P93024,","838573","Auxin response factor [Source:UniProtKB/TrEMBL;Acc:A0A178W993]","ARF5","UniProtKB Gene Name"
"AT1G20020","AT1G20020.1,AT1G20020.2,AT1G20020.3,AT1G20020.1,AT1G20020.2,AT1G20020.3","4790.76041567316,4794.09831069547,4794.78292849272,1987.97699016436","0.423752498378551,0.424546681291541,0.424852309403848,0.431667391363634","0.111965978895671,0.112011538383331,0.111808388219361,0.116670890532774","4.09390961777584e-05,4.00629051858291e-05,3.85871832172092e-05,5.5447246655928e-05","0.00116625174869865,0.00114635617604955,0.00111152924046236,0.00150846145156908","AT1G20020","ATLFNR2",",Q8W493","838591","Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W493]","LFNR2","UniProtKB Gene Name"
"AT1G20030","AT1G20030.2,AT1G20030.1","145.866680023476","0.557470991094006","0.223456404637023","0.00173915656473775","0.0240472861118026","AT1G20030","","","838592","Pathogenesis-related thaumatin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LNT0]","",""
"AT1G20560","AT1G20560.1,AT1G20560.2","120.237182738691","-0.53460334276437","0.200261061687022","0.00114867063853235","0.0175920317982037","AT1G20560","AAE1","F4HUK6,","838644","Probable acyl-activating enzyme 1, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:F4HUK6]","AAE1","UniProtKB Gene Name"
"AT1G21240","AT1G21240.1,AT1G21240.2","13.7956199606667,12.8024551564379","5.70643826082072,5.58246081441409","2.17983457036392,2.17663390137616","0.000139774189910832,0.000165211189443727","0.00327715412781238,0.00374859828435191","AT1G21240","WAK3","Q9LMN8,","838719","Wall-associated receptor kinase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMN8]","WAK3","UniProtKB Gene Name"
"AT1G21310","AT1G21310.1","7688.83980536711","0.454531664659388","0.195547051862096","0.00400110905410399","0.0442969017368152","AT1G21310","ATEXT3","Q9FS16","838728","Extensin-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FS16]","EXT3","UniProtKB Gene Name"
"AT1G21410","AT1G21410.1,AT1G21410.2","148.435627117858","-0.485720268293287","0.205065727308796","0.00308871940102098","0.0367323082532732","AT1G21410","SKP2A","Q9LPL4","838740","F-box protein SKP2A [Source:UniProtKB/Swiss-Prot;Acc:Q9LPL4]","SKP2A","UniProtKB Gene Name"
"AT1G21550","AT1G21550.1","101.397108156638","0.722823801784403","0.361123539526775","0.00337166669070879","0.0389594676214935","AT1G21550","","Q9LPK5","838756","Probable calcium-binding protein CML44 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPK5]","CML44","UniProtKB Gene Name"
"AT1G21760","AT1G21760.1","450.223254649154","-0.392467227417605","0.150621005216412","0.00251345825315064","0.0316213482866295","AT1G21760","ATFBP7",",Q9XI00","838780","F-box protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI00]","SKIP32","UniProtKB Gene Name"
"AT1G21770","AT1G21770.1","583.849460883079","-0.494707560795661","0.154392260105769","0.000257814568090787","0.00531936766995211","AT1G21770","","","838781","Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q8H0Y9]","",""
