,attribute,results/star/S01,results/star/S02,results/star/S03,results/star/S04,results/star/S05,results/star/S06,results/star/S07,results/star/S08,results/star/S09,results/star/S10,results/star/S11,results/star/S12,results/star/S13,results/star/S14,results/star/S15,results/star/S16,results/star/S17,results/star/S18,results/star/S19,results/star/S20,
19,                        Insertion rate per base |,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,
20,                       Insertion average length |,1.18,1.16,1.15,1.14,1.15,1.16,1.16,1.18,1.16,1.16,1.16,1.15,1.16,1.15,1.16,1.17,1.15,1.16,1.18,1.14,
21,                             MULTI-MAPPING READS:,,,,,,,,,,,,,,,,,,,,,
22,        Number of reads mapped to multiple loci |,814957,750917,812518,881233,1077839,3362779,3060410,3451015,3460203,3313172,1371223,1185351,1415426,1208252,872910,3019005,2759615,3065042,3935908,4037499,
23,             % of reads mapped to multiple loci |,5.05%,4.17%,4.19%,4.83%,5.26%,18.22%,18.36%,17.66%,17.99%,18.55%,6.46%,6.22%,6.89%,6.05%,4.75%,16.21%,17.47%,16.81%,19.96%,20.14%,11.76%
24,        Number of reads mapped to too many loci |,22928,25292,21389,18105,29809,93264,85690,103263,84843,85345,46942,33575,41152,32232,24006,75084,76745,69898,89364,106357,
25,             % of reads mapped to too many loci |,0.14%,0.14%,0.11%,0.10%,0.15%,0.51%,0.51%,0.53%,0.44%,0.48%,0.22%,0.18%,0.20%,0.16%,0.13%,0.40%,0.49%,0.38%,0.45%,0.53%,0.31%
26,                                  UNMAPPED READS:,,,,,,,,,,,,,,,,,,,,,
27,  Number of reads unmapped: too many mismatches |,1300774,1709107,1846558,1945651,2185865,2149396,1918182,2238679,1951229,1468155,1839122,1729050,2411589,1911658,1711755,2225997,1261808,1229365,1505952,1522689,
28,       % of reads unmapped: too many mismatches |,8.05%,9.50%,9.52%,10.67%,10.66%,11.65%,11.51%,11.45%,10.15%,8.22%,8.66%,9.08%,11.74%,9.57%,9.31%,11.95%,7.99%,6.74%,7.64%,7.59%,9.58%
29,            Number of reads unmapped: too short |,731713,1658126,4065175,2838957,2416008,3538977,2921223,3331571,2211397,1744993,2173492,2480807,3553159,2805486,2744146,4765397,1136032,914671,1474057,1313971,
30,                 % of reads unmapped: too short |,4.53%,9.21%,20.97%,15.57%,11.78%,19.17%,17.52%,17.05%,11.50%,9.77%,10.24%,13.02%,17.30%,14.04%,14.92%,25.58%,7.19%,5.02%,7.48%,6.55%,12.92%
31,                Number of reads unmapped: other |,1016670,1802896,3851338,1670664,2158655,2931979,2427272,2680346,1952977,1897413,3291069,3237125,2025250,1961829,2865521,2176533,971116,980233,1617512,1721276,
32,                     % of reads unmapped: other |,6.29%,10.02%,19.86%,9.16%,10.53%,15.89%,14.56%,13.71%,10.16%,10.62%,15.50%,16.99%,9.86%,9.82%,15.58%,11.68%,6.15%,5.38%,8.20%,8.59%,11.43%
33,                                  CHIMERIC READS:,,,,,,,,,,,,,,,,,,,,,
34,                       Number of chimeric reads |,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,                            % of chimeric reads |,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,,,
,,99.86%,99.85%,99.89%,99.90%,99.85%,99.50%,99.49%,99.47%,99.56%,99.52%,99.78%,99.82%,99.79%,99.84%,99.88%,99.60%,99.52%,99.63%,99.55%,99.47%,99.69%
