"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0052545","GO:0052545","callose localization","8/524","44/21644",9.20787396528908e-06,0.000721427185846093,0.000641947919608812,"CYP79B3/AtUGP1/NSL1/AtMYB51/ATEXO70B1/ATGSTU13/ABCG36/FLS2",8
"GO:0002682","GO:0002682","regulation of immune system process","13/524","124/21644",1.0033844133584e-05,0.000721427185846093,0.000641947919608812,"AtGILP/SAG101/CBP60G/CYP79B3/AT-SYR1/NOI/ATSYP122/ATWRKY40/ATERF-4/ATERF-2/ATGLR3.6/ANAC091/ATCLC-D",13
"GO:0031347","GO:0031347","regulation of defense response","19/524","247/21644",1.01896495176002e-05,0.000721427185846093,0.000641947919608812,"BIR1/AtGILP/SAG101/CBP60G/CYP79B3/AT-SYR1/NOI/ATSYP122/LSU2/ATWRKY40/ATERF-4/ATERF-2/ATMYB44/ABCG36/ATGLR3.6/ANAC091/SRFR1/AtJAZ1/ATCLC-D",19
"GO:0033037","GO:0033037","polysaccharide localization","8/524","47/21644",1.5329194866263e-05,0.0010336257109823,0.000919751691975779,"CYP79B3/AtUGP1/NSL1/AtMYB51/ATEXO70B1/ATGSTU13/ABCG36/FLS2",8
"GO:0042255","GO:0042255","ribosome assembly","10/524","78/21644",1.82665658381886e-05,0.00117570260122159,0.00104617604345989,"NA/NA/RPL12C/NA/NA/NA/NA/NA/ARP1/NA",10
"GO:0009753","GO:0009753","response to jasmonic acid","16/524","199/21644",2.94559917115249e-05,0.00178544260728409,0.00158874130309177,"ATBT2/ANAC055/AT-SYR1/ATNPR3/ACS6/ATSYP122/ATDHAR1/CYT1/ATERF-4/ATERF-2/ATMYB44/UPL5/ATGLR3.6/ATBT4/AtJAZ1/ATLOX3",16
"GO:0009991","GO:0009991","response to extracellular stimulus","19/524","267/21644",3.026173910651e-05,0.00178544260728409,0.00158874130309177,"NA/AtLEA5/ATCAT3/AtATL15/UGT76C2/LSU2/AtUGP1/AtbZIP1/AKINBETA1/ATPEPC1/MBS2/MBS1/ATGSTU19/ECIP1/ATPT1/APT1/SQD2/CARB/NA",19
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","14/524","168/21644",6.2212807918004e-05,0.00352373344047575,0.0031355255190674,"AtGILP/SAG101/CBP60G/CYP79B3/AT-SYR1/NOI/ATSYP122/ATWRKY40/ATERF-4/ATERF-2/ATMYB44/ATGLR3.6/ANAC091/ATCLC-D",14
"GO:0009682","GO:0009682","induced systemic resistance","6/524","30/21644",7.08495811506421e-05,0.00385857718881958,0.00343347970191573,"CYP79B3/AtMYB51/ATERF-4/ATERF-2/ATGLR3.6/EARLI1",6
"GO:0009611","GO:0009611","response to wounding","16/524","216/21644",7.89348857113035e-05,0.00413969622841503,0.00368362799986083,"ATBT2/NHL3/CYP79B3/STZ/OPCL1/ACS6/ATLOX4/ATMYB3/NA/ATWRKY40/AtCAF1a/ATGLR3.6/AtPP2-A13/ATBT4/AtJAZ1/ATLOX3",16
"GO:0032101","GO:0032101","regulation of response to external stimulus","14/524","173/21644",8.54439398541478e-05,0.00432102210119547,0.00384497729343665,"AtGILP/SAG101/CBP60G/CYP79B3/AT-SYR1/NOI/ATSYP122/ATWRKY40/ATERF-4/ATERF-2/ATMYB44/ATGLR3.6/ANAC091/ATCLC-D",14
"GO:0009642","GO:0009642","response to light intensity","13/524","153/21644",9.27146928744897e-05,0.00446224668901152,0.00397064324022212,"AtLEA5/STZ/ATGPT2/ATCAL4/AtSOD2/ATMYBL2/CID1/MBS1/SR45a/ECIP1/ATERF6/ATLOX3/NA",13
"GO:0080134","GO:0080134","regulation of response to stress","22/524","366/21644",9.45391247671933e-05,0.00446224668901152,0.00397064324022212,"BIR1/AtGILP/SAG101/CBP60G/ANAC062/CYP79B3/AT-SYR1/NOI/ATSYP122/AtMYB20/LSU2/ARL2/ATWRKY40/ATERF-4/ATERF-2/ATMYB44/ABCG36/ATGLR3.6/ANAC091/SRFR1/AtJAZ1/ATCLC-D",22
"GO:0046677","GO:0046677","response to antibiotic","17/524","251/21644",0.000142979889072968,0.00653095235249427,0.00581144065264321,"ATBT2/NHL3/BT5/AT-SYR1/ATCAT3/ATLACS7/ATSYP122/AtSOD2/ATDHAR1/ATLOX4/ATWRKY40/CYT1/ATGRP-5/ATMYB44/ATWRKY1/UPL5/ATBT4",17
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","15/524","206/21644",0.000158244999474047,0.00700234122672659,0.00623089685429061,"AtLEA5/ATCAT3/UGT76C2/LSU2/AtUGP1/AtbZIP1/AKINBETA1/ATPEPC1/MBS2/MBS1/ATGSTU19/ATPT1/APT1/SQD2/CARB",15
"GO:0031667","GO:0031667","response to nutrient levels","16/524","230/21644",0.00016399572188725,0.007036907339162,0.006261654835695,"NA/ATCAT3/AtATL15/LSU2/AtUGP1/AtbZIP1/AKINBETA1/ATPEPC1/MBS2/MBS1/ECIP1/ATPT1/APT1/SQD2/CARB/NA",16
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","12/524","142/21644",0.000180058225257358,0.00749889549895351,0.00667274599483151,"NA/NA/RPL12C/NA/NA/NA/BRR2b/NA/NA/NA/ARP1/NA",12
"GO:0071496","GO:0071496","cellular response to external stimulus","15/524","212/21644",0.000216579194607815,0.00861429383258587,0.00766526146119929,"AtLEA5/ATCAT3/UGT76C2/LSU2/AtUGP1/AtbZIP1/AKINBETA1/ATPEPC1/MBS2/MBS1/ATGSTU19/ATPT1/APT1/SQD2/CARB",15
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","12/524","145/21644",0.00021900747031998,0.00861429383258587,0.00766526146119929,"NA/NA/RPL12C/NA/NA/NA/BRR2b/NA/NA/NA/ARP1/NA",12
"GO:0009409","GO:0009409","response to cold","23/524","416/21644",0.000226323519889434,0.00866146227468754,0.00770723338001857,"AtLEA5/ATWRKY33/ATBT2/BT5/AtFAD7/ANAC062/ATSZF2/ATCAT3/STZ/NA/ATCSP4/NA/MBS1/MYC67/ATDI21/TUB8/ATGRP8/mMDH1/NA/LTI6b/EARLI1/RAP2.4/AtGolS3",23
"GO:0045088","GO:0045088","regulation of innate immune response","10/524","106/21644",0.000253040985977111,0.009429106214305,0.0083903063771358,"AtGILP/CBP60G/CYP79B3/AT-SYR1/NOI/ATSYP122/ATERF-4/ATERF-2/ATGLR3.6/ATCLC-D",10
"GO:0002252","GO:0002252","immune effector process","8/524","71/21644",0.000312207778449879,0.0113355439560264,0.0100867128422269,"SAG101/NHL3/ATWRKY40/ASU1/ATERF-4/ATERF-2/ATGLR3.6/ANAC091",8
"GO:0000027","GO:0000027","ribosomal large subunit assembly","6/524","39/21644",0.000323750290579802,0.011460760286525,0.0101981341532638,"NA/RPL12C/NA/NA/ARP1/NA",6
"GO:0052543","GO:0052543","callose deposition in cell wall","5/524","27/21644",0.000423777813762818,0.0146358386411744,0.0130234157400281,"CYP79B3/AtUGP1/AtMYB51/ABCG36/FLS2",5
"GO:0042254","GO:0042254","ribosome biogenesis","19/524","328/21644",0.000440943394232075,0.0148660915769671,0.0132283018269623,"NA/NA/RPL12C/NA/NA/ATRAN1/NA/NA/EVR1/NA/NA/NA/EVR1L1/NA/NA/DIM1A/NA/ARP1/NA",19
"GO:0050776","GO:0050776","regulation of immune response","10/524","114/21644",0.00045539656245631,0.0149963147078636,0.0133441783417431,"AtGILP/CBP60G/CYP79B3/AT-SYR1/NOI/ATSYP122/ATERF-4/ATERF-2/ATGLR3.6/ATCLC-D",10
"GO:0052544","GO:0052544","defense response by callose deposition in cell wall","4/524","16/21644",0.000490305359565968,0.0155859538631515,0.0138688572511094,"CYP79B3/AtMYB51/ABCG36/FLS2",4
"GO:0140352","GO:0140352","export from cell","9/524","95/21644",0.000495316330396764,0.0155859538631515,0.0138688572511094,"AT-SYR1/ATSYP122/AHA2/AtRabE1b/KEU/ATEXO70B1/ATRMA1/AHA5/ATEXO70D3",9
"GO:0035690","GO:0035690","cellular response to drug","9/524","97/21644",0.000577388261462512,0.0177735169180634,0.0158154175965819,"AT-SYR1/ATSYP122/AtSOD2/ATDHAR1/MBS2/MBS1/ATMYB44/ATWRKY1/ATMYB3R-1",9
"GO:0052482","GO:0052482","defense response by cell wall thickening","4/524","17/21644",0.000628960992143706,0.0189491226569253,0.0168615074489589,"CYP79B3/AtMYB51/ABCG36/FLS2",4
"GO:0009415","GO:0009415","response to water","21/524","394/21644",0.000672937202275657,0.0198516474671319,0.017664601559736,"AtLEA5/ATWRKY33/ANAC055/STZ/ADR1/AtRDUF2/UGT76C2/HIS4/ARL2/ABF3/ATEXO70B1/CID1/ATGRP-5/ATGSTF10/ATGSTU19/ATMYB44/NA/ATDI21/ATNCED3/ATPHS2/RAP2.4",21
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","21/524","395/21644",0.000695106141168814,0.0199560317252246,0.0177574858571914,"NA/NA/RPL12C/NA/NA/ATRAN1/NA/NA/BRR2b/EVR1/NA/NA/NA/NA/EVR1L1/NA/NA/DIM1A/NA/ARP1/NA",21
"GO:0052386","GO:0052386","cell wall thickening","5/524","30/21644",0.000704662137190133,0.0199560317252246,0.0177574858571914,"CYP79B3/AtUGP1/AtMYB51/ABCG36/FLS2",5
"GO:0009626","GO:0009626","plant-type hypersensitive response","7/524","62/21644",0.000728500435295139,0.0202266003211356,0.0179982460484681,"AtGILP/AT-SYR1/ATSYP122/NSL1/ATBZIP10/CAD1/ATMYB30",7
"GO:0031348","GO:0031348","negative regulation of defense response","7/524","63/21644",0.000802744580830811,0.0214469118199326,0.01908411644994,"BIR1/AtGILP/AT-SYR1/ATSYP122/ABCG36/SRFR1/ATCLC-D",7
"GO:0034050","GO:0034050","host programmed cell death induced by symbiont","7/524","63/21644",0.000802744580830811,0.0214469118199326,0.01908411644994,"AtGILP/AT-SYR1/ATSYP122/NSL1/ATBZIP10/CAD1/ATMYB30",7
"GO:0031669","GO:0031669","cellular response to nutrient levels","12/524","170/21644",0.000921557655054283,0.0241652896214234,0.0215030119512666,"ATCAT3/LSU2/AtUGP1/AtbZIP1/AKINBETA1/ATPEPC1/MBS2/MBS1/ATPT1/APT1/SQD2/CARB",12
"GO:0009867","GO:0009867","jasmonic acid mediated signaling pathway","9/524","104/21644",0.000956770723292148,0.0244874147327749,0.0217896487028929,"ANAC055/AT-SYR1/ATNPR3/ATSYP122/ATERF-4/ATERF-2/ATMYB44/ATGLR3.6/AtJAZ1",9
"GO:0009644","GO:0009644","response to high light intensity","7/524","65/21644",0.0009690997541843,0.0244874147327749,0.0217896487028929,"STZ/ATMYBL2/CID1/MBS1/SR45a/ATERF6/ATLOX3",7
"GO:2000762","GO:2000762","regulation of phenylpropanoid metabolic process","4/524","19/21644",0.000985722203226107,0.0244874147327749,0.0217896487028929,"AtKFB50/KFB20/KFB01/KFB39",4
"GO:0009636","GO:0009636","response to toxic substance","13/524","196/21644",0.00102169343093696,0.0249434120380471,0.0221954090169063,"ATBT2/BT5/ATCAT3/LSU2/AtSOD2/ATDHAR1/LSU4/ATGSTF10/ATGSTU19/ATGSTU13/UPL5/ATBT4/ATXPB1",13
"GO:0031327","GO:0031327","negative regulation of cellular biosynthetic process","20/524","381/21644",0.001077488123872,0.0258597149729279,0.023010763323368,"NA/NF-YA4/STZ/ATCTH/H2A.Z/AtMYB20/h2a.w.7/ATWRKY40/h2a.w.6/ATERF-4/APRR9/NA/AtCAF1a/ECIP1/AtRAV2/XBAT32/ECT8/ATMYB3R-1/SRFR1/OTLD1",20
"GO:0010193","GO:0010193","response to ozone","5/524","33/21644",0.00110561561438276,0.0260925284994332,0.023217927902038,"ATLACS7/AtSOD2/ATDHAR1/ATLOX4/CYT1",5
"GO:0009816","GO:0009816","defense response to bacterium, incompatible interaction","6/524","49/21644",0.00113160551733187,0.0262035212914653,0.0233166926746089,"NHL3/CBP60G/ATNPR3/ATL6/TAO1/SRFR1",6
"GO:0014070","GO:0014070","response to organic cyclic compound","18/524","328/21644",0.00114732932208393,0.0262035212914653,0.0233166926746089,"AGP17/ATBT2/NHL3/BT5/AT-SYR1/ATSYP122/ATDHAR1/ARL2/ATWRKY40/ATGRP-5/ATMYB44/ABCG36/ATWRKY1/TUB8/ATMYB3R-1/ATBT4/ATAUX2-11/BRH1",18
"GO:0009414","GO:0009414","response to water deprivation","20/524","385/21644",0.00122171105248664,0.0274594103225568,0.0244342210497327,"AtLEA5/ATWRKY33/ANAC055/STZ/ADR1/AtRDUF2/UGT76C2/HIS4/ARL2/ABF3/ATEXO70B1/CID1/ATGSTF10/ATGSTU19/ATMYB44/NA/ATDI21/ATNCED3/ATPHS2/RAP2.4",20
"GO:0071395","GO:0071395","cellular response to jasmonic acid stimulus","9/524","108/21644",0.00125139553141697,0.0276828030016254,0.0246330026709378,"ANAC055/AT-SYR1/ATNPR3/ATSYP122/ATERF-4/ATERF-2/ATMYB44/ATGLR3.6/AtJAZ1",9
"GO:0060548","GO:0060548","negative regulation of cell death","5/524","34/21644",0.00127075013778648,0.0276828030016254,0.0246330026709378,"BIR1/AtGILP/AT-SYR1/ATSYP122/VAD1",5
"GO:0009890","GO:0009890","negative regulation of biosynthetic process","20/524","387/21644",0.0012998097448105,0.0278868272522981,0.0248145496736551,"NA/NF-YA4/STZ/ATCTH/H2A.Z/AtMYB20/h2a.w.7/ATWRKY40/h2a.w.6/ATERF-4/APRR9/NA/AtCAF1a/ECIP1/AtRAV2/XBAT32/ECT8/ATMYB3R-1/SRFR1/OTLD1",20
"GO:2000113","GO:2000113","negative regulation of cellular macromolecule biosynthetic process","19/524","360/21644",0.00133592463124274,0.0282338698185033,0.0251233587368038,"NA/NF-YA4/STZ/ATCTH/H2A.Z/AtMYB20/h2a.w.7/ATWRKY40/h2a.w.6/ATERF-4/APRR9/NA/AtCAF1a/ECIP1/AtRAV2/ECT8/ATMYB3R-1/SRFR1/OTLD1",19
"GO:0010558","GO:0010558","negative regulation of macromolecule biosynthetic process","19/524","362/21644",0.00142389546005523,0.0296505289917383,0.0263839452892587,"NA/NF-YA4/STZ/ATCTH/H2A.Z/AtMYB20/h2a.w.7/ATWRKY40/h2a.w.6/ATERF-4/APRR9/NA/AtCAF1a/ECIP1/AtRAV2/ECT8/ATMYB3R-1/SRFR1/OTLD1",19
"GO:0009620","GO:0009620","response to fungus","18/524","335/21644",0.00145239420383744,0.0298056549657075,0.0265219811135533,"ATWRKY33/ATSZF2/AT-SYR1/ATNPR3/ATPME3/ATSYP122/CBP1/ATDHAR1/ATWRKY40/ERF104/ATEXO70B1/ATMYB44/ATGSTU13/ABCG36/ATLOX3/EARLI1/AGAL2/RAP2.4",18
"GO:0009864","GO:0009864","induced systemic resistance, jasmonic acid mediated signaling pathway","3/524","10/21644",0.0014912149054387,0.0301651472300172,0.0268418682978967,"ATERF-4/ATERF-2/ATGLR3.6",3
"GO:0009751","GO:0009751","response to salicylic acid","11/524","161/21644",0.00192660244969281,0.0380517178363319,0.0338595794306343,"ATBT2/NHL3/BT5/AT-SYR1/ATSYP122/ATDHAR1/ATWRKY40/ATGRP-5/ATMYB44/ATWRKY1/ATBT4",11
"GO:0051172","GO:0051172","negative regulation of nitrogen compound metabolic process","21/524","430/21644",0.00198837648117596,0.0380517178363319,0.0338595794306343,"NA/NF-YA4/STZ/ATCTH/H2A.Z/AtMYB20/h2a.w.7/ATWRKY40/h2a.w.6/ATERF-4/APRR9/NA/AtCAF1a/ECIP1/NA/AtRAV2/XBAT32/ECT8/ATMYB3R-1/SRFR1/OTLD1",21
"GO:0002697","GO:0002697","regulation of immune effector process","3/524","11/21644",0.00201371029322654,0.0380517178363319,0.0338595794306343,"SAG101/ATWRKY40/ANAC091",3
"GO:0050688","GO:0050688","regulation of defense response to virus","3/524","11/21644",0.00201371029322654,0.0380517178363319,0.0338595794306343,"SAG101/ATWRKY40/ANAC091",3
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","8/524","94/21644",0.00201545115658538,0.0380517178363319,0.0338595794306343,"NA/RPL12C/NA/NA/NA/NA/ARP1/NA",8
"GO:0016036","GO:0016036","cellular response to phosphate starvation","7/524","75/21644",0.00224688723412713,0.0407896451733849,0.0362958707051306,"ATCAT3/AtUGP1/ATPEPC1/ATPT1/APT1/SQD2/CARB",7
"GO:0032940","GO:0032940","secretion by cell","7/524","75/21644",0.00224688723412713,0.0407896451733849,0.0362958707051306,"AT-SYR1/ATSYP122/AtRabE1b/KEU/ATEXO70B1/ATRMA1/ATEXO70D3",7
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","7/524","75/21644",0.00224688723412713,0.0407896451733849,0.0362958707051306,"NA/NA/NA/EVR1/NA/EVR1L1/NA",7
"GO:0043455","GO:0043455","regulation of secondary metabolic process","6/524","57/21644",0.0024962476289929,0.0442666725111688,0.0393898357090909,"GH3.5/AtKFB50/ATH1/KFB20/KFB01/KFB39",6
"GO:0009651","GO:0009651","response to salt stress","22/524","468/21644",0.00251515894389924,0.0442666725111688,0.0393898357090909,"ATWRKY33/ATBT2/STZ/ATLACS7/AtMYB20/LSU2/IQM4/NSL1/AtbZIP1/ATCPK32/ATVPS34/AtSOD2/ABF3/CYT1/XERICO/ATMYB44/ATCP1/NA/ECIP1/ATBT4/ATNCED3/EARLI1",22
"GO:0048585","GO:0048585","negative regulation of response to stimulus","13/524","217/21644",0.00253220372415584,0.0442666725111688,0.0393898357090909,"BIR1/AtGILP/AT-SYR1/AtKFB50/ATSYP122/KFB20/KFB01/ATERF-4/ABCG36/ATMYB3R-1/SRFR1/EBF2/ATCLC-D",13
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","9/524","120/21644",0.00259577351588433,0.0448245768108807,0.0398862759757836,"NA/AtUGP1/ATPEPC1/NA/SDH2-2/SDHAF4/NA/NA/ATPHS2",9
"GO:0006887","GO:0006887","exocytosis","6/524","58/21644",0.00272843648863657,0.0465477839507154,0.0414196382612298,"AT-SYR1/ATSYP122/AtRabE1b/KEU/ATEXO70B1/ATEXO70D3",6
"GO:0042436","GO:0042436","indole-containing compound catabolic process","3/524","13/21644",0.00336679431518236,0.0567545327416455,0.0505019147277354,"CYP79B3/ATGSTU13/ABCG36",3
"GO:0070925","GO:0070925","organelle assembly","11/524","174/21644",0.00351834397181731,0.0582581125573351,0.0518398459196626,"ATVPS34/NA/NA/RPL12C/NA/NA/NA/NA/NA/ARP1/NA",11
"GO:0071229","GO:0071229","cellular response to acid chemical","21/524","452/21644",0.00356995415365204,0.0582581125573351,0.0518398459196626,"AtLEA5/ATBT2/ANAC055/AT-SYR1/ATNPR3/ATSYP122/UGT76C2/ATCPK32/AtSOD2/ATDHAR1/ARL2/ABF3/ATEXO70B1/ATERF-4/ATERF-2/ATGSTU19/ATMYB44/ABCG36/ATWRKY1/ATGLR3.6/AtJAZ1",21
"GO:0034622","GO:0034622","cellular protein-containing complex assembly","22/524","482/21644",0.00357941793254813,0.0582581125573351,0.0518398459196626,"NA/AtHIGD2/NA/NA/CCB2/NA/NA/H2B/RPL12C/NA/NA/NA/ADF9/BRR2b/NA/NA/SDHAF4/ATDSS1(I)/NA/AFH3/ARP1/NA",22
"GO:0043069","GO:0043069","negative regulation of programmed cell death","4/524","27/21644",0.003830264061722,0.061632430811345,0.0548424172473832,"AtGILP/AT-SYR1/ATSYP122/VAD1",4
