GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (243),expected,over/under,fold Enrichment,raw P-value,FDR
response to organic substance (GO:0010033),1724,38,15.25,+,2.49,0.000000365,0.000136
cellular response to chemical stimulus (GO:0070887),1092,23,9.66,+,2.38,0.000183,0.0142
positive regulation of cellular process (GO:0048522),1073,22,9.49,+,2.32,0.000333,0.0242
positive regulation of biological process (GO:0048518),1330,27,11.77,+,2.29,0.0000705,0.00646
gene expression (GO:0010467),1608,32,14.23,+,2.25,0.000025,0.00303
response to abiotic stimulus (GO:0009628),2150,42,19.02,+,2.21,0.00000173,0.000428
response to chemical (GO:0042221),2712,52,24,+,2.17,0.000000119,0.0000546
regulation of cellular biosynthetic process (GO:0031326),2487,46,22.01,+,2.09,0.0000018,0.000428
regulation of biosynthetic process (GO:0009889),2524,46,22.33,+,2.06,0.00000328,0.000698
response to stress (GO:0006950),3136,57,27.75,+,2.05,0.000000146,0.0000623
cellular protein metabolic process (GO:0044267),3340,60,29.55,+,2.03,0.000000105,0.000052
regulation of transcription DNA-templated (GO:0006355),2174,39,19.24,+,2.03,3.78E-05,4.09E-03
regulation of nucleic acid-templated transcription (GO:1903506),2174,39,19.24,+,2.03,0.0000378,0.00402
regulation of RNA biosynthetic process (GO:2001141),2176,39,19.25,+,2.03,0.000038,0.00397
cellular response to stimulus (GO:0051716),2514,45,22.25,+,2.02,0.00000596,0.00104
regulation of cellular macromolecule biosynthetic process (GO:2000112),2373,42,21,+,2,0.0000174,0.00246
regulation of macromolecule biosynthetic process (GO:0010556),2386,42,21.11,+,1.99,0.000019,0.00257
regulation of RNA metabolic process (GO:0051252),2283,40,20.2,+,1.98,0.000036,0.00405
protein metabolic process (GO:0019538),3493,61,30.91,+,1.97,0.000000194,0.000077
regulation of nitrogen compound metabolic process (GO:0051171),2713,47,24.01,+,1.96,0.0000119,0.00173
regulation of cellular metabolic process (GO:0031323),2950,51,26.1,+,1.95,0.0000035,0.000695
regulation of nucleobase-containing compound metabolic process (GO:0019219),2343,40,20.73,+,1.93,0.0000714,0.00635
regulation of gene expression (GO:0010468),2612,44,23.11,+,1.9,0.000039,0.00401
protein modification process (GO:0036211),2469,41,21.85,+,1.88,0.000107,0.00886
cellular protein modification process (GO:0006464),2469,41,21.85,+,1.88,0.000107,0.00873
regulation of metabolic process (GO:0019222),3261,54,28.86,+,1.87,0.0000059,0.00106
regulation of primary metabolic process (GO:0080090),2796,46,24.74,+,1.86,0.000043,0.00426
macromolecule modification (GO:0043412),2792,45,24.71,+,1.82,0.000105,0.00878
cellular nitrogen compound metabolic process (GO:0034641),2878,46,25.47,+,1.81,0.0000863,0.00744
response to stimulus (GO:0050896),5591,87,49.47,+,1.76,3.59E-08,0.0000237
organonitrogen compound metabolic process (GO:1901564),4569,71,40.43,+,1.76,0.00000151,0.00041
regulation of macromolecule metabolic process (GO:0060255),2990,46,26.46,+,1.74,0.00026,0.0193
regulation of cellular process (GO:0050794),4693,72,41.53,+,1.73,0.00000197,0.000452
cellular macromolecule metabolic process (GO:0044260),4377,66,38.73,+,1.7,0.00000928,0.00138
regulation of biological process (GO:0050789),5336,80,47.22,+,1.69,0.000000807,0.000253
nitrogen compound metabolic process (GO:0006807),6114,91,54.1,+,1.68,0.000000104,0.000056
macromolecule metabolic process (GO:0043170),5445,80,48.18,+,1.66,0.0000016,0.000413
biological regulation (GO:0065007),5895,81,52.16,+,1.55,0.0000204,0.00264
primary metabolic process (GO:0044238),7141,98,63.19,+,1.55,0.00000149,0.000422
organic substance metabolic process (GO:0071704),7800,106,69.02,+,1.54,0.000000479,0.000159
cellular metabolic process (GO:0044237),7604,102,67.28,+,1.52,0.00000241,0.000532
metabolic process (GO:0008152),8384,109,74.19,+,1.47,0.00000335,0.000687
cellular process (GO:0009987),11936,154,105.62,+,1.46,6.33E-10,0.00000126
biological_process (GO:0008150),21178,211,187.4,+,1.13,0.000208,0.0159
