GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (149),expected,over/under,fold Enrichment,raw P-value,FDR
regulation of signaling (GO:0023051),337,9,1.83,+,4.92,0.000115,0.0137
regulation of cell communication (GO:0010646),340,9,1.84,+,4.88,0.000123,0.0143
amide biosynthetic process (GO:0043604),576,15,3.13,+,4.8,0.000000795,0.000169
defense response to other organism (GO:0098542),818,21,4.44,+,4.73,5.29E-09,0.00000263
immune response (GO:0006955),824,21,4.47,+,4.7,5.99E-09,0.00000275
immune system process (GO:0002376),836,21,4.54,+,4.63,7.66E-09,0.00000304
regulation of response to stress (GO:0080134),399,10,2.16,+,4.62,0.00008,0.0104
peptide metabolic process (GO:0006518),620,15,3.36,+,4.46,0.00000193,0.000348
defense response (GO:0006952),961,22,5.21,+,4.22,1.66E-08,0.00000581
regulation of response to stimulus (GO:0048583),755,17,4.1,+,4.15,0.00000101,0.000193
response to external stimulus (GO:0009605),1528,33,8.29,+,3.98,1.04E-11,1.03E-08
cellular amide metabolic process (GO:0043603),727,15,3.94,+,3.8,0.0000125,0.00191
response to oxygen-containing compound (GO:1901700),1536,29,8.33,+,3.48,4.73E-09,0.00000256
cellular response to chemical stimulus (GO:0070887),1092,20,5.92,+,3.38,0.00000242,0.000424
cellular response to stress (GO:0033554),1129,20,6.13,+,3.26,0.00000396,0.000637
response to organic substance (GO:0010033),1724,30,9.35,+,3.21,1.52E-08,0.00000566
cellular nitrogen compound biosynthetic process (GO:0044271),1226,19,6.65,+,2.86,0.0000433,0.00586
response to chemical (GO:0042221),2712,40,14.71,+,2.72,3.77E-09,0.00000249
response to abiotic stimulus (GO:0009628),2150,31,11.67,+,2.66,0.000000532,0.000127
response to stress (GO:0006950),3136,43,17.01,+,2.53,7.09E-09,0.00000302
response to hormone (GO:0009725),1255,17,6.81,+,2.5,0.000526,0.0482
gene expression (GO:0010467),1608,21,8.72,+,2.41,0.000297,0.0294
cellular response to stimulus (GO:0051716),2514,31,13.64,+,2.27,0.0000216,0.00321
cellular protein metabolic process (GO:0044267),3340,39,18.12,+,2.15,0.00000349,0.000577
protein metabolic process (GO:0019538),3493,40,18.95,+,2.11,0.00000343,0.000583
response to stimulus (GO:0050896),5591,62,30.33,+,2.04,4.48E-09,0.00000267
organonitrogen compound metabolic process (GO:1901564),4569,45,24.79,+,1.82,0.0000382,0.00529
regulation of cellular process (GO:0050794),4693,44,25.46,+,1.73,0.000179,0.0187
regulation of biological process (GO:0050789),5336,50,28.95,+,1.73,0.0000449,0.00594
cellular macromolecule metabolic process (GO:0044260),4377,41,23.75,+,1.73,0.000306,0.0298
nitrogen compound metabolic process (GO:0006807),6114,54,33.17,+,1.63,0.000105,0.0131
macromolecule metabolic process (GO:0043170),5445,48,29.54,+,1.62,0.000408,0.0392
cellular process (GO:0009987),11936,96,64.76,+,1.48,0.000000317,0.0000857
biological_process (GO:0008150),21178,135,114.91,+,1.17,0.0000315,0.00457
