Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
AT1G03340,Chr1,819662,821317,+,1656,29,30
AT1G03350,Chr1,822638,824393,-,1756,649,639
AT1G03360,Chr1,824537,826358,+,1822,252,256
AT1G03365,Chr1,826569,830383,+,3815,270,290
AT1G03370,Chr1,830627,835361,+,4735,219,212
AT1G03380,Chr1,835785,840940,+,5156,411,417
AT1G03390,Chr1,841033,842418,-,1386,5,5
AT1G03400,Chr1,842747,844190,-,1444,111,126
AT1G03410,Chr1,844436,847683,-,3248,889,860
AT1G03430,Chr1,847873,849500,+,1628,235,226
AT1G03440,Chr1,852366,854032,+,1667,489,475
AT1G03445,Chr1,854410,859701,-,5292,15,17
AT1G03457,Chr1,860788,864125,-,3338,169,184
AT1G03470,Chr1,865915,867733,-,1819,123,123
AT1G03475,Chr1,869051,871211,-,2161,2969,3053
AT1G03490,Chr1,871874,872906,+,1033,3,2
AT1G03495,Chr1,873184,874935,+,1752,164,198
AT1G03502,Chr1,875358,875471,-,114,2,5
AT1G03506,Chr1,875518,875604,-,87,1,8
AT1G03510,Chr1,876258,877547,-,1290,16,32
AT1G03515,Chr1,877648,877719,+,72,0,0
AT1G03520,Chr1,877862,880158,-,2297,158,139
AT1G03530,Chr1,880496,883391,-,2896,821,837
AT1G03540,Chr1,883782,885611,+,1830,18,18
AT1G03545,Chr1,885941,887906,+,1966,282,275
AT1G03550,Chr1,885623,887956,-,2334,319,324
AT1G03560,Chr1,890156,892410,-,2255,224,195
AT1G03570,Chr1,892514,892585,+,72,0,0
AT1G03590,Chr1,894254,897518,-,3265,320,372
AT1G03600,Chr1,898876,899655,+,780,6135,6508
AT1G03610,Chr1,900887,903003,+,2117,278,290
AT1G03620,Chr1,904319,906186,-,1868,20,29
AT1G03630,Chr1,907642,909376,+,1735,2206,2158
AT1G03640,Chr1,909811,909883,-,73,0,0
AT1G03650,Chr1,910023,911193,-,1171,44,43
AT1G03660,Chr1,911436,911759,-,324,40,33
AT1G03670,Chr1,914222,916222,-,2001,1,0
AT1G03680,Chr1,916819,918064,-,1246,6246,6258
AT1G03687,Chr1,918299,920507,+,2209,327,309
AT1G03700,Chr1,920950,921901,+,952,24,27
AT1G03710,Chr1,923426,924726,+,1301,6,9
AT1G03720,Chr1,924996,926373,-,1378,0,0
AT1G03730,Chr1,930828,931895,-,1068,127,132
AT1G03740,Chr1,933512,937043,+,3532,537,566
AT1G03743,Chr1,937207,937287,-,81,0,0
AT1G03746,Chr1,937401,937485,-,85,0,0
AT1G03750,Chr1,937920,941162,+,3243,71,93
AT1G03760,Chr1,941062,943377,-,2316,249,227
AT1G03770,Chr1,944572,947483,+,2912,138,135
AT1G03780,Chr1,947520,951827,-,4308,415,422
AT1G03790,Chr1,954525,956097,+,1573,20,16
AT1G03800,Chr1,957261,957998,-,738,26,23
AT1G03810,Chr1,958759,959609,+,851,0,0
AT1G03820,Chr1,959869,960728,-,860,100,94
AT1G03830,Chr1,962016,966757,-,4742,301,305
AT1G03840,Chr1,967503,970130,-,2628,90,98
AT1G03850,Chr1,976097,977761,-,1665,152,181
AT1G03860,Chr1,979308,981885,-,2578,2274,2436
AT1G03870,Chr1,982506,983540,-,1035,5668,5980
AT1G03880,Chr1,985751,988146,+,2396,1,2
AT1G03890,Chr1,989198,991020,+,1823,0,0
AT1G03900,Chr1,991139,993118,+,1980,1639,1636
AT1G03905,Chr1,993400,995784,+,2385,90,90
AT1G03910,Chr1,996115,1000437,+,4323,883,896
AT1G03920,Chr1,1001321,1004383,+,3063,40,40
AT1G03930,Chr1,1004769,1008370,+,3602,500,449
AT1G03935,Chr1,1008810,1008896,+,87,17,11
AT1G03940,Chr1,1009542,1011056,-,1515,188,155
AT1G03950,Chr1,1011172,1013365,-,2194,136,123
AT1G03960,Chr1,1013715,1017929,+,4215,161,188
AT1G03970,Chr1,1018100,1019247,+,1148,182,191
AT1G03980,Chr1,1018570,1022108,-,3539,172,169
AT1G03982,Chr1,1022251,1023719,-,1469,2,1
AT1G03990,Chr1,1024847,1027616,+,2770,76,75
AT1G04000,Chr1,1028106,1029119,-,1014,506,501
AT1G04010,Chr1,1031200,1036237,-,5038,108,89
AT1G04020,Chr1,1036537,1040224,+,3688,166,214
AT1G04030,Chr1,1040383,1042892,+,2510,2876,2842
AT1G04040,Chr1,1042362,1043864,-,1503,4200,4150
AT1G04050,Chr1,1045598,1049297,-,3700,48,55
AT1G04070,Chr1,1050553,1051186,-,634,173,161
AT1G04080,Chr1,1051312,1056827,+,5516,2227,2225
AT1G04090,Chr1,1057151,1059419,+,2269,15,22
AT1G04100,Chr1,1059506,1061191,+,1686,43,25
AT1G04110,Chr1,1061457,1063784,-,2328,203,202
AT1G04120,Chr1,1064450,1071047,-,6598,1252,1197
AT1G04130,Chr1,1073427,1075568,+,2142,233,232
AT1G04140,Chr1,1075543,1080630,-,5088,1617,1509
AT1G04150,Chr1,1081208,1084246,-,3039,4,3
AT1G04160,Chr1,1086495,1096146,+,9652,199,175
AT1G04170,Chr1,1096946,1099898,+,2953,2464,2597
AT1G04171,Chr1,1100444,1100608,-,165,0,0
AT1G04180,Chr1,1104623,1105988,+,1366,23,27
AT1G04190,Chr1,1106428,1108715,-,2288,540,551
AT1G04200,Chr1,1109482,1114107,+,4626,341,327
AT1G04210,Chr1,1114405,1119739,+,5335,676,644
AT1G04220,Chr1,1119699,1122526,-,2828,351,295
AT1G04230,Chr1,1125518,1128168,+,2651,158,187
AT1G04240,Chr1,1128188,1129551,-,1364,152,161
AT1G04250,Chr1,1136258,1138613,+,2356,484,501
AT1G04260,Chr1,1140528,1141365,-,838,570,505
AT1G04270,Chr1,1141604,1143053,-,1450,6928,6693
AT1G04280,Chr1,1143436,1146654,-,3219,412,390
AT1G04290,Chr1,1147523,1148533,-,1011,258,237
AT1G04295,Chr1,1147781,1148435,+,655,254,234
AT1G04300,Chr1,1148597,1154652,-,6056,1214,1232
AT1G04310,Chr1,1154764,1157711,-,2948,209,208
AT1G04320,Chr1,1159023,1159093,+,71,0,0
AT1G04330,Chr1,1161311,1161982,-,672,25,31
AT1G04340,Chr1,1163097,1164851,-,1755,340,313
AT1G04350,Chr1,1165165,1166768,+,1604,652,653
AT1G04360,Chr1,1167457,1168878,-,1422,72,79
AT1G04370,Chr1,1175177,1175578,+,402,1,3
AT1G04380,Chr1,1176921,1178407,-,1487,0,2
AT1G04390,Chr1,1179363,1183704,-,4342,128,144
AT1G04400,Chr1,1185550,1188517,-,2968,1128,1225
AT1G04410,Chr1,1189078,1191412,-,2335,14446,14560
AT1G04420,Chr1,1191608,1193884,+,2277,1640,1576
AT1G04425,Chr1,1194187,1196889,+,2703,86,88
AT1G04430,Chr1,1198118,1201527,+,3410,1826,1776
AT1G04440,Chr1,1202255,1205803,+,3549,1286,1358
AT1G04445,Chr1,1207344,1207862,+,519,4,8
AT1G04450,Chr1,1208521,1209874,+,1354,0,0
AT1G04470,Chr1,1211049,1214662,-,3614,0,1
AT1G04480,Chr1,1216095,1217467,+,1373,3236,3320
AT1G04490,Chr1,1217948,1220137,-,2190,5,3
AT1G04500,Chr1,1221433,1224366,-,2934,2,6
AT1G04501,Chr1,1224552,1224680,+,129,0,0
AT1G04510,Chr1,1226575,1230827,+,4253,1978,1951
AT1G04520,Chr1,1231578,1234032,+,2455,398,403
AT1G04530,Chr1,1234176,1236034,-,1859,418,433
AT1G04540,Chr1,1237256,1239061,+,1806,34,31
AT1G04550,Chr1,1240375,1242121,+,1747,243,248
AT1G04555,Chr1,1242558,1244244,+,1687,154,141
AT1G04560,Chr1,1244947,1246059,+,1113,7,8
AT1G04570,Chr1,1246728,1248775,-,2048,18,13
AT1G04580,Chr1,1252122,1257510,-,5389,1,1
AT1G04590,Chr1,1258577,1261426,-,2850,500,465
AT1G04600,Chr1,1262123,1272376,+,10254,6,4
AT1G04610,Chr1,1279388,1281618,+,2231,52,45
AT1G04620,Chr1,1282741,1286584,-,3844,225,200
AT1G04625,Chr1,1287831,1289820,-,1990,79,72
AT1G04630,Chr1,1289734,1291112,-,1379,709,645
AT1G04635,Chr1,1291314,1291995,+,682,34,34
AT1G04640,Chr1,1292080,1293357,+,1278,481,468
AT1G04645,Chr1,1293770,1294263,-,494,0,0
AT1G04650,Chr1,1294893,1299002,-,4110,93,94
AT1G04660,Chr1,1300486,1301773,-,1288,17,12
AT1G04670,Chr1,1301861,1302724,+,864,0,0
AT1G04680,Chr1,1303529,1307884,-,4356,1407,1393
AT1G04684,Chr1,1310430,1310579,-,150,0,0
AT1G04690,Chr1,1313564,1315750,+,2187,1039,1146
AT1G04700,Chr1,1316254,1320919,+,4666,54,66
AT1G04710,Chr1,1321904,1324782,+,2879,495,487
AT1G04720,Chr1,1324923,1324960,+,38,0,0
AT1G04730,Chr1,1325296,1331086,-,5791,137,117
AT1G04750,Chr1,1331466,1333567,-,2102,931,1037
AT1G04760,Chr1,1334760,1336070,+,1311,70,72
AT1G04770,Chr1,1336371,1337849,-,1479,797,782
AT1G04778,Chr1,1339892,1340327,+,436,7,7
AT1G04780,Chr1,1340669,1343584,-,2916,585,639
AT1G04790,Chr1,1345036,1348451,+,3416,423,451
AT1G04800,Chr1,1348452,1349286,-,835,2205,2479
AT1G04810,Chr1,1350180,1355442,+,5263,1559,1688
AT1G04820,Chr1,1356191,1358386,-,2196,10332,10029
AT1G04830,Chr1,1358574,1362019,-,3446,258,246
AT1G04840,Chr1,1362867,1364962,-,2096,18,10
AT1G04850,Chr1,1365118,1368844,-,3727,1724,1747
AT1G04860,Chr1,1369054,1373101,-,4048,480,446
AT1G04870,Chr1,1373234,1375762,-,2529,713,700
AT1G04880,Chr1,1375961,1379185,-,3225,23,30
AT1G04890,Chr1,1380382,1382599,-,2218,1,0
AT1G04900,Chr1,1383841,1387895,+,4055,288,303
AT1G04910,Chr1,1387871,1391187,-,3317,600,559
AT1G04920,Chr1,1391502,1395864,-,4363,33,36
AT1G04930,Chr1,1396291,1399053,-,2763,124,112
AT1G04940,Chr1,1399182,1400770,+,1589,2321,2298
AT1G04945,Chr1,1399174,1403112,+,3939,2589,2573
AT1G04950,Chr1,1403085,1407501,-,4417,362,327
AT1G04960,Chr1,1407801,1410868,-,3068,257,260
AT1G04970,Chr1,1411170,1413627,+,2458,498,489
AT1G04980,Chr1,1413644,1416144,-,2501,413,426
AT1G04985,Chr1,1416343,1418482,-,2140,535,552
AT1G04990,Chr1,1419080,1421789,-,2710,398,390
AT1G05000,Chr1,1425593,1428782,+,3190,310,313
AT1G05010,Chr1,1431190,1432858,-,1669,2169,2203
AT1G05020,Chr1,1435254,1437667,-,2414,37,38
AT1G05030,Chr1,1438152,1441417,-,3266,111,134
AT1G05040,Chr1,1447369,1448448,-,1080,0,0
AT1G05055,Chr1,1448718,1450887,-,2170,283,298
AT1G05060,Chr1,1451030,1452872,-,1843,113,109
AT1G05065,Chr1,1454969,1455220,-,252,25,39
AT1G05070,Chr1,1457063,1458744,-,1682,464,496
AT1G05080,Chr1,1459091,1460579,+,1489,0,0
AT1G05085,Chr1,1460988,1461670,+,683,0,0
AT1G05090,Chr1,1463202,1465622,+,2421,32,39
AT1G05100,Chr1,1469610,1470881,+,1272,26,22
AT1G05120,Chr1,1471406,1476078,-,4673,292,333
AT1G05136,Chr1,1478923,1479063,+,141,9,6
AT1G05140,Chr1,1482548,1484056,+,1509,709,681
AT1G05150,Chr1,1484067,1486960,-,2894,384,335
AT1G05160,Chr1,1487378,1490947,-,3570,140,142
AT1G05170,Chr1,1491111,1494248,-,3138,219,239
AT1G05180,Chr1,1498114,1501824,-,3711,521,575
AT1G05190,Chr1,1502344,1503830,-,1487,6210,6035
AT1G05200,Chr1,1504960,1509152,+,4193,857,769
AT1G05205,Chr1,1509103,1510281,-,1179,548,550
AT1G05210,Chr1,1510404,1511683,+,1280,192,171
AT1G05220,Chr1,1511907,1513573,+,1667,95,94
AT1G05230,Chr1,1512896,1518805,-,5910,176,185
AT1G05240,Chr1,1521137,1522681,+,1545,10,8
AT1G05250,Chr1,1525601,1527234,-,1634,10,10
AT1G05260,Chr1,1529767,1531439,+,1673,900,983
AT1G05270,Chr1,1531641,1534410,-,2770,523,537
AT1G05280,Chr1,1535444,1537525,-,2082,43,43
AT1G05290,Chr1,1539152,1540562,-,1411,0,0
AT1G05291,Chr1,1541348,1542432,-,1085,2,1
AT1G05300,Chr1,1545106,1547849,-,2744,210,199
AT1G05310,Chr1,1550543,1552517,-,1975,51,56
AT1G05320,Chr1,1553603,1557733,+,4131,137,162
AT1G05330,Chr1,1558170,1558583,+,414,1,2
AT1G05340,Chr1,1558844,1559903,-,1060,143,153
AT1G05350,Chr1,1560678,1564123,-,3446,549,632
AT1G05360,Chr1,1564598,1567465,+,2868,172,189
AT1G05370,Chr1,1569192,1572280,-,3089,45,26
AT1G05380,Chr1,1576863,1582614,+,5752,551,550
AT1G05385,Chr1,1582671,1583718,-,1048,331,344
AT1G05390,Chr1,1583772,1583845,-,74,0,0
AT1G05400,Chr1,1584073,1585421,+,1349,21,22
AT1G05410,Chr1,1585371,1587778,-,2408,322,288
AT1G05420,Chr1,1590073,1590753,+,681,42,42
AT1G05430,Chr1,1594057,1595818,-,1762,440,499
AT1G05440,Chr1,1596007,1597848,-,1842,55,74
AT1G05450,Chr1,1599911,1601214,+,1304,24,15
AT1G05460,Chr1,1601148,1605027,-,3880,318,336
AT1G05470,Chr1,1607357,1611703,-,4347,144,124
AT1G05490,Chr1,1618602,1623452,-,4851,39,43
AT1G05500,Chr1,1624955,1629224,+,4270,714,692
AT1G05510,Chr1,1629446,1630863,+,1418,4,3
