"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source","group","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017"
"AT1G22410",2812.99840383284,-0.444448500868354,0.097466858272439,-4.55999617455642,5.11545526535607e-06,0.00396042809523255,NA,NA,838847,"Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]",NA,NA,"em2",0.449599707727662,0.000235965965980197,NA,NA
"AT1G23390",2153.84926894074,0.858424661608278,0.203670513682995,4.21477142707255,2.50031286391141e-05,0.00996651465563262,NA,"Q9LDE3",838947,"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]",NA,NA,"em2",-1.24351634276115,4.89881217273238e-05,NA,NA
"AT1G24575",160.300435632417,-0.729630376350264,0.188273114154193,-3.87538273655317,0.000106457237437984,0.0283035822673432,NA,NA,839072,"At1g24575 [Source:UniProtKB/TrEMBL;Acc:Q8LAL6]",NA,NA,"em2",1.72211249494551,5.17894563841464e-08,NA,NA
"AT1G26800",113.570763188383,0.849477000598138,0.196037098948388,4.33324613124267,1.46926687914786e-05,0.00756910776930806,NA,"Q9LQX2",839223,"E3 ubiquitin-protein ligase MPSR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQX2]","MPSR1","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT1G49200",60.7338028386017,1.03274431548118,0.238964325074571,4.3217510193578,1.5479581036204e-05,0.00756910776930806,NA,"Q94BY6",841343,"RING-H2 finger protein ATL75 [Source:UniProtKB/Swiss-Prot;Acc:Q94BY6]","ATL75","UniProtKB Gene Name","em2",-1.78224713497334,1.09810550340298e-07,NA,NA
"AT1G53310",2286.07260492972,-0.491246889840151,0.130209869307094,-3.77273160977964,0.000161469956331188,0.0344858995240208,"ATPPC1","Q9MAH0",841765,"Phosphoenolpyruvate carboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAH0]","PPC1","UniProtKB Gene Name","em2",0.518057140519775,0.000240094541041548,NA,NA
"AT1G54080",2129.54369191092,-0.331122056759328,0.080381827530263,-4.11936462423256,3.79918551791159e-05,0.0130727159459843,"UBP1A","Q9SYG4",841846,"Oligouridylate-binding protein 1A [Source:UniProtKB/TrEMBL;Acc:F4HV67]","UBP1A","TAIR Gene Name","em2",NA,NA,NA,NA
"AT1G54790",971.756124366394,0.465890858272635,0.124271893218575,3.74896403528033,0.000177566544536032,0.0360352577720576,NA,NA,841920,"GDSL esterase/lipase At1g54790 [Source:UniProtKB/Swiss-Prot;Acc:Q3ECP6]",NA,NA,"em2",NA,NA,NA,NA
"AT1G61800",497.717167069241,-1.8261257584323,0.471497363483633,-3.87303493054567,0.000107488414964854,0.0283035822673432,"GPT2","Q94B38",842477,"glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","TAIR Gene Name","em2",5.48732813978091,1.37877601696773e-06,2.331,0.00034
"AT1G63530",138.621567281316,-0.48857251195861,0.130911556582266,-3.73208083926177,0.000189904532722891,0.0367564179429587,NA,NA,842658,"BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT1G63540.1); Ha. [Source:TAIR;Acc:AT1G63530]",NA,NA,"em2",2.8121500877835,8.36176521635168e-08,1.12,0.0021
"AT1G65840",1767.91584865434,-0.401480668809266,0.106201896105901,-3.78035311543708,0.00015660608904429,0.033990262704829,"ATPAO4","Q8H191",842894,"Probable polyamine oxidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8H191]","PAO4","UniProtKB Gene Name","em2",0.369510645934068,0.00783207312535415,NA,NA
"AT1G66230",73.0002603490956,0.92608995399798,0.249454884103874,3.71245468824877,0.000205258816262218,0.038524384494629,"MYB20","Q9C7U7",842938,"Transcription factor MYB20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7U7]","MYB20","TAIR Gene Name","em2",-1.12309913628574,3.7778352477641e-06,NA,NA
"AT1G66730",617.304468666092,-0.562385714279217,0.15571870379085,-3.61154890574079,0.000304373669197562,0.0471297262279991,"AtLIG6","F4HPZ9",842991,"DNA ligase 6 [Source:UniProtKB/Swiss-Prot;Acc:F4HPZ9]","LIG6","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT1G69490",78.0629926746516,1.46085314898474,0.39875620591842,3.66352454783765,0.000248768362918378,0.0401944778381425,"NAP","O49255",843282,"NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]","NAC029","UniProtKB Gene Name","em2",3.02078550357009,1.52808302696869e-09,NA,NA
"AT1G71030",1940.28364075037,0.785665639873295,0.192675814989138,4.0776557240336,4.54920603426383e-05,0.0150944280933315,"ATMYBL2",NA,843443,"At1g71030/F23N20_2 [Source:UniProtKB/TrEMBL;Acc:Q9C9A5]","ATMYBL2","TAIR Gene Name","em2",-0.835296133871686,5.27712310367743e-05,NA,NA
"AT1G80440",711.465835773463,0.904328554653063,0.200726971862368,4.50526676242161,6.62896137407657e-06,0.00459603817017976,NA,"Q9M8L2",844383,"F-box/kelch-repeat protein At1g80440 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8L2]",NA,NA,"em2",-1.08784531158447,1.78978765381198e-05,NA,NA
"AT1G80920",3110.44450777339,0.846667751935422,0.213326326420425,3.96888544485974,7.22095828173494e-05,0.0227411230225283,"J8","Q9SAG8",844432,"Chaperone protein dnaJ 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SAG8]","ATJ8","UniProtKB Gene Name","em2",-0.876617919458693,3.37069812788628e-06,NA,NA
"AT2G01870",344.991418735651,0.449658508401176,0.100696361231355,4.46548914878921,7.98860214800657e-06,0.004947873883737,NA,NA,814718,"At2g01870 [Source:UniProtKB/TrEMBL;Acc:Q9SIS7]",NA,NA,"em2",-1.26679532866591,3.81156172717632e-07,NA,NA
"AT2G04240",254.070953158268,0.476861999966846,0.123275977469826,3.86824756740272,0.000109620339707923,0.0283035822673432,"XERICO","Q9SI09",814962,"Probable E3 ubiquitin-protein ligase XERICO [Source:UniProtKB/Swiss-Prot;Acc:Q9SI09]","XERICO","UniProtKB Gene Name","em2",0.517819363981877,0.000659818705158712,NA,NA
"AT2G15890",1341.87536796849,0.881303935450752,0.192423130319825,4.58003117393394,4.64906629979008e-06,0.00392655913256362,"MEE14",NA,816085,"CCG-binding protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIM0]","MEE14","UniProtKB Gene Name","em2",-1.87123783548916,9.95427725059487e-06,NA,NA
"AT2G15960",401.040977008888,1.08779420275695,0.280331398233037,3.88038660533015,0.000104290559306027,0.0283035822673432,NA,NA,816091,"Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9XIM6]",NA,NA,"em2",-1.02175299146337,4.02734927055257e-05,NA,NA
"AT2G19880",777.550645064572,-0.476205058068265,0.123202115246559,-3.86523443299052,0.000110982547953214,0.0283035822673432,NA,NA,816507,"Nucleotide-diphospho-sugar transferases superfamily protein [Source:TAIR;Acc:AT2G19880]",NA,NA,"em2",NA,NA,NA,NA
"AT2G20270",2110.72050859091,0.507392735457918,0.139469065561686,3.63803065156053,0.000274730735204576,0.0440066533692779,NA,NA,816546,"Thioredoxin superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IUG7]",NA,NA,"em2",-0.737621602741006,8.26791334106819e-06,NA,NA
"AT2G20570",3191.42619368022,-0.472486238942251,0.0958869712625934,-4.92753324795622,8.32742565555505e-07,0.0012894324675489,"GPRI1",NA,816579,"GBF's pro-rich region-interacting factor 1 [Source:UniProtKB/TrEMBL;Acc:F4IVF9]","GPRI1","TAIR Gene Name","em2",0.503184074798403,0.000486279063024473,NA,NA
"AT2G24550",369.748494292661,0.514014583618317,0.121041951028421,4.24658210852555,2.1705625818187e-05,0.00937935426343562,NA,NA,816991,"At2g24550/F25P17.15 [Source:UniProtKB/TrEMBL;Acc:Q945P6]",NA,NA,"em2",NA,NA,NA,NA
"AT2G24980",863.055781896906,-0.747293669625731,0.177604327363605,-4.20763210400733,2.58060546366812e-05,0.00998963127508693,NA,NA,817037,"Proline-rich extensin-like family protein [Source:TAIR;Acc:AT2G24980]",NA,NA,"em2",0.597970947636148,0.000540476225587955,NA,NA
"AT2G25900",680.973208707446,0.969199921173007,0.142364857403602,6.80785931899851,9.90616601367739e-12,4.60166176750349e-08,"ATCTH","O82307",817131,"Zinc finger CCCH domain-containing protein 23 [Source:UniProtKB/Swiss-Prot;Acc:O82307]","ATCTH","TAIR Gene Name","em2",-1.43222393106761,1.11316209792297e-06,NA,NA
"AT2G27830",309.986558909573,0.616584898413273,0.158529202091291,3.88940895607489,0.000100488658112351,0.0283035822673432,NA,NA,817330,"Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]",NA,NA,"em2",0.785110902489712,8.59322029541251e-05,NA,NA
"AT2G28605",537.549947277617,0.438347754284928,0.100312828637837,4.36980753346625,1.24356093199305e-05,0.00660188733638939,NA,"Q8VY52",817409,"PsbP domain-containing protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VY52]","PPD2","UniProtKB Gene Name","em2",-1.44245151172596,6.30604609236829e-07,NA,NA
"AT2G28720",354.917821437367,0.483944390970691,0.107748090696905,4.49144284451429,7.07422862448919e-06,0.00459603817017976,NA,"Q9SI96",817421,"Histone H2B.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SI96]",NA,NA,"em2",NA,NA,NA,NA
"AT2G29700",237.984542247855,0.542105976177579,0.120103075260741,4.51367273486276,6.37145103210162e-06,0.00459603817017976,"ATPH1","Q9ST43",817520,"PH1 [Source:UniProtKB/TrEMBL;Acc:A0A178W3K4]","PH1","UniProtKB Gene Name","em2",0.3911343381683,0.00120190488702659,NA,NA
"AT2G32150",834.999501744127,0.65139521262768,0.157597966947094,4.13327167377961,3.57635568513596e-05,0.0125678194460846,NA,NA,817774,"At2g32150/F22D22.10 [Source:UniProtKB/TrEMBL;Acc:Q9SKY5]",NA,NA,"em2",1.64260059373294,4.48589651168563e-08,NA,NA
"AT2G32930",210.358598306549,-0.433025469694981,0.115079944120421,-3.7628230792488,0.000168006057950929,0.0354740973043887,"ZFN2",NA,817855,"zinc finger nuclease 2 [Source:TAIR;Acc:AT2G32930]","ZFN2","TAIR Gene Name","em2",0.401850461347367,0.0130460619589891,NA,NA
"AT2G34410",12787.0980307233,0.657111404343039,0.151996062575996,4.32321333333547,1.53772907416781e-05,0.00756910776930806,NA,NA,818004,"Protein REDUCED WALL ACETYLATION 3 [Source:UniProtKB/Swiss-Prot;Acc:Q66GQ5]","RWA3","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT2G38610",423.956337269765,-0.334526701891493,0.089232959220738,-3.7489141323215,0.000177601875936383,0.0360352577720576,NA,"Q9ZVI3",818443,"KH domain-containing protein At2g38610 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVI3]",NA,NA,"em2",0.934514382895101,2.60819045369917e-06,NA,NA
"AT2G38760",75.4912616565385,0.654155549045218,0.173092711906691,3.77922063753819,0.000157319982380674,0.033990262704829,"ANNAT3","Q9SE45",818458,"Annexin [Source:UniProtKB/TrEMBL;Acc:A0A178W040]","ANN3","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT2G38820",204.748561984822,0.550049536191487,0.136714287302317,4.02335079270217,5.73759388930314e-05,0.0183810744926106,NA,NA,818464,"Protein of unknown function (DUF506) [Source:TAIR;Acc:AT2G38820]",NA,NA,"em2",-1.23709851424425,1.28471049679662e-06,NA,NA
"AT2G40000",728.244218054145,0.936401843729112,0.252623197835794,3.70671360251634,0.000209966154084377,0.0387148470286164,"HSPRO2","O04203",818588,"Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT2G40850",99.3930647154346,-0.528273363975093,0.142859506402992,-3.69785236752035,0.000217431277726314,0.0389678361368041,"ATPI4K GAMMA 1","O22199",818683,"Phosphatidylinositol 4-kinase gamma 1 [Source:UniProtKB/Swiss-Prot;Acc:O22199]","PI4KG1","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT2G41670",415.896949360911,0.49237611750419,0.135823473601263,3.62511798917511,0.000288829553556239,0.0458695891848588,NA,NA,818765,"Short integuments 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8L607]","SIN2","UniProtKB Gene Name","em2",NA,NA,0.775,0.0012
"AT2G42610",136.963496569086,-0.539033019153258,0.149670240933087,-3.60147091227202,0.000316421830485673,0.0481920822315926,"LSH10","Q9S7R3",818861,"LSH10 [Source:UniProtKB/TrEMBL;Acc:A0A178VLX9]","LSH10","UniProtKB Gene Name","em2",-1.09631365001389,8.10888907157867e-06,NA,NA
"AT2G44130",333.226839130379,0.673191274016445,0.174197335986768,3.86453254410034,0.000111302150166105,0.0283035822673432,NA,"O80582",819019,"F-box/kelch-repeat protein At2g44130 [Source:UniProtKB/Swiss-Prot;Acc:O80582]",NA,NA,"em2",-0.331181674429713,0.0149558192510262,NA,NA
"AT2G44940",234.6335725206,-0.508626858137448,0.13138788157623,-3.87118547034605,0.000108307343081199,0.0283035822673432,NA,"Q8LBQ7",819103,"Ethylene-responsive transcription factor ERF034 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBQ7]","ERF034","UniProtKB Gene Name","em2",0.503031420811201,0.00688824242339934,NA,NA
"AT2G45135",112.863126563795,-1.39624929291403,0.357836195364284,-3.90192303350595,9.54315041928266e-05,0.0283035822673432,NA,NA,819121,"RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IW24]",NA,NA,"em2",NA,NA,NA,NA
"AT2G45660",388.220700444137,0.614437214784914,0.167209011097771,3.67466568189699,0.00023816105778508,0.0400321742175437,"AGL20","O64645",819174,"SOC1 [Source:UniProtKB/TrEMBL;Acc:A0A178VZL4]","SOC1","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT2G48075",471.523314560497,0.433437964783274,0.120095978589149,3.60909640668382,0.000307265412760836,0.0471842862356124,NA,NA,3768752,"Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q2V2R0]",NA,NA,"em2",NA,NA,NA,NA
"AT3G03250",2699.30798025883,-0.501977472315087,0.11901170634842,-4.21788316222853,2.46606536793031e-05,0.00996651465563262,"UGP",NA,821313,"UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02]","UGP","TAIR Gene Name","em2",0.699307201155475,6.40473358371532e-06,NA,NA
"AT3G05770",104.688953053112,1.10390268768328,0.29785767339602,3.70614151079992,0.00021044074860827,0.0387148470286164,NA,NA,819746,"F10A16.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9M9L9]",NA,NA,"em2",0.309788354377489,0.00874732561868665,0.914,0.0034
"AT3G05840",2638.20243175595,-0.301044091068722,0.0788787110879683,-3.81654424769932,0.000135333814861392,0.0310073172246056,"ATSK12","P43289",819753,"AT3G05840 protein [Source:UniProtKB/TrEMBL;Acc:Q0WUV3]","ASK3","UniProtKB Gene Name","em2",0.330196360196847,0.00784805105331709,NA,NA
"AT3G05870",383.548838476177,0.640378612739987,0.151973265885658,4.21375831471436,2.51156038507624e-05,0.00996651465563262,"APC11",NA,819756,"APC11 [Source:UniProtKB/TrEMBL;Acc:A0A384LJP7]","APC11","TAIR Gene Name","em2",NA,NA,NA,NA
"AT3G05880",1625.68349089721,0.449003272985264,0.104720805107838,4.28762243111953,1.80595722765071e-05,0.00838912281174445,"RCI2A","Q9ZNQ7",819757,"RCI2A [Source:UniProtKB/TrEMBL;Acc:A0A178V7D5]","RCI2A","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT3G08530",4073.70033719017,-0.2080184112053,0.0446394143072271,-4.65997178577726,3.16252730298153e-06,0.00326460665648333,NA,"Q0WLB5",820001,"Clathrin heavy chain 2 [Source:UniProtKB/Swiss-Prot;Acc:Q0WLB5]","CHC2","UniProtKB Gene Name","em2",0.344030092784719,0.0240622310086311,NA,NA
"AT3G11120",798.029451696341,0.655005305511377,0.153555112179727,4.2656040311099,1.9936209098431e-05,0.00881987383947492,NA,"P62120",818612,"60S ribosomal protein L41 [Source:UniProtKB/Swiss-Prot;Acc:P62120]","RPL41G","UniProtKB Gene Name","em2",-0.729631169907,0.00732024297164499,NA,NA
"AT3G11120",798.029451696341,0.655005305511377,0.153555112179727,4.2656040311099,1.9936209098431e-05,0.00881987383947492,NA,"P62120",818612,"60S ribosomal protein L41 [Source:UniProtKB/Swiss-Prot;Acc:P62120]","RPL41G","UniProtKB Gene Name","em2",-0.729631169907,0.00732024297164499,NA,NA
"AT3G11120",798.029451696341,0.655005305511377,0.153555112179727,4.2656040311099,1.9936209098431e-05,0.00881987383947492,NA,"P62120",818612,"60S ribosomal protein L41 [Source:UniProtKB/Swiss-Prot;Acc:P62120]","RPL41G","UniProtKB Gene Name","em2",-0.729631169907,0.00732024297164499,NA,NA
"AT3G11120",798.029451696341,0.655005305511377,0.153555112179727,4.2656040311099,1.9936209098431e-05,0.00881987383947492,NA,"P62120",818612,"60S ribosomal protein L41 [Source:UniProtKB/Swiss-Prot;Acc:P62120]","RPL41G","UniProtKB Gene Name","em2",-0.729631169907,0.00732024297164499,NA,NA
"AT3G11120",798.029451696341,0.655005305511377,0.153555112179727,4.2656040311099,1.9936209098431e-05,0.00881987383947492,NA,"P62120",818612,"60S ribosomal protein L41 [Source:UniProtKB/Swiss-Prot;Acc:P62120]","RPL41G","UniProtKB Gene Name","em2",-0.729631169907,0.00732024297164499,NA,NA
"AT3G11170",3715.68240387434,0.362703236190541,0.0939295331156009,3.8614397853352,0.00011272079477872,0.0283035822673432,"FAD7","P46310",820288,"sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P46310]","FAD7","UniProtKB Gene Name","em2",-1.3534154587801,1.70930362527957e-07,NA,NA
"AT3G14310",5153.86799362122,-0.405011592706403,0.109652230022893,-3.69360105692191,0.000221100584685362,0.0390320439158581,"ATPME3","O49006",820651,"Pectinesterase/pectinesterase inhibitor 3 [Source:UniProtKB/Swiss-Prot;Acc:O49006]","PME3","UniProtKB Gene Name","em2",-1.02296124385231,2.05158026015004e-06,NA,NA
"AT3G15200",969.377382634388,0.475700123964135,0.113301033207735,4.19855062655914,2.68628801094576e-05,0.0101865137819149,NA,"Q9LIL5",820751,"Putative pentatricopeptide repeat-containing protein At3g15200 [Source:UniProtKB/Swiss-Prot;Acc:Q9LIL5]",NA,NA,"em2",-0.453742730712574,0.00125246673367038,NA,NA
"AT3G15460",455.520101345058,0.71657149376825,0.187589757826434,3.81988602187573,0.00013351335581349,0.0310073172246056,NA,"Q9LE16",820785,"Ribosome biogenesis protein BRX1 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LE16]","BRIX1-1","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT3G18773",158.294678141433,0.999793300206329,0.128715951420951,7.76743899391782,8.00888908168863e-15,4.96043893422855e-11,NA,"Q9LS99",821409,"RING-H2 finger protein ATL77 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS99]","ATL77","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT3G24420",133.551372631916,0.61098659446502,0.136123164180563,4.4884836327678,7.17319341990276e-06,0.00459603817017976,NA,NA,822032,"Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LK01]",NA,NA,"em2",NA,NA,NA,NA
"AT3G41979",106.50295005603,-1.04713604846314,0.283234502391734,-3.69706388035618,0.000218107473129951,0.0389678361368041,NA,NA,NA,NA,NA,NA,"em2",NA,NA,NA,NA
"AT3G50550",149.890079440015,0.474394684018693,0.120193474633973,3.9469254505153,7.91611919606206e-05,0.0241130181609884,NA,NA,824219,"At3g50550 [Source:UniProtKB/TrEMBL;Acc:Q8L8Y4]",NA,NA,"em2",NA,NA,NA,NA
"AT3G52060",925.049077577273,0.479026268181704,0.106676175116141,4.49047097592481,7.10658588057874e-06,0.00459603817017976,NA,NA,824369,"GnTL [Source:UniProtKB/TrEMBL;Acc:A0A384L2P4]",NA,NA,"em2",NA,NA,NA,NA
"AT3G52070",256.264414778988,0.506290706073499,0.107972863932734,4.68905507951437,2.74469510147025e-06,0.00299995174590698,NA,NA,824370,"At3g52070 [Source:UniProtKB/TrEMBL;Acc:Q9SUZ7]",NA,NA,"em2",NA,NA,NA,NA
"AT3G52072",283.085838743738,0.503834698383333,0.109663953646393,4.59435102994671,4.3409810761576e-06,0.00392655913256362,NA,NA,NA,NA,NA,NA,"em2",NA,NA,NA,NA
"AT3G53620",826.589707621066,-0.673319802831897,0.145400676832305,-4.63078864212207,3.64275576369132e-06,0.00356242341290255,"AtPPa4","Q9LFF9",824530,"PPa4 [Source:UniProtKB/TrEMBL;Acc:A0A178VKC0]","PPA4","UniProtKB Gene Name","em2",-0.552313173951032,9.55043030666356e-05,NA,NA
"AT3G54590",1648.486855964,-0.692957224522704,0.171936480507825,-4.03030946356476,5.57034670582332e-05,0.018158353007176,"ATHRGP1",NA,824624,"Extensin-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1G9]","EXT2","UniProtKB Gene Name","em2",0.259953116821719,0.0361488646836113,NA,NA
"AT3G56200",655.861113821707,-0.429609123137847,0.112371016912825,-3.82313104339998,0.000131767703776865,0.0310073172246056,NA,"Q9LYM2",824786,"Amino acid transporter AVT6C [Source:UniProtKB/Swiss-Prot;Acc:Q9LYM2]","AVT6C","UniProtKB Gene Name","em2",0.664006418006906,0.00203566683178171,1.329,8.7e-05
"AT3G56950",7582.82604516323,0.626919266621093,0.170971989965781,3.66679516771471,0.000245609378440341,0.0400321742175437,"SIP2;1","Q9M1K3",824862,"Small and basic intrinsic protein 21 [Source:UniProtKB/TrEMBL;Acc:F4J0V0]","SIP2;1","TAIR Gene Name","em2",0.796524889734394,1.06275507769648e-05,NA,NA
"AT3G59940",2197.64041900804,0.660431770259002,0.123218745886418,5.35983194365396,8.32994047169193e-08,0.00021371133427078,NA,"Q9M1Y1",825164,"F-box/kelch-repeat protein SKIP20 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1Y1]","SKIP20","UniProtKB Gene Name","em2",-1.45035382262157,2.23791090423517e-06,NA,NA
"AT3G63460",2638.62077778572,-0.336611236282323,0.0936859495238313,-3.59297459216867,0.000326924476380788,0.049221875092489,NA,"Q8L611",825521,"Protein transport protein SEC31 homolog B [Source:UniProtKB/Swiss-Prot;Acc:Q8L611]","SEC31B","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT4G01790",259.629257115349,0.603079774723421,0.164413407950122,3.6680693031214,0.000244388948747492,0.0400321742175437,NA,NA,827957,"At4g01790 [Source:UniProtKB/TrEMBL;Acc:Q9SYH9]",NA,NA,"em2",0.327511407856663,0.0454663752587666,NA,NA
"AT4G03510",413.256346720011,0.910395435292555,0.161895770484221,5.62334292347241,1.87297070592579e-08,5.80027811446785e-05,"RMA1","O64425",825654,"E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]","RMA1","UniProtKB Gene Name","em2",-0.399472591339546,0.0145667780888519,NA,NA
"AT4G05070",798.924454473744,0.611772496548496,0.147904608113327,4.13626393627806,3.53006144703496e-05,0.0125678194460846,NA,NA,825849,"AT4g05070 protein [Source:UniProtKB/TrEMBL;Acc:Q9S9T1]",NA,NA,"em2",-0.900995116039274,5.14296259387988e-06,NA,NA
"AT4G10920",537.447487258788,0.495890623385066,0.121169213333576,4.09254636340579,4.26661900764689e-05,0.0144141905056521,"KELP","O65155",826690,"Uncharacterized protein At4g10920 [Source:UniProtKB/TrEMBL;Acc:Q0WP62]","KELP","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT4G16540",93.4586397346534,-1.25328223806507,0.3171470402093,-3.95173871790818,7.75854248522202e-05,0.0240269129863184,NA,NA,827353,"Heat shock protein HSP20/alpha crystallin family [Source:UniProtKB/TrEMBL;Acc:O23498]",NA,NA,"em2",-0.879711142867513,2.15933493432249e-05,NA,NA
