gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G07160;21.576781995414127;-1.5919744133104619;0.28927098627806774;-5.5034016158818755;3.7253245968649823e-8;1.497184176812397e-5;;Q8RX37;837227;"PP2C-type phosphatase AP2C2 [Source:UniProtKB/TrEMBL;Acc:F6LPR6]";;
AT1G08940;159.2995259618524;-0.34446633380677383;0.10563583493186364;-3.260885229230769;0.0011106498541228495;0.038493697421149546;;O04035;837415;"Phosphoglycerate mutase-like protein AT74H [Source:UniProtKB/Swiss-Prot;Acc:O04035]";;
AT1G09620;1018.9034562320328;0.1829243900185505;0.05684688538996436;3.217843664849994;0.0012915819514179117;0.04242902866144858;;F4I116;837489;"Leucine--tRNA ligase, cytoplasmic [Source:UniProtKB/Swiss-Prot;Acc:F4I116]";;
AT1G09920;228.2779640105577;-0.26732294216616187;0.07909440255441338;-3.3797959594202096;7.253966043302304e-4;0.028486520705184457;;;837524;"Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q8L7A5]";;
AT1G10070;2215.022349947893;-0.5052052183831197;0.14239484741335687;-3.5479178324238343;3.882893337596359e-4;0.019301045329962536;ATBCAT-2;Q9M439;837543;"Branched-chain-amino-acid aminotransferase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M439]";BCAT2;UniProtKB Gene Name
AT1G10070;2215.022349947893;-0.5052052183831197;0.14239484741335687;-3.5479178324238343;3.882893337596359e-4;0.019301045329962536;ATBCAT-2;;837543;"Branched-chain-amino-acid aminotransferase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M439]";BCAT2;UniProtKB Gene Name
AT1G10150;244.29273526081337;-0.36094081778002773;0.10578209361221173;-3.4121164126624914;6.446057847010932e-4;0.026585062592181113;;Q9SY57;837552;"Protein PHLOEM PROTEIN 2-LIKE A10 [Source:UniProtKB/Swiss-Prot;Acc:Q9SY57]";PP2A10;UniProtKB Gene Name
AT1G11210;445.42953458397926;-0.40757843770524377;0.0739749418710078;-5.50968243295074;3.594816517935595e-8;1.4840936188908228e-5;;;837662;"At1g11210/T28P6_5 [Source:UniProtKB/TrEMBL;Acc:Q9SXA7]";;
AT1G11310;517.281863011787;-0.29374187250622213;0.0770072933440077;-3.8144682113941557;1.3647650233434286e-4;0.009512563293702592;MLO2;;837673;"MLO-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SXB6]";MLO2;UniProtKB Gene Name
AT1G11310;517.281863011787;-0.29374187250622213;0.0770072933440077;-3.8144682113941557;1.3647650233434286e-4;0.009512563293702592;MLO2;Q9SXB6;837673;"MLO-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SXB6]";MLO2;UniProtKB Gene Name
AT1G11860;6233.542855499813;0.24979120358970178;0.06210554079650311;4.022043772361233;5.769533229248651e-5;0.004677283826921793;;O65396;837733;"Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860]";;
AT1G11860;6233.542855499813;0.24979120358970178;0.06210554079650311;4.022043772361233;5.769533229248651e-5;0.004677283826921793;;;837733;"Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860]";;
AT1G12100;15.800462608712;1.0655118864122888;0.3147362352913178;3.385412186258306;7.107144531560244e-4;0.02806362715958921;;;837762;"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IC43]";;
AT1G12900;10061.77713277889;0.24558517335297197;0.07045321660755263;3.4857907868275397;4.9068459868312e-4;0.022441988824516836;GAPA-2;;837848;"glyceraldehyde 3-phosphate dehydrogenase A subunit 2 [Source:TAIR;Acc:AT1G12900]";GAPA-2;TAIR Gene Name
AT1G12900;10061.77713277889;0.24558517335297197;0.07045321660755263;3.4857907868275397;4.9068459868312e-4;0.022441988824516836;GAPA-2;Q9LPW0;837848;"glyceraldehyde 3-phosphate dehydrogenase A subunit 2 [Source:TAIR;Acc:AT1G12900]";GAPA-2;TAIR Gene Name
AT1G13100;139.58333591433637;-0.3544558857997857;0.10883702827419144;-3.2567582138204885;0.0011269238051303887;0.03881663090204242;CYP71B29;Q9SAE4;837867;"Cytochrome P450 71B29 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAE4]";CYP71B29;UniProtKB Gene Name
AT1G13260;931.8096373330955;-0.5459705452802249;0.09514883110941454;-5.738068864476084;9.57621798547492e-9;5.02458837576766e-6;RAV1;Q9ZWM9;837886;"AP2/ERF and B3 domain-containing transcription factor RAV1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWM9]";RAV1;UniProtKB Gene Name
AT1G14200;322.15592974189036;0.5766046279171738;0.09881643603272731;5.835108521078481;5.375556809874682e-9;3.1730903931788395e-6;;;837980;"At1g14200 [Source:UniProtKB/TrEMBL;Acc:Q9XI67]";;
AT1G14345;1525.773195394903;0.2655833455811166;0.07419354404405655;3.579601823892005;3.441181443145269e-4;0.017982189895217108;;;837996;"NAD(P)-linked oxidoreductase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q949S6]";;
AT1G14540;13.891317824769208;-1.4995255046639353;0.3486055659631511;-4.301496163783113;1.6964871182615575e-5;0.0018578985047375779;;Q9LE15;838016;"Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A178WND9]";PER4;UniProtKB Gene Name
AT1G14740;441.2533649815593;-0.24593445445168347;0.0710611444685966;-3.460885077081288;5.384026016741752e-4;0.02381706497195198;;Q94B71;838039;"Protein OBERON 3 [Source:UniProtKB/Swiss-Prot;Acc:Q94B71]";OBE3;UniProtKB Gene Name
AT1G15290;1827.0134308724678;0.2644145920160091;0.07459287116996213;3.5447702691793745;3.929554133084824e-4;0.019430719376921264;;;838097;"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HZK4]";;
AT1G15670;1178.9967639770769;-0.385666798347503;0.08636909146797193;-4.465333509853105;7.994411991237848e-6;0.0010709677170389481;;Q9LMR5;838136;"F-box/kelch-repeat protein At1g15670 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMR5]";;
AT1G15820;23143.20745141397;0.32413530719687433;0.06994996432985671;4.633816618810251;3.589850235949548e-6;5.712117363108212e-4;LHCB6;;838151;"Chlorophyll a-b binding protein, chloroplastic [Source:UniProtKB/TrEMBL;Acc:Q9LMQ2]";LHCB6;TAIR Gene Name
AT1G15880;290.5632860752482;-0.25071342927500795;0.07299739188202202;-3.4345532465078974;5.935314533117562e-4;0.025307484473150704;GOS11;Q9LMP7;838158;"Golgi SNAP receptor complex member 1-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMP7]";GOS11;UniProtKB Gene Name
AT1G16030;92.02788983985018;-1.046494204466227;0.21048808474673464;-4.971750328411222;6.635111926402748e-7;1.5284223070466036e-4;Hsp70b;Q9S9N1;838174;"Hsp70b [Source:UniProtKB/TrEMBL;Acc:A0A178W9N7]";HSP70-5;UniProtKB Gene Name
AT1G16400;277.94525674810967;0.5484748782774653;0.13325827834217355;4.115878466245231;3.8570751824522226e-5;0.003519627687021258;CYP79F2;Q9FUY7;838210;"Hexahomomethionine N-hydroxylase [Source:UniProtKB/Swiss-Prot;Acc:Q9FUY7]";CYP79F2;UniProtKB Gene Name
AT1G17140;310.54352544220785;0.31307218212658544;0.08812799469856361;3.552471416119584;3.816304786459607e-4;0.019121002947330375;ICR1;Q8LE98;838284;"RIP1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8G4]";ICR1;UniProtKB Gene Name
AT1G18210;1298.1881261519354;-0.33273163683652374;0.07884027106336994;-4.220325886108153;2.439494097922389e-5;0.0024773980653578494;;Q9LE22;838401;"Probable calcium-binding protein CML27 [Source:UniProtKB/Swiss-Prot;Acc:Q9LE22]";CML27;UniProtKB Gene Name
AT1G19380;621.2962207674145;-0.5609929270694202;0.16190187851520246;-3.4650180233501326;5.301959454068515e-4;0.02356440285362357;;;838521;"At1g19380 [Source:UniProtKB/TrEMBL;Acc:Q9LN60]";;
AT1G20840;691.8901737122584;-0.2866910151296063;0.0810241953762787;-3.5383383173162657;4.026537894621253e-4;0.019755136179610607;TMT1;Q96290;838676;"TMT1 [Source:UniProtKB/TrEMBL;Acc:A0A178W059]";MSSP1;UniProtKB Gene Name
AT1G21000;471.582205032575;-0.35183409825891976;0.06505370183058952;-5.408363987881171;6.360306152247781e-8;2.4027964581961663e-5;;;838694;"At1g21000/F9H16_1 [Source:UniProtKB/TrEMBL;Acc:Q93V70]";;
AT1G21010;78.87390151030772;-0.5696984675490333;0.16980344108653525;-3.3550466580868847;7.935159951927061e-4;0.03021920087337707;;;838695;"At1g21010 [Source:UniProtKB/TrEMBL;Acc:Q7XJ58]";;
AT1G21400;1469.1152679373733;-0.43072327152658;0.10967376501092138;-3.9273136240347757;8.589993862693669e-5;0.006464398170215964;;;838739;"Thiamin diphosphate-binding fold (THDP-binding) superfamily protein [Source:TAIR;Acc:AT1G21400]";;
AT1G21400;1469.1152679373733;-0.43072327152658;0.10967376501092138;-3.9273136240347757;8.589993862693669e-5;0.006464398170215964;;Q9LPL5;838739;"Thiamin diphosphate-binding fold (THDP-binding) superfamily protein [Source:TAIR;Acc:AT1G21400]";;
AT1G21830;288.42480183430575;-0.3641342007005849;0.08528942810482713;-4.269394329306986;1.9600448105083366e-5;0.00210615923674536;;;838785;"At1g21820 [Source:UniProtKB/TrEMBL;Acc:Q8VY47]";;
AT1G22280;600.9377615804499;-0.3263144424232766;0.07869947946007624;-4.1463354606915015;3.3783875425700645e-5;0.003190718114580297;PAPP2C;;838835;"Phytochrome-associated protein phosphatase type 2C [Source:UniProtKB/TrEMBL;Acc:F4I1B4]";PAPP2C;TAIR Gene Name
AT1G22280;600.9377615804499;-0.3263144424232766;0.07869947946007624;-4.1463354606915015;3.3783875425700645e-5;0.003190718114580297;PAPP2C;Q9LME4;838835;"Phytochrome-associated protein phosphatase type 2C [Source:UniProtKB/TrEMBL;Acc:F4I1B4]";PAPP2C;TAIR Gene Name
AT1G22850;1994.074741881095;0.18074409830417676;0.05012797753549633;3.6056531140956025;3.113688365319279e-4;0.016998398708819612;;;838890;"At1g22850/F29G20_19 [Source:UniProtKB/TrEMBL;Acc:O23137]";;
AT1G22882;428.6450769276589;0.35855316820739447;0.07198248463003451;4.981116865446307;6.321834562569636e-7;1.4742362105231834e-4;;F4I316;838894;"SUN domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:F4I316]";SUN3;UniProtKB Gene Name
AT1G23205;240.68528776932249;0.6618892762600236;0.12661987679724512;5.227372613226428;1.7193577882177755e-7;5.155071311372311e-5;;;838929;"At1g23205 [Source:UniProtKB/TrEMBL;Acc:O49297]";;
AT1G23390;5744.595187694529;-0.3213969923570567;0.06328591210234859;-5.078491905706917;3.804426373727993e-7;9.895876237839324e-5;;Q9LDE3;838947;"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]";;
AT1G23550;125.69887116140647;-0.41031616745607624;0.12292342938301533;-3.3379817787020736;8.43892832028609e-4;0.03184355529687475;SRO2;Q9ZUD9;838965;"Probable inactive poly [ADP-ribose] polymerase SRO2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUD9]";SRO2;UniProtKB Gene Name
AT1G23710;341.8946820823468;-0.46622574244427945;0.10073385419175321;-4.628292505881781;3.686930170026311e-6;5.803535331802249e-4;;;838981;"At1g23710 [Source:UniProtKB/TrEMBL;Acc:Q9ZUC4]";;
AT1G23740;1028.9450541141446;0.34824737612182866;0.07530119056241738;4.624726030502338;3.750938538652871e-6;5.80749820136181e-4;;Q9ZUC1;838984;"NADPH-dependent alkenal/one oxidoreductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUC1]";AOR;UniProtKB Gene Name
AT1G24440;159.1155916306065;-0.31215754920741207;0.09393687624499039;-3.3230565214165217;8.903687177765616e-4;0.032847997480627875;;;839060;"F21J9.10 [Source:UniProtKB/TrEMBL;Acc:Q9FYL9]";;
AT1G25400;1368.4552113458733;-0.7771990726729003;0.13702809143224248;-5.671822941919971;1.4128596024572157e-8;6.773243262306683e-6;;;839126;"At1g25400 [Source:UniProtKB/TrEMBL;Acc:Q9C6L0]";;
AT1G25550;1315.6822486126066;-0.48339735280773316;0.10433084062042702;-4.633312162857129;3.598612770447759e-6;5.712117363108212e-4;;;839142;"Transcription factor HHO3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPE8]";HHO3;UniProtKB Gene Name
AT1G25550;1315.6822486126066;-0.48339735280773316;0.10433084062042702;-4.633312162857129;3.598612770447759e-6;5.712117363108212e-4;;Q9FPE8;839142;"Transcription factor HHO3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPE8]";HHO3;UniProtKB Gene Name
AT1G25560;942.8042820707523;-0.7362733535989485;0.06449594165363086;-11.415809037303967;3.4864458415503145e-30;6.585547550104389e-26;TEM1;Q9C6M5;839143;"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]";TEM1;UniProtKB Gene Name
AT1G26208;137.34138294211812;0.6305879508663038;0.1324618527860596;4.76052491795334;1.930900915672821e-6;3.799248687098325e-4;NA;NA;NA;NA;NA;NA
AT1G26210;125.06812277675482;0.7005972832196079;0.14227205683264907;4.924349157640297;8.464158966414592e-7;1.903327365673872e-4;ATSOFL1;;839162;"At1g26210 [Source:UniProtKB/TrEMBL;Acc:Q67YG7]";ATSOFL1;TAIR Gene Name
AT1G26270;1606.568811292697;-0.22680928801473677;0.06599471962823285;-3.436779325564506;5.886750091805068e-4;0.02521424546124851;;Q9C671;839168;"Phosphatidylinositol 4-kinase gamma 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C671]";PI4KG5;UniProtKB Gene Name
AT1G26761;223.64191251353344;0.3429882242960359;0.0979065688033648;3.503219737838962;4.596700940773912e-4;0.021385981298098135;;;6241260;"Arabinanase/levansucrase/invertase [Source:UniProtKB/TrEMBL;Acc:Q93ZE3]";;
AT1G27100;610.2717172632255;-0.3439210948031684;0.07007086351590525;-4.908189760286063;9.192089365477243e-7;2.0426985414647017e-4;;;839599;"Actin cross-linking protein [Source:UniProtKB/TrEMBL;Acc:Q0WQH3]";;
AT1G27290;2164.6741575109245;-0.23789606429050278;0.049734703792986217;-4.783301118685899;1.724395019710198e-6;3.465116758224035e-4;;;839618;"Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q94F23]";;
AT1G27730;688.42364937945365;-0.6353824866915747;0.10249518192877963;-6.199144923056775;5.677073994725844e-10;3.829794667370588e-7;STZ;Q96289;839666;"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]";ZAT10;UniProtKB Gene Name
AT1G27950;2908.4587763291734;0.23543532583858515;0.07120618483060723;3.3063887132650556;9.450688278154542e-4;0.0342637333754436;LTPG1;Q9C7F7;839688;"Non-specific lipid transfer protein GPI-anchored 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7F7]";LTPG1;UniProtKB Gene Name
AT1G27970;2336.2646520141684;-0.2002162466475673;0.05308760499084513;-3.7714311406983656;1.6231395103369754e-4;0.010753558892146837;NTF2B;;839690;"Nuclear transport factor 2B [Source:UniProtKB/TrEMBL;Acc:A8MS55]";NTF2B;TAIR Gene Name
AT1G27970;2336.2646520141684;-0.2002162466475673;0.05308760499084513;-3.7714311406983656;1.6231395103369754e-4;0.010753558892146837;NTF2B;Q9C7F5;839690;"Nuclear transport factor 2B [Source:UniProtKB/TrEMBL;Acc:A8MS55]";NTF2B;TAIR Gene Name
AT1G28190;159.58469777454354;-0.546000227696208;0.17055156402490912;-3.201379188856131;0.0013677141525750376;0.043862058791154304;;;839713;"F3H9.15 protein [Source:UniProtKB/TrEMBL;Acc:Q9FZ93]";;
AT1G28280;357.8021273450715;-0.39427998238660433;0.06777734662332088;-5.817282647222135;5.981195825312727e-9;3.3229061160097673e-6;;Q5M750;839722;"VQ motif-containing protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q5M750]";VQ4;UniProtKB Gene Name
AT1G28280;357.8021273450715;-0.39427998238660433;0.06777734662332088;-5.817282647222135;5.981195825312727e-9;3.3229061160097673e-6;;;839722;"VQ motif-containing protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q5M750]";VQ4;UniProtKB Gene Name
AT1G28670;328.73218478577235;0.445447042831575;0.09869655564428523;4.5132987663421815;6.382700927751829e-6;8.864311108481138e-4;ARAB-1;Q38894;839767;"GDSL esterase/lipase At1g28670 [Source:UniProtKB/Swiss-Prot;Acc:Q38894]";ARAB-1;TAIR Gene Name
AT1G30110;165.94063834203118;-0.475335062494066;0.12706321575241047;-3.740933673678478;1.8333790317866009e-4;0.011779148480073845;NUDX25;Q9C6Z2;839890;"Nudix hydrolase 25 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6Z2]";NUDT25;UniProtKB Gene Name
AT1G30110;165.94063834203118;-0.475335062494066;0.12706321575241047;-3.740933673678478;1.8333790317866009e-4;0.011779148480073845;ATNUDX25;Q9C6Z2;839890;"Nudix hydrolase 25 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6Z2]";NUDT25;UniProtKB Gene Name
AT1G30700;113.61245100410852;-0.523472046398916;0.1500573433014612;-3.4884800362437085;4.857750956211188e-4;0.022271373255309014;;Q9SA85;839950;"Berberine bridge enzyme-like 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA85]";;
AT1G30755;79.57237548564827;-0.7556026079378337;0.17923945668350538;-4.215604208575848;2.4911032635739867e-5;0.0024914345157473934;;;839956;"Elongation factor G, putative (DUF668) [Source:UniProtKB/TrEMBL;Acc:Q8L5Y3]";;
AT1G30757;75.73039282268113;-0.6468185979624543;0.16940033106512034;-3.818284143221694;1.3438309407991312e-4;0.0094362909445185085;;;839957;"Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8LGA4]";;
AT1G31420;1572.0615720792364;0.2120385671072734;0.05285682510454509;4.011564574449639;6.0317673296857604e-5;0.004827714114001454;FEI1;C0LGF4;840032;"Leucine-rich repeat protein kinase family protein [Source:UniProtKB/TrEMBL;Acc:F4I9D5]";FEI1;TAIR Gene Name
AT1G31420;1572.0615720792364;0.2120385671072734;0.05285682510454509;4.011564574449639;6.0317673296857604e-5;0.004827714114001454;FEI1;;840032;"Leucine-rich repeat protein kinase family protein [Source:UniProtKB/TrEMBL;Acc:F4I9D5]";FEI1;TAIR Gene Name
AT1G32170;799.7082439367266;-0.30400360370469304;0.07648620484526536;-3.974620054945914;7.04916976543691e-5;0.005571203669428359;XTR4;Q38908;840109;"Probable xyloglucan endotransglucosylase/hydrolase protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q38908]";XTH30;UniProtKB Gene Name
AT1G32920;1410.6664586279799;-0.7112145609571233;0.20166485896182387;-3.5267153862030054;4.207487870720199e-4;0.020326147925839855;;;28717292;"At1g32920/F9L11_25 [Source:UniProtKB/TrEMBL;Acc:Q93WI1]";;
AT1G32928;372.31111413391443;-0.7570702112660507;0.11895781522701149;-6.364190615146271;1.9632221013655617e-10;1.5451375946955873e-7;;;3766886;"Avr9/Cf-9 rapidly elicited protein [Source:UniProtKB/TrEMBL;Acc:Q56XA0]";;
AT1G33610;127.66433253173665;-0.5594875805041226;0.16300188161521156;-3.432399521772824;5.9826552071639e-4;0.025451886082909665;;;840255;"Leucine-rich repeat (LRR) family protein [Source:UniProtKB/TrEMBL;Acc:F4HR91]";;
AT1G34245;278.639778543415;0.5538955549202972;0.12544923680388775;4.415296330468641;1.0087171345991163e-5;0.0012589202693032357;EPF2;Q8LC53;840324;"EPF2 [Source:UniProtKB/TrEMBL;Acc:A0A178W2V8]";EPF2;UniProtKB Gene Name
AT1G34370;1328.0695373510569;-0.2162565910462491;0.060246065494223164;-3.5895554219550716;3.31242403442069e-4;0.017526156186602918;STOP1;Q9C8N5;840339;"Protein SENSITIVE TO PROTON RHIZOTOXICITY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8N5]";STOP1;UniProtKB Gene Name
AT1G34370;1328.0695373510569;-0.2162565910462491;0.060246065494223164;-3.5895554219550716;3.31242403442069e-4;0.017526156186602918;STOP1;;840339;"Protein SENSITIVE TO PROTON RHIZOTOXICITY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8N5]";STOP1;UniProtKB Gene Name
AT1G36622;122.35182214381949;-0.9160520157281051;0.16629076496774073;-5.508736554948274;3.614183200221179e-8;1.4840936188908228e-5;;;5007772;"Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q1G3E7]";;
AT1G36730;2250.2887365135543;0.24370317163751504;0.05636013941139012;4.324034223170565;1.5320151447065255e-5;0.0017225139326405691;;Q9C8F1;840582;"Probable eukaryotic translation initiation factor 5-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8F1]";;
AT1G36732;2250.2887365135543;0.24370317163751504;0.05636013941139012;4.324034223170565;1.5320151447065255e-5;0.0017225139326405691;NA;NA;NA;NA;NA;NA
AT1G42970;15489.33581078426;0.296000966961815;0.06791943227588201;4.3581189807283485;1.3118506447955463e-5;0.001548721676846442;GAPB;P25857;840895;"Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P25857]";GAPB;UniProtKB Gene Name
AT1G42990;1231.9829657583869;-0.2936239421643111;0.08766716356253386;-3.3493035502952737;8.10149840963368e-4;0.030728755714773206;ATBZIP60;Q9C7S0;840897;"bZIP transcription factor 60 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7S0]";BZIP60;UniProtKB Gene Name
AT1G43890;658.2058262630659;-0.19628623683860888;0.06148768193306195;-3.1922855223635564;0.0014115172845065205;0.044660217733741486;ATRAB18;O23657;840987;"Ras-related protein RABC1 [Source:UniProtKB/Swiss-Prot;Acc:O23657]";RABC1;UniProtKB Gene Name
AT1G44130;13.538087941496851;-1.5329318199439084;0.44630202694926374;-3.434740887067883;5.931206592908075e-4;0.025307484473150704;;;841016;"Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9C6Y5]";;
