genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT2G23320;715.0621438816702;-0.4583998240292641;0.11143220692890433;-4.113710359534843;3.89349907709671e-5;0.026403294086270315;WRKY15;O22176;816864;"Probable WRKY transcription factor 15 [Source:UniProtKB/Swiss-Prot;Acc:O22176]";WRKY15;UniProtKB Gene Name
AT2G25460;91.10986686557273;-0.9943372352534107;0.2373600955107894;-4.189150805292847;2.8000028545691716e-5;0.019705043166787325;;;817084;"CONTAINS InterPro DOMAIN/s: C2 calcium-dependent membrane targeting (InterPro:IPR000008); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G04860.1); Ha. [Source:TAIR;Acc:AT2G25460]";;
AT2G26530;376.0526120127929;-0.6596829665369223;0.16424944541752062;-4.016348212683544;5.910690300248998e-5;0.03632488607646775;AR781;;817194;"AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]";AR781;TAIR Gene Name
AT2G27830;831.6061810290968;-0.6013946541576535;0.15382901383679434;-3.909500809747803;9.248704545748968e-5;0.04229884269690679;;;817330;"Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]";;
AT2G32020;66.03053442096838;-1.3109502371404629;0.2732396279442485;-4.797804209453644;1.6041446560512548e-6;0.00236142721900159;;;817762;"Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SKZ7]";;
AT2G38470;405.6559121739463;-0.8778074901313397;0.161535028048559;-5.434161870250596;5.5054586889640074e-8;1.546719293959517e-4;WRKY33;Q8S8P5;818429;"WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]";WRKY33;UniProtKB Gene Name
AT2G38820;461.5761747515476;-0.8012622805149352;0.1751515627448016;-4.574679597249076;4.7694932174143085e-6;0.004689842680683489;;;818464;"Protein of unknown function (DUF506) [Source:TAIR;Acc:AT2G38820]";;
AT2G40140;772.7758915364628;-0.6848640312904187;0.11808197573131839;-5.799903220189558;6.6353203234208645e-9;2.6098041896078942e-5;CZF1;Q9XEE6;818605;"Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]";CZF1;TAIR Gene Name
AT2G47520;55.0540383630204;-2.6895510204655055;0.42838675163377976;-6.278324458466809;3.4224113819272096e-10;2.2435047412326833e-6;HRE2;O22259;819365;"Ethylene-responsive transcription factor ERF071 [Source:UniProtKB/Swiss-Prot;Acc:O22259]";ERF071;UniProtKB Gene Name
AT3G02550;138.6327605398592;-1.095541927137208;0.26860373048770775;-4.078654920942522;4.5297013251059264e-5;0.02873584072888166;LBD41;Q9M886;821112;"LOB domain-containing protein 41 [Source:UniProtKB/Swiss-Prot;Acc:Q9M886]";LBD41;UniProtKB Gene Name
AT3G08940;7456.061322745972;0.38001977746507876;0.09610687611933277;3.95413723564608;7.681131458745597e-5;0.03873259776094639;LHCB4.2;Q9XF88;820043;"Chlorophyll a-b binding protein CP29.2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XF88]";LHCB4.2;UniProtKB Gene Name
AT3G08940;7456.061322745972;0.38001977746507876;0.09610687611933277;3.95413723564608;7.681131458745597e-5;0.03873259776094639;LHCB4.2;;820043;"Chlorophyll a-b binding protein CP29.2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XF88]";LHCB4.2;UniProtKB Gene Name
AT3G11410;117.33854930084584;0.8665236754080394;0.20441043446095422;4.239136214807859;2.2438148458623227e-5;0.01697187029181863;ATPP2CA;P49598;820314;"Protein phosphatase 2C 37 [Source:UniProtKB/Swiss-Prot;Acc:P49598]";PP2CA;UniProtKB Gene Name
AT3G13080;398.82588997071764;-0.6873716465717714;0.15781337082084243;-4.3555982804024245;1.3270395779346892e-5;0.010439024135865439;ATMRP3;Q9LK64;820496;"MRP3 [Source:UniProtKB/TrEMBL;Acc:A0A178VHA7]";ABCC3;UniProtKB Gene Name
AT3G13080;398.82588997071764;-0.6873716465717714;0.15781337082084243;-4.3555982804024245;1.3270395779346892e-5;0.010439024135865439;ATMRP3;;820496;"MRP3 [Source:UniProtKB/TrEMBL;Acc:A0A178VHA7]";ABCC3;UniProtKB Gene Name
AT3G19030;3349.6897758620057;-0.30736221398874813;0.07521562283658242;-4.086414529286556;4.3809076837581484e-5;0.028718310169595914;;;821436;"AT3g19030/K13E13_15 [Source:UniProtKB/TrEMBL;Acc:Q9LJ63]";;
AT3G19680;330.44663270391317;0.7504209701914472;0.16473696147893022;4.555267764164909;5.2318889775350775e-6;0.00489953945867642;;;821505;"Uncharacterized protein At3g19680 [Source:UniProtKB/TrEMBL;Acc:Q9LJM6]";;
AT3G23730;430.44738048593126;0.6365620393338486;0.13293806079393994;4.7884107495786985;1.6810729719323838e-6;0.00236142721900159;XTH16;Q8LG58;821955;"Probable xyloglucan endotransglucosylase/hydrolase protein 16 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG58]";XTH16;UniProtKB Gene Name
AT3G55980;899.0450573965647;-0.5438071888003931;0.13788556566626298;-3.9439022219092847;8.016635488209264e-5;0.039413788377780846;SZF1;Q93ZS9;824764;"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]";SZF1;TAIR Gene Name
AT3G55980;899.0450573965647;-0.5438071888003931;0.13788556566626298;-3.9439022219092847;8.016635488209264e-5;0.039413788377780846;SZF1;;824764;"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]";SZF1;TAIR Gene Name
AT4G01250;333.18583546571165;-0.7630074038662911;0.17303363699809443;-4.409590049099493;1.0356648704731957e-5;0.008591687788405262;WRKY22;O04609;827896;"WRKY transcription factor 22 [Source:UniProtKB/Swiss-Prot;Acc:O04609]";WRKY22;UniProtKB Gene Name
AT4G03510;1922.2550719562973;-0.6944176245564185;0.14544483832256497;-4.774439798381511;1.8020817914066042e-6;0.002362649367320152;RMA1;O64425;825654;"E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]";RMA1;UniProtKB Gene Name
AT4G08950;2777.528819900194;0.7224143510931863;0.1193068651164423;6.055094569688988;1.4033519516715198e-9;6.899579870393027e-6;EXO;Q9ZPE7;826473;"Protein EXORDIUM [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPE7]";EXO;UniProtKB Gene Name
AT4G11370;31.621955592518834;-1.3452559220394347;0.33765821237286414;-3.9840758279970863;6.774324073477377e-5;0.03763690557886825;RHA1A;Q9SUS4;826739;"Probable E3 ubiquitin-protein ligase RHA1A [Source:UniProtKB/Swiss-Prot;Acc:Q9SUS4]";RHA1A;UniProtKB Gene Name
AT4G14450;17.146511192047818;-3.1388157675202333;0.5840803033663212;-5.373945584930371;7.703211344434996e-8;1.6832372699962072e-4;;Q6NN02;827090;"Uncharacterized protein At4g14450, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q6NN02]";;
AT4G24130;59.22793581548237;1.109653058517342;0.27926023218648377;3.9735448539494893;7.081081594722491e-5;0.03763690557886825;;;828513;"T19F6.7 protein [Source:UniProtKB/TrEMBL;Acc:O22978]";;
AT4G24175;54.008724181226086;-1.1375218732726402;0.29270367386088353;-3.8862575869590303;1.0180148532853739e-4;0.044489511343800366;;;828518;"Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:Q8VY50]";;
AT4G28780;303.6494949136722;0.6201877884526937;0.15848873744138411;3.9131347656931497;9.110565547971761e-5;0.04229884269690679;;Q9SVU5;828999;"GDSL esterase/lipase At4g28780 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVU5]";;
AT4G37240;358.0108613740516;0.5757885386650708;0.1257142856970073;4.580136103647112;4.64673442728761e-6;0.004689842680683489;;;829878;"HTH-type transcriptional regulator [Source:UniProtKB/TrEMBL;Acc:Q8LE56]";;
AT4G37450;434.83684785157783;0.6225985308651429;0.14127750021959573;4.406919218540831;1.0485126966425623e-5;0.008591687788405262;AGP18;Q9FPR2;829900;"arabinogalactan protein  18 [Source:TAIR;Acc:AT4G37450]";AGP18;TAIR Gene Name
AT4G37450;434.83684785157783;0.6225985308651429;0.14127750021959573;4.406919218540831;1.0485126966425623e-5;0.008591687788405262;AGP18;;829900;"arabinogalactan protein  18 [Source:TAIR;Acc:AT4G37450]";AGP18;TAIR Gene Name
AT4G39780;110.53765466191655;-0.8579535776763663;0.20482569647528948;-4.188700892711824;2.8055588765892663e-5;0.019705043166787325;;O65665;830136;"Ethylene-responsive transcription factor ERF060 [Source:UniProtKB/Swiss-Prot;Acc:O65665]";ERF060;UniProtKB Gene Name
AT5G05410;547.5600322851499;0.6456169823678338;0.1614691999375541;3.9983909167662746;6.377456042830954e-5;0.03708774289429225;DREB2A;O82132;830424;"Dehydration-responsive element-binding protein 2A [Source:UniProtKB/Swiss-Prot;Acc:O82132]";DREB2A;UniProtKB Gene Name
AT5G05410;547.5600322851499;0.6456169823678338;0.1614691999375541;3.9983909167662746;6.377456042830954e-5;0.03708774289429225;DREB2A;;830424;"Dehydration-responsive element-binding protein 2A [Source:UniProtKB/Swiss-Prot;Acc:O82132]";DREB2A;UniProtKB Gene Name
AT5G06310;651.6210061458044;-0.48164981298438525;0.12049945366051061;-3.997112006344546;6.411996635848351e-5;0.03708774289429225;AtPOT1b;Q6NKX5;830519;"Protection of telomeres protein 1b [Source:UniProtKB/Swiss-Prot;Acc:Q6NKX5]";POT1B;UniProtKB Gene Name
AT5G24640;54.11288499890322;-2.913463769131853;0.4543429261748707;-6.412477451031115;1.4317360779746407e-10;1.4078260854724641e-6;;;832535;"Gb [Source:UniProtKB/TrEMBL;Acc:Q9FLU0]";;
AT5G43670;84.77976704659672;0.812197995434665;0.2043332839133684;3.974868801986338;7.041806388033183e-5;0.03763690557886825;;;834387;"At5g43670 [Source:UniProtKB/TrEMBL;Acc:Q84WI4]";;
AT5G56550;1096.8733404999332;-0.7704806511805332;0.15391505956827234;-5.005882162159512;5.56067690033469e-7;9.941479265634728e-4;OXS3;;835756;"Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9]";OXS3;TAIR Gene Name
AT5G59720;28.56173566183256;-2.1040835001857405;0.5313801924393364;-3.959657379261361;7.505736831485459e-5;0.03873259776094639;HSP18.2;P19037;836093;"18.1 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19037]";HSP18.1;UniProtKB Gene Name
AT5G65730;1449.9296694641812;0.5280342885549322;0.13530149522229062;3.9026493217049065;9.514550401362513e-5;0.04252571549845345;XTH6;Q8LF99;836702;"Xyloglucan endotransglucosylase/hydrolase [Source:UniProtKB/TrEMBL;Acc:Q0WUU2]";XTH6;UniProtKB Gene Name
