genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G16030;100.23763217353073;-1.369499302491432;0.3980911863209981;-3.4401648404924634;5.81359987651806e-4;0.03689640430625844;Hsp70b;Q9S9N1;838174;"Hsp70b [Source:UniProtKB/TrEMBL;Acc:A0A178W9N7]";HSP70-5;UniProtKB Gene Name
AT1G17140;455.3201812018724;0.521623824452135;0.15626725716714537;3.3380238055512788;8.437652012839121e-4;0.047794710539570136;ICR1;Q8LE98;838284;"RIP1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8G4]";ICR1;UniProtKB Gene Name
AT1G17190;343.5663330886646;0.5007543957556524;0.13659655831441198;3.665937135861343;2.464344624016678e-4;0.020718928915699274;ATGSTU26;Q9SHH8;838290;"Glutathione S-transferase U26 [Source:UniProtKB/Swiss-Prot;Acc:Q9SHH8]";GSTU26;UniProtKB Gene Name
AT1G18570;118.34496763162392;-1.1646536380030468;0.2793183224545821;-4.169628500444766;3.0509655512955306e-5;0.004898749575031283;MYB51;O49782;838438;"Transcription factor MYB51 [Source:UniProtKB/Swiss-Prot;Acc:O49782]";MYB51;UniProtKB Gene Name
AT1G19020;560.6803173327849;-1.5728474046107805;0.2796974336006015;-5.623388761073702;1.8724735655466383e-8;2.1045617364341295e-5;;;838483;"CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase [Source:UniProtKB/TrEMBL;Acc:Q8VYY6]";;
AT1G19380;534.8462949453535;-1.054873657899441;0.2557518463006471;-4.124598407236491;3.713821822375054e-5;0.005585117254705584;;;838521;"At1g19380 [Source:UniProtKB/TrEMBL;Acc:Q9LN60]";;
AT1G20450;1639.4296245117864;-0.7037295787011093;0.20333177394758245;-3.4609916838797954;5.381894372141963e-4;0.03461757660153362;LTI29;;838633;"Dehydrin ERD10 [Source:UniProtKB/Swiss-Prot;Acc:P42759]";ERD10;UniProtKB Gene Name
AT1G20450;1639.4296245117864;-0.7037295787011093;0.20333177394758245;-3.4609916838797954;5.381894372141963e-4;0.03461757660153362;LTI29;P42759;838633;"Dehydrin ERD10 [Source:UniProtKB/Swiss-Prot;Acc:P42759]";ERD10;UniProtKB Gene Name
AT1G21390;95.23437148015486;-0.765680421650272;0.22840280500289373;-3.3523249490765723;8.013590064551953e-4;0.04688499063794711;emb2170;;838738;"Emb2170 [Source:UniProtKB/TrEMBL;Acc:A0A178W1S8]";emb2170;TAIR Gene Name
AT1G21900;447.20341765929214;-0.4994219726627235;0.13373905924222124;-3.7343015233731855;1.882368689758672e-4;0.017196028647370208;;Q8RWM6;838792;"Transmembrane emp24 domain-containing protein p24delta5 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWM6]";;
AT1G22280;634.0542529931562;-0.696872739622414;0.12653631620237432;-5.50729435261794;3.643906943268859e-8;3.890781638675324e-5;PAPP2C;;838835;"Phytochrome-associated protein phosphatase type 2C [Source:UniProtKB/TrEMBL;Acc:F4I1B4]";PAPP2C;TAIR Gene Name
AT1G22280;634.0542529931562;-0.696872739622414;0.12653631620237432;-5.50729435261794;3.643906943268859e-8;3.890781638675324e-5;PAPP2C;Q9LME4;838835;"Phytochrome-associated protein phosphatase type 2C [Source:UniProtKB/TrEMBL;Acc:F4I1B4]";PAPP2C;TAIR Gene Name
AT1G23205;416.21652998413043;0.9119139365468117;0.19593117219747225;4.654256524468323;3.251517948285337e-6;9.136337603372813e-4;;;838929;"At1g23205 [Source:UniProtKB/TrEMBL;Acc:O49297]";;
AT1G24140;28.74840539555387;-1.684569258239938;0.48575885136755215;-3.4679126350397667;5.245177821866487e-4;0.03394265829877541;;Q5XF51;839026;"Metalloendoproteinase 3-MMP [Source:UniProtKB/Swiss-Prot;Acc:Q5XF51]";3MMP;UniProtKB Gene Name
AT1G24150;217.70328811307633;-0.8957393124433636;0.22429990167717176;-3.9934895456734294;6.510795063096133e-5;0.008074240829298165;ATFH4;O48682;839028;"formin homologue 4 [Source:TAIR;Acc:AT1G24150]";ATFH4;TAIR Gene Name
AT1G25560;986.5126681648435;-0.5440773610751104;0.12693820586829108;-4.286159217025927;1.8178872086552137e-5;0.0033757375078984422;TEM1;Q9C6M5;839143;"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]";TEM1;UniProtKB Gene Name
AT1G26270;1559.7304428810094;-0.4723542794678124;0.1283507192626106;-3.680184125040679;2.3306560445567485e-4;0.020069016061092487;;Q9C671;839168;"Phosphatidylinositol 4-kinase gamma 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C671]";PI4KG5;UniProtKB Gene Name
AT1G27100;602.8682749638942;-0.48722426744074837;0.13323266386809376;-3.656943074583587;2.5524103580906835e-4;0.020964124306548673;;;839599;"Actin cross-linking protein [Source:UniProtKB/TrEMBL;Acc:Q0WQH3]";;
AT1G27730;592.7872200030599;-0.6029481388299623;0.1360906377734823;-4.430489478883526;9.401943457601754e-6;0.0019594040854499523;STZ;Q96289;839666;"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]";ZAT10;UniProtKB Gene Name
AT1G28190;189.05136805513897;-0.937383812264105;0.2698462097434046;-3.473770534540613;5.131997167560397e-4;0.03348524029363607;;;839713;"F3H9.15 protein [Source:UniProtKB/TrEMBL;Acc:Q9FZ93]";;
AT1G28370;22.83068415584357;-1.6014246313603215;0.4744950459622606;-3.375008116497158;7.381351384732617e-4;0.04390773226210726;ERF11;;839733;"ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]";ERF11;TAIR Gene Name
AT1G28370;22.83068415584357;-1.6014246313603215;0.4744950459622606;-3.375008116497158;7.381351384732617e-4;0.04390773226210726;ERF11;Q9C5I3;839733;"ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]";ERF11;TAIR Gene Name
AT1G29690;679.7298207698642;-0.6284242093443771;0.14142950746488564;-4.443374092216247;8.855898966319134e-6;0.001876266895282047;CAD1;Q9C7N2;839846;"MACPF domain-containing protein CAD1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7N2]";CAD1;UniProtKB Gene Name
AT1G30040;82.39595450878126;-1.1981282949649867;0.26967036554635043;-4.442936444045627;8.873938488573483e-6;0.001876266895282047;ATGA2OX2;;839883;"Gibberellin 2-beta-dioxygenase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9XFR9]";GA2OX2;UniProtKB Gene Name
AT1G30040;82.39595450878126;-1.1981282949649867;0.26967036554635043;-4.442936444045627;8.873938488573483e-6;0.001876266895282047;ATGA2OX2;Q9XFR9;839883;"Gibberellin 2-beta-dioxygenase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9XFR9]";GA2OX2;UniProtKB Gene Name
AT1G30755;98.5006414357588;-1.2292129665512863;0.30683429626467723;-4.00611333711848;6.172603950625968e-5;0.007831081958673812;;;839956;"Elongation factor G, putative (DUF668) [Source:UniProtKB/TrEMBL;Acc:Q8L5Y3]";;
AT1G35210;45.68142395810269;-1.2276066065224556;0.33332477211568146;-3.682914410262945;2.305825947850289e-4;0.019935592354794706;;;840410;"Uncharacterized protein T32G9.25 [Source:UniProtKB/TrEMBL;Acc:Q9C6F2]";;
AT1G35230;201.0011914051729;-2.7328223337244313;0.6824386431681435;-4.00449529211537;6.215002877790368e-5;0.007831081958673812;AGP5;Q8LCE4;840412;"Classical arabinogalactan protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q8LCE4]";AGP5;UniProtKB Gene Name
AT1G36622;176.18814673403938;-1.4645614764759538;0.283790128585944;-5.160720296274931;2.4600149217143345e-7;1.528907559295331e-4;;;5007772;"Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q1G3E7]";;
AT1G42990;1270.0437373009463;-0.6627761946486485;0.18289198132287074;-3.6238668850036015;2.9023101909605927e-4;0.022620012455461115;ATBZIP60;Q9C7S0;840897;"bZIP transcription factor 60 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7S0]";BZIP60;UniProtKB Gene Name
AT1G43910;270.53029801789245;-2.109508027047894;0.5560467510639625;-3.793760188350126;1.4838298957483987e-4;0.01427350784851669;;Q9LP11;840990;"AAA-ATPase At1g43910 [Source:UniProtKB/Swiss-Prot;Acc:Q9LP11]";;
AT1G45015;79.87098432747324;0.9560546725402163;0.2859966090674944;3.342888140028926;8.291131433783648e-4;0.04736768327801945;;;841067;"At1g45015 [Source:UniProtKB/TrEMBL;Acc:Q9MAK7]";;
AT1G45201;484.8919087522112;0.5586410720314151;0.1669687537945566;3.3457821259107194;8.205084010109851e-4;0.04722899434929808;ATTLL1;;841089;"triacylglycerol lipase-like 1 [Source:TAIR;Acc:AT1G45201]";ATTLL1;TAIR Gene Name
AT1G49320;104.07284480613176;0.7133452596262814;0.18910119397759642;3.7722937894870947;1.6175363624337384e-4;0.015084056340512;ATUSPL1;Q9XI99;841355;"BURP domain protein USPL1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI99]";USPL1;UniProtKB Gene Name
AT1G51800;295.10618396085744;-0.7001972656018126;0.1880066304020201;-3.7243221906831705;1.9584068512112183e-4;0.017646319961019227;;Q9C8I6;841606;"LRR receptor-like serine/threonine-protein kinase IOS1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8I6]";IOS1;UniProtKB Gene Name
AT1G52200;1393.928810325034;-0.7168195466583107;0.14255157748928168;-5.028492558857917;4.943506935635112e-7;2.455083502569484e-4;;;841650;"Protein PLANT CADMIUM RESISTANCE 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9M815]";PCR8;UniProtKB Gene Name
AT1G52200;1393.928810325034;-0.7168195466583107;0.14255157748928168;-5.028492558857917;4.943506935635112e-7;2.455083502569484e-4;;Q9M815;841650;"Protein PLANT CADMIUM RESISTANCE 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9M815]";PCR8;UniProtKB Gene Name
AT1G52560;7.542453311042964;-5.761846010542087;1.2394663388304084;-4.648650657168399;3.341135371238207e-6;9.266226734128819e-4;;Q9SSQ8;841687;"26.5 kDa heat shock protein, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SSQ8]";HSP26.5;UniProtKB Gene Name
AT1G52560;7.542453311042964;-5.761846010542087;1.2394663388304084;-4.648650657168399;3.341135371238207e-6;9.266226734128819e-4;;;841687;"26.5 kDa heat shock protein, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SSQ8]";HSP26.5;UniProtKB Gene Name
AT1G53625;445.30164598691607;-3.1835482788734684;0.7187352970225716;-4.429375170610955;9.45064953412995e-6;0.0019594040854499523;;;841798;"At1g53625 [Source:UniProtKB/TrEMBL;Acc:Q9LPH9]";;
AT1G56060;103.0784035525161;-2.7151071293417774;0.6383689598273768;-4.253194156050409;2.1074270325317708e-5;0.003798974310739013;;;842057;"unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G32210.1); Ha. [Source:TAIR;Acc:AT1G56060]";;
AT1G56240;33.18046501470705;-1.76051376271304;0.33859034201691834;-5.199539219654034;1.9978317062685167e-7;1.3762482608827153e-4;AtPP2-B13;Q9C7J9;842077;"F-box protein PP2-B13 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7J9]";PP2B13;UniProtKB Gene Name
AT1G56250;23.205808513655793;-2.603075703446823;0.6016446591140315;-4.326599869231872;1.5142867864864438e-5;0.0028872852076266076;AtPP2-B14;Q9C7K0;842078;"F-box protein VBF [Source:UniProtKB/Swiss-Prot;Acc:Q9C7K0]";VBF;UniProtKB Gene Name
AT1G57630;106.69442306335954;-3.5190701056463314;0.8096183488252754;-4.346578990894122;1.3827726818877224e-5;0.0026844646019738463;;;842139;"Disease resistance protein RPP1-WsB, putative [Source:UniProtKB/TrEMBL;Acc:Q9FVT9]";;
AT1G60840;2.7784523939389327;4.962977827140713;1.4893356289546449;3.332343449423952;8.611790632071718e-4;0.04826897347713689;NA;NA;NA;NA;NA;NA
AT1G61360;83.57354045348326;-1.1067198904337865;0.26599966386512847;-4.160606349468674;3.174037698963653e-5;0.005020857411953245;;;842430;"Serine/threonine-protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A178W9H1]";;
AT1G61360;83.57354045348326;-1.1067198904337865;0.26599966386512847;-4.160606349468674;3.174037698963653e-5;0.005020857411953245;;O64784;842430;"Serine/threonine-protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A178W9H1]";;
AT1G62300;633.5878461904874;-0.8157428771237081;0.19953381129880524;-4.088243851074039;4.346511293033124e-5;0.0060666502393936185;WRKY6;Q9C519;842527;"Uncharacterized protein At1g62300 (Fragment) [Source:UniProtKB/TrEMBL;Acc:C0SV11]";WRKY6;UniProtKB Gene Name
AT1G64065;56.17919247410348;-1.4055858240900916;0.2909255760808791;-4.831427484049494;1.355575924699157e-6;5.907821198357244e-4;;Q6DST1;2745848;"Late embryogenesis abundant protein At1g64065 [Source:UniProtKB/Swiss-Prot;Acc:Q6DST1]";;
AT1G64210;3.0745455172628877;5.108359374392105;1.438100688607816;3.5521569629017846;3.820868611295554e-4;0.02729583260461024;;Q9SH71;842726;"Putative inactive receptor-like protein kinase At1g64210 [Source:UniProtKB/Swiss-Prot;Acc:Q9SH71]";;
AT1G64500;632.1015791372331;0.9053847416887998;0.2398528454302574;3.7747508897160893;1.6016763847043203e-4;0.015001666313754719;;;842758;"F1N19.7 [Source:UniProtKB/TrEMBL;Acc:Q9SGW5]";;
AT1G65481;65.64657632022603;-1.3294392740881171;0.3706550812311316;-3.586728852259038;3.34852193937837e-4;0.024829057644244822;;;6241153;"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system. [Source:TAIR;Acc:AT1G65481]";;
AT1G65486;347.41838978162997;-0.5710613537775949;0.15543608586711463;-3.6739303527355065;2.3884786215083267e-4;0.020240460699329492;;;6240283;"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G65490.1); Ha. [Source:TAIR;Acc:AT1G65486]";;
AT1G65610;152.13285156260102;-0.894059024877958;0.2463087324827988;-3.629830805695837;2.8360705654030446e-4;0.022296519100879274;ATGH9A2;O04478;842872;"Endoglucanase 7 [Source:UniProtKB/Swiss-Prot;Acc:O04478]";KOR2;UniProtKB Gene Name
AT1G66090;118.43526778352452;-1.901638758076437;0.3928580821797681;-4.840523446851897;1.2949757549414564e-6;5.88387388229251e-4;;;842923;"Disease resistance protein (TIR-NBS class) [Source:UniProtKB/TrEMBL;Acc:Q9C515]";;
AT1G66160;403.9459992692577;-0.6942151640290511;0.15578896123936634;-4.456125507906846;8.345418572926808e-6;0.001800165794190424;ATCMPG1;Q9C8D1;842931;"U-box domain-containing protein 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8D1]";PUB20;UniProtKB Gene Name
AT1G66160;403.9459992692577;-0.6942151640290511;0.15578896123936634;-4.456125507906846;8.345418572926808e-6;0.001800165794190424;ATCMPG1;;842931;"U-box domain-containing protein 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8D1]";PUB20;UniProtKB Gene Name
AT1G66880;265.4922571130377;-1.19358101716121;0.2700631766048667;-4.419636294612484;9.8867151978723e-6;0.0020301038754861824;;F4HQ17;843006;"Protein kinase superfamily protein [Source:TAIR;Acc:AT1G66880]";;
AT1G66880;265.4922571130377;-1.19358101716121;0.2700631766048667;-4.419636294612484;9.8867151978723e-6;0.0020301038754861824;;;843006;"Protein kinase superfamily protein [Source:TAIR;Acc:AT1G66880]";;
AT1G67980;24.198204989129547;-2.3055517917024964;0.6590888823478267;-3.4980893373433775;4.686041358531392e-4;0.031174583554965073;CCOAMT;Q9C9W3;843126;"Putative caffeoyl-CoA O-methyltransferase At1g67980 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9W3]";CCOAMT;TAIR Gene Name
AT1G67980;24.198204989129547;-2.3055517917024964;0.6590888823478267;-3.4980893373433775;4.686041358531392e-4;0.031174583554965073;CCOAMT;;843126;"Putative caffeoyl-CoA O-methyltransferase At1g67980 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9W3]";CCOAMT;TAIR Gene Name
AT1G68050;667.3317182131158;-0.5109039937371332;0.12448348962240646;-4.104190807044767;4.0573250098194405e-5;0.0060169566378259825;ADO3;Q9C9W9;843133;"FKF1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8F6]";ADO3;UniProtKB Gene Name
AT1G68520;1149.725886812727;-0.4921251726539662;0.13598943068981215;-3.6188486866783722;2.9591658974801346e-4;0.02289601005097401;;Q8LG76;843181;"Zinc finger protein CONSTANS-LIKE 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG76]";COL6;UniProtKB Gene Name
AT1G68840;2404.231818651688;-0.6044528487426555;0.12969342135657036;-4.660628445299577;3.152453569726516e-6;8.996155476002586e-4;RAV2;P82280;843216;"TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]";RAV2;UniProtKB Gene Name
AT1G69530;1233.6430701406878;0.7099203517818728;0.17518684392980358;4.052361101192816;5.070332666171945e-5;0.0068529717776013846;EXPA1;;843288;"Expansin [Source:UniProtKB/TrEMBL;Acc:C0Z241]";ATEXPA1;TAIR Gene Name
AT1G69530;1233.6430701406878;0.7099203517818728;0.17518684392980358;4.052361101192816;5.070332666171945e-5;0.0068529717776013846;ATEXPA1;;843288;"Expansin [Source:UniProtKB/TrEMBL;Acc:C0Z241]";ATEXPA1;TAIR Gene Name
AT1G69530;1233.6430701406878;0.7099203517818728;0.17518684392980358;4.052361101192816;5.070332666171945e-5;0.0068529717776013846;EXPA1;Q9C554;843288;"Expansin [Source:UniProtKB/TrEMBL;Acc:C0Z241]";ATEXPA1;TAIR Gene Name
AT1G69530;1233.6430701406878;0.7099203517818728;0.17518684392980358;4.052361101192816;5.070332666171945e-5;0.0068529717776013846;ATEXPA1;Q9C554;843288;"Expansin [Source:UniProtKB/TrEMBL;Acc:C0Z241]";ATEXPA1;TAIR Gene Name
AT1G69890;643.2376430898311;-0.603169797827661;0.1621139164735236;-3.720654037287234;1.9870749717165026e-4;0.017829405891178957;;;843325;"Actin cross-linking protein (DUF569) [Source:UniProtKB/TrEMBL;Acc:Q9CAS2]";;
AT1G69930;35.907370766784105;-2.769305390532641;0.8341391314656031;-3.3199562112221046;9.00315686389433e-4;0.0491719731019088;ATGSTU11;Q9CAS6;843329;"Glutathione S-transferase U11 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAS6]";GSTU11;UniProtKB Gene Name
AT1G70520;363.4774857725007;-0.7462217773341838;0.16108365386037252;-4.632510869048263;3.612573629035681e-6;9.643313731007121e-4;CRK2;Q9CAL3;843389;"Cysteine-rich receptor-like protein kinase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAL3]";CRK2;UniProtKB Gene Name
AT1G70740;58.31698674264666;-1.022943085412646;0.2580938553324116;-3.963453853231601;7.387314866557733e-5;0.008620552403024064;;;843411;"At1g70740 [Source:UniProtKB/TrEMBL;Acc:B4F7N6]";;
AT1G71080;153.34023689370278;-0.6963493142635273;0.17838035158939045;-3.903733275884765;9.472016591563805e-5;0.01032014868943087;;;843448;"At1g71080/F23N20_7 [Source:UniProtKB/TrEMBL;Acc:Q9C9A0]";;
AT1G72200;45.64626213594977;1.102690176757865;0.30381487890116937;3.629480493997033;2.839921889692888e-4;0.022296519100879274;;Q84W40;843552;"RING-H2 finger protein ATL11 [Source:UniProtKB/Swiss-Prot;Acc:Q84W40]";ATL11;UniProtKB Gene Name
AT1G72430;2414.114338667333;0.7959493671413103;0.18119916798100136;4.392676721477911;1.1196355298807435e-5;0.002255643088736158;;Q9C9E1;843575;"Auxin-responsive protein SAUR78 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9E1]";SAUR78;UniProtKB Gene Name
AT1G74710;251.76625145231802;-1.217815389039988;0.3231997104192162;-3.767996535208472;1.6456298613109444e-4;0.015279315516650094;EDS16;;843810;"ADC synthase superfamily protein [Source:TAIR;Acc:AT1G74710]";EDS16;TAIR Gene Name
AT1G74710;251.76625145231802;-1.217815389039988;0.3231997104192162;-3.767996535208472;1.6456298613109444e-4;0.015279315516650094;EDS16;Q9S7H8;843810;"ADC synthase superfamily protein [Source:TAIR;Acc:AT1G74710]";EDS16;TAIR Gene Name
