original_genename,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,description_ITAG4.0,goterm,gene_id_versionless,ensembl_gene_id,description_ITAG3.0,athaliana_eg_homolog_ensembl_gene,athaliana_eg_homolog_associated_gene_name,external_gene_name,athaliana_eg_homolog_perc_id
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39150,,,59.4262
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT3G04170,,,50
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT3G04200,,,53.6885
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G38910,,,56.9672
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT3G04150,,,47.9508
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39120,,,59.4262
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39190,GLP5A,,58.1967
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G38960,,,56.5574
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT4G14630,GLP9,,56.1475
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G38940,,,57.7869
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39180,,,59.4262
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G38930,,,58.6066
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39160,GLP2A,,58.1967
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39130,,,57.377
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT5G39110,,,59.0164
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT3G05950,,,57.7869
mRNA:Solyc01g102895.1.1,290.8587854,-1.512175576,0.313651195,-4.821201384,1.42696E-06,0.001392477,Solyc01g102895.1,Germin-like protein subfamily.1,GO:0045735,Solyc01g102895,NA,NA,NA,NA,NA,NA
mRNA:Solyc02g032660.3.1,114.1410713,-1.138747782,0.24769366,-4.597403827,4.27788E-06,0.003339598,Solyc02g032660.3,Protein DETOXIFICATION (AHRD V3.3 *** A0A328DGG9_9ASTE),"GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085",Solyc02g032660,Solyc02g032660.3,Protein DETOXIFICATION [Source:UniProtKB/TrEMBL;Acc:K4B5L0],,,,NA
mRNA:Solyc02g071620.3.1,26.86352387,3.958454735,0.925785566,4.275779273,1.9047E-05,0.01125094,Solyc02g071620.3,GDSL-motif lipase/hydrolase family protein 1,GO:0016788,Solyc02g071620,NA,NA,NA,NA,NA,NA
mRNA:Solyc02g084440.4.1,833.7940618,1.275344612,0.328194176,3.885945284,0.000101932,0.047745167,Solyc02g084440.4,Fructose-bisphosphate aldolase (AHRD V3.3 *** A0A2G3AA97_CAPAN),"GO:0004332,GO:0006096",Solyc02g084440,Solyc02g084440.3,,AT4G38970,FBA2,,89.1473
mRNA:Solyc02g084440.4.1,833.7940618,1.275344612,0.328194176,3.885945284,0.000101932,0.047745167,Solyc02g084440.4,Fructose-bisphosphate aldolase (AHRD V3.3 *** A0A2G3AA97_CAPAN),"GO:0004332,GO:0006096",Solyc02g084440,Solyc02g084440.3,,AT2G21330,FBA1,,87.3385
mRNA:Solyc02g091920.3.1,62.89443546,3.11954874,0.625210859,4.98959462,6.05061E-07,0.00061611,Solyc02g091920.3,xyloglucan endotransglucosylase-hydrolase 7,"GO:0004553,GO:0005975",Solyc02g091920,Solyc02g091920.3,Xyloglucan endotransglucosylase/hydrolase [Source:UniProtKB/TrEMBL;Acc:K4BCZ0],AT4G37800,XTH7,,72.5424
mRNA:Solyc03g034220.3.1,1328.031767,1.297496879,0.303592446,4.273811476,1.9216E-05,0.01125094,Solyc03g034220.3,Tomato RuBP carboxylase small subunit,,Solyc03g034220,Solyc03g034220.3,"Ribulose bisphosphate carboxylase small chain 2A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P07179]",AT5G38420,RBCS-2B,RBCS-2A,73.3333
mRNA:Solyc03g034220.3.1,1328.031767,1.297496879,0.303592446,4.273811476,1.9216E-05,0.01125094,Solyc03g034220.3,Tomato RuBP carboxylase small subunit,,Solyc03g034220,Solyc03g034220.3,"Ribulose bisphosphate carboxylase small chain 2A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P07179]",AT1G67090,RBCS-1A,RBCS-2A,70.5556
mRNA:Solyc03g034220.3.1,1328.031767,1.297496879,0.303592446,4.273811476,1.9216E-05,0.01125094,Solyc03g034220.3,Tomato RuBP carboxylase small subunit,,Solyc03g034220,Solyc03g034220.3,"Ribulose bisphosphate carboxylase small chain 2A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P07179]",AT5G38410,,RBCS-2A,74.4444
mRNA:Solyc03g034220.3.1,1328.031767,1.297496879,0.303592446,4.273811476,1.9216E-05,0.01125094,Solyc03g034220.3,Tomato RuBP carboxylase small subunit,,Solyc03g034220,Solyc03g034220.3,"Ribulose bisphosphate carboxylase small chain 2A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P07179]",AT5G38430,RBCS-1B,RBCS-2A,73.3333
mRNA:Solyc03g111290.2.1,5.016401255,-5.795295822,1.41350494,-4.099947343,4.13244E-05,0.022507391,Solyc03g111290.2,Cytochrome P450 (AHRD V3.3 *** A0A200QGE7_9MAGN),"GO:0005506,GO:0016705,GO:0020037,GO:0055114",Solyc03g111290,NA,NA,NA,NA,NA,NA
mRNA:Solyc04g082980.2.1,3053.900371,1.356450314,0.204413134,6.635827592,3.22687E-11,1.51147E-07,Solyc04g082980.2,Tetratricopeptide repeat protein SKI3 (AHRD V3.3 *** A0A2G2ZSZ3_CAPAN),GO:0005515,Solyc04g082980,Solyc04g082980.2,Tetratricopeptide repeat protein SKI3 [Source:Projected from Arabidopsis thaliana (AT1G76630) UniProtKB/Swiss-Prot;Acc:F4I3Z5],AT1G76630,SKI3,,52.3267
mRNA:Solyc07g016215.1.1,2830.397612,-1.731500471,0.366802507,-4.720525183,2.35236E-06,0.001953801,Solyc07g016215.1,Organ specific protein (AHRD V3.3 *** A0A2U1PWC1_ARTAN),,Solyc07g016215,Solyc07g016215.1,,,,,NA
mRNA:Solyc07g047640.2.1,4.962572562,-5.174359367,1.335871152,-3.873397042,0.000107329,0.048339222,Solyc07g047640.2,F-box protein (AHRD V3.3 *** A0A2K3P6V3_TRIPR),,Solyc07g047640,Solyc07g047640.2,,,,,NA
mRNA:Solyc07g055740.1.1,13.30904885,6.625955605,1.451206821,4.565824465,4.97535E-06,0.003758797,Solyc07g055740.1,strictosidine synthase,"GO:0009058,GO:0016844",Solyc07g055740,Solyc07g055740.1,,AT3G57030,SSL10,,59.2593
mRNA:Solyc08g065670.4.1,111.7076916,-2.407129342,0.536196656,-4.489265857,7.14691E-06,0.005072137,Solyc08g065670.4,Protein phosphatase 2C family protein (AHRD V3.3 *** A0A2U1LRS6_ARTAN),GO:0003824,Solyc08g065670,Solyc08g065670.3,,AT4G32950,,,50.2976
mRNA:Solyc08g065670.4.1,111.7076916,-2.407129342,0.536196656,-4.489265857,7.14691E-06,0.005072137,Solyc08g065670.4,Protein phosphatase 2C family protein (AHRD V3.3 *** A0A2U1LRS6_ARTAN),GO:0003824,Solyc08g065670,Solyc08g065670.3,,AT5G26010,,,51.1905
mRNA:Solyc08g067030.3.1,106.8976392,2.624491167,0.604989647,4.338076162,1.43735E-05,0.008858637,Solyc08g067030.3,DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO),,Solyc08g067030,Solyc08g067030.3,,AT5G25460,,,68.1941
mRNA:Solyc08g067030.3.1,106.8976392,2.624491167,0.604989647,4.338076162,1.43735E-05,0.008858637,Solyc08g067030.3,DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO),,Solyc08g067030,Solyc08g067030.3,,AT4G32460,,,67.1159
mRNA:Solyc08g067030.3.1,106.8976392,2.624491167,0.604989647,4.338076162,1.43735E-05,0.008858637,Solyc08g067030.3,DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO),,Solyc08g067030,Solyc08g067030.3,,AT5G11420,,,71.159
mRNA:Solyc08g068130.1.1,39.94431931,-3.422706137,0.839268984,-4.078199247,4.53859E-05,0.023815002,Solyc08g068130.1,BURP domain-containing protein (AHRD V3.3 *-* A0A2U1NKA9_ARTAN),,Solyc08g068130,Solyc08g068130.1,,AT5G25610,RD22,,40.3846
mRNA:Solyc08g078880.3.1,20.71474676,-3.667509792,0.814930042,-4.50039832,6.78262E-06,0.004964033,Solyc08g078880.3,Cation/H(+) antiporter 15 (AHRD V3.3 *** A0A2G3CC26_CAPCH),"GO:0006812,GO:0015299,GO:0016021,GO:0055085",Solyc08g078880,Solyc08g078880.3,,AT2G13620,CHX15,,66.8263
mRNA:Solyc09g011080.3.1,145.8403694,1.844552797,0.412683676,4.469652916,7.83466E-06,0.005242509,Solyc09g011080.3,"Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (AHRD V3.3 *** A0A2G2VP29_CAPBA)",GO:0005524,Solyc09g011080,Solyc09g011080.3,,,,,NA
mRNA:Solyc09g018010.3.1,51.1302414,3.145058682,0.582942341,5.395145386,6.84681E-08,0.00010022,Solyc09g018010.3,Non-specific lipid-transfer protein (AHRD V3.3 *** M0ZNZ5_SOLTU),,Solyc09g018010,Solyc09g018010.3,,,,,NA
mRNA:Solyc09g091510.3.1,124.9474633,2.310382919,0.562528493,4.107139365,4.0059E-05,0.022337636,Solyc09g091510.3,chalcone synthase 1,,Solyc09g091510,Solyc09g091510.3,,AT5G13930,CHS,,85.09
mRNA:Solyc09g092720.3.1,156.2824978,2.044055613,0.4294311,4.759915187,1.93674E-06,0.001814341,Solyc09g092720.3,glycine-rich protein 3 short isoform-like (AHRD V3.3 *** XP_004247911.1),,Solyc09g092720,NA,NA,NA,NA,NA,NA
mRNA:Solyc09g097770.3.1,1231.300865,3.017506998,0.745922914,4.045333561,5.22487E-05,0.026601391,Solyc09g097770.3,Cell wall protein (AHRD V3.3 *** Q40142_SOLLC),,Solyc09g097770,NA,NA,NA,NA,NA,NA
mRNA:Solyc10g017510.3.1,144.0588843,-2.1439185,0.478449442,-4.480971889,7.43039E-06,0.005118227,Solyc10g017510.3,Cytochrome (AHRD V3.3 *** A0A1U8EF26_CAPAN),"GO:0005506,GO:0016705,GO:0020037,GO:0055114",Solyc10g017510,Solyc10g017510.3,,,,,NA
mRNA:Solyc10g018300.3.1,102.8489154,1.706019652,0.405628578,4.205866507,2.60084E-05,0.01485649,Solyc10g018300.3,Transketolase (AHRD V3.3 *** A0A200R9X0_9MAGN),,Solyc10g018300,Solyc10g018300.2,,AT2G45290,TKL-2,,87.8549
mRNA:Solyc10g018300.3.1,102.8489154,1.706019652,0.405628578,4.205866507,2.60084E-05,0.01485649,Solyc10g018300.3,Transketolase (AHRD V3.3 *** A0A200R9X0_9MAGN),,Solyc10g018300,Solyc10g018300.2,,AT3G60750,TKL-1,,88.959
mRNA:Solyc10g085010.3.1,131.3750167,-1.548426313,0.391634626,-3.953752321,7.69351E-05,0.037537893,Solyc10g085010.3,PAR1-like protein (AHRD V3.3 *** A0A2U1KIG3_ARTAN),,Solyc10g085010,Solyc10g085010.2,,AT3G54040,,,37.6289
mRNA:Solyc11g012460.3.1,262.945776,1.011214299,0.248071917,4.076294943,4.5759E-05,0.023815002,Solyc11g012460.3,Ras-related protein RABA5a (AHRD V3.3 *** A0A2G2Y4I2_CAPAN),"GO:0003924,GO:0005525",Solyc11g012460,Solyc11g012460.2,,AT5G47520,RABA5A,,83.5556
mRNA:Solyc11g018774.1.1,79.62483556,-1.714611182,0.425329706,-4.031251892,5.54805E-05,0.027645837,Solyc11g018774.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
mRNA:Solyc12g088170.2.1,34.24456409,4.683121665,0.867915542,5.395826481,6.82088E-08,0.00010022,Solyc12g088170.2,HXXXD-type acyl-transferase family protein (AHRD V3.3 *** F4JBC7_ARATH),GO:0016747,Solyc12g088170,Solyc12g088170.2,Anthocyanin acyltransferase [Source:UniProtKB/TrEMBL;Acc:B5M6H1],,,,NA
